OSD_ID,Sample_ID,Genotype,Time_After_Treatment_min,Radiation_Dose_Gy,Radiation_Dose_cGy
OSD-498,GSM3072467,wild type,10.0,100.0,10000.0
OSD-498,GSM3072468,wild type,10.0,100.0,10000.0
OSD-498,GSM3072469,wild type,20.0,100.0,10000.0
OSD-498,GSM3072470,wild type,20.0,100.0,10000.0
OSD-498,GSM3072471,wild type,90.0,100.0,10000.0
OSD-498,GSM3072472,wild type,90.0,100.0,10000.0
OSD-498,GSM3072473,wild type,1440.0,100.0,10000.0
OSD-498,GSM3072474,wild type,1440.0,100.0,10000.0
OSD-498,GSM3072475,wild type,10.0,,
OSD-498,GSM3072476,wild type,10.0,,
OSD-498,GSM3072477,wild type,20.0,,
OSD-498,GSM3072478,wild type,20.0,,
OSD-498,GSM3072479,wild type,90.0,,
OSD-498,GSM3072480,wild type,90.0,,
OSD-498,GSM3072481,wild type,1440.0,,
OSD-498,GSM3072482,wild type,1440.0,,
OSD-502,GSM3072483,wild type,180.0,,
OSD-502,GSM3072484,wild type,180.0,100.0,10000.0
OSD-502,GSM3072485,myb3r1,180.0,,
OSD-502,GSM3072486,myb3r1,180.0,100.0,10000.0
OSD-502,GSM3072487,wild type,180.0,,
OSD-502,GSM3072488,wild type,180.0,100.0,10000.0
OSD-502,GSM3072489,myb3r1,180.0,,
OSD-502,GSM3072490,myb3r1,180.0,100.0,10000.0
OSD-508,GSM3082835,wild type,,,
OSD-508,GSM3082836,wild type,,,
OSD-508,GSM3082837,wild type,10.0,100.0,10000.0
OSD-508,GSM3082838,wild type,10.0,100.0,10000.0
OSD-508,GSM3082839,wild type,20.0,100.0,10000.0
OSD-508,GSM3082840,wild type,20.0,100.0,10000.0
OSD-508,GSM3082841,wild type,45.0,100.0,10000.0
OSD-508,GSM3082842,wild type,45.0,100.0,10000.0
OSD-508,GSM3082843,wild type,90.0,100.0,10000.0
OSD-508,GSM3082844,wild type,90.0,100.0,10000.0
