OSD_ID,Sample_ID,Genotype,Time_After_Treatment_min,Radiation_Dose_Gy,Radiation_Dose_cGy
OSD-508,GSM3082845,wild type,180.0,100.0,10000.0
OSD-508,GSM3082846,wild type,180.0,100.0,10000.0
OSD-508,GSM3082847,wild type,360.0,100.0,10000.0
OSD-508,GSM3082848,wild type,360.0,100.0,10000.0
OSD-508,GSM3082849,wild type,720.0,100.0,10000.0
OSD-508,GSM3082850,wild type,720.0,100.0,10000.0
OSD-508,GSM3082851,wild type,1440.0,100.0,10000.0
OSD-508,GSM3082852,wild type,1440.0,100.0,10000.0
OSD-508,GSM3082853,sog1-1,,,
OSD-508,GSM3082854,sog1-1,,,
OSD-508,GSM3082855,sog1-1,10.0,100.0,10000.0
OSD-508,GSM3082856,sog1-1,10.0,100.0,10000.0
OSD-508,GSM3082857,sog1-1,20.0,100.0,10000.0
OSD-508,GSM3082858,sog1-1,20.0,100.0,10000.0
OSD-508,GSM3082859,sog1-1,45.0,100.0,10000.0
OSD-508,GSM3082860,sog1-1,45.0,100.0,10000.0
OSD-508,GSM3082861,sog1-1,90.0,100.0,10000.0
OSD-508,GSM3082862,sog1-1,90.0,100.0,10000.0
OSD-508,GSM3082863,sog1-1,180.0,100.0,10000.0
OSD-508,GSM3082864,sog1-1,180.0,100.0,10000.0
OSD-508,GSM3082865,sog1-1,360.0,100.0,10000.0
OSD-508,GSM3082866,sog1-1,360.0,100.0,10000.0
OSD-508,GSM3082867,sog1-1,720.0,100.0,10000.0
OSD-508,GSM3082868,sog1-1,720.0,100.0,10000.0
OSD-508,GSM3082869,sog1-1,1440.0,100.0,10000.0
OSD-508,GSM3082870,sog1-1,1440.0,100.0,10000.0
OSD-510,GSM3072302,wild type,20.0,100.0,10000.0
OSD-510,GSM3072303,wild type,20.0,100.0,10000.0
OSD-510,GSM3072304,wild type,90.0,100.0,10000.0
OSD-510,GSM3072305,wild type,90.0,100.0,10000.0
OSD-510,GSM3072306,wild type,180.0,100.0,10000.0
OSD-510,GSM3072307,wild type,180.0,100.0,10000.0
OSD-510,GSM3072308,wild type,360.0,100.0,10000.0
OSD-510,GSM3072309,wild type,360.0,100.0,10000.0
OSD-510,GSM3072310,wild type,720.0,100.0,10000.0
OSD-510,GSM3072311,wild type,720.0,100.0,10000.0
OSD-510,GSM3072312,wild type,1440.0,100.0,10000.0
OSD-510,GSM3072313,wild type,1440.0,100.0,10000.0
OSD-510,GSM3072314,wild type,,,
OSD-510,GSM3072315,wild type,,,
OSD-510,GSM3072316,wild type,,,
OSD-510,GSM3072317,wild type,,,
OSD-510,GSM3072318,wild type,,,
OSD-510,GSM3072319,wild type,,,
OSD-510,GSM3072320,wild type,,,
OSD-510,GSM3072321,wild type,,,
OSD-510,GSM3072322,wild type,,,
OSD-510,GSM3072323,wild type,,,
OSD-510,GSM3072324,wild type,,,
OSD-510,GSM3072325,wild type,,,
OSD-510,GSM3072326,sog1-1,20.0,100.0,10000.0
OSD-510,GSM3072327,sog1-1,20.0,100.0,10000.0
OSD-510,GSM3072328,sog1-1,90.0,100.0,10000.0
OSD-510,GSM3072329,sog1-1,90.0,100.0,10000.0
OSD-510,GSM3072330,sog1-1,180.0,100.0,10000.0
OSD-510,GSM3072331,sog1-1,180.0,100.0,10000.0
OSD-510,GSM3072332,sog1-1,360.0,100.0,10000.0
OSD-510,GSM3072333,sog1-1,360.0,100.0,10000.0
OSD-510,GSM3072334,sog1-1,720.0,100.0,10000.0
OSD-510,GSM3072335,sog1-1,720.0,100.0,10000.0
OSD-510,GSM3072336,sog1-1,1440.0,100.0,10000.0
OSD-510,GSM3072337,sog1-1,1440.0,100.0,10000.0
OSD-510,GSM3072338,sog1-1,,,
OSD-510,GSM3072339,sog1-1,,,
OSD-510,GSM3072340,sog1-1,,,
OSD-510,GSM3072341,sog1-1,,,
OSD-510,GSM3072342,sog1-1,,,
OSD-510,GSM3072343,sog1-1,,,
OSD-510,GSM3072344,sog1-1,,,
OSD-510,GSM3072345,sog1-1,,,
OSD-510,GSM3072346,sog1-1,,,
OSD-510,GSM3072347,sog1-1,,,
OSD-510,GSM3072348,sog1-1,,,
OSD-510,GSM3072349,sog1-1,,,
OSD-658,CWRU004174_S1,wild type,,,
OSD-658,CWRU004175_S2,wild type,,,
OSD-658,CWRU004176_S3,wild type,,,
OSD-658,CWRU004177_S4,wild type,,0.4,40.0
OSD-658,CWRU004178_S5,wild type,,0.4,40.0
OSD-658,CWRU004179_S6,wild type,,0.4,40.0
OSD-658,CWRU004180_S7,wild type,,0.4,40.0
OSD-658,CWRU004181_S8,wild type,,,
OSD-658,CWRU004182_S9,wild type,,,
OSD-658,CWRU004183_S10,wild type,,,
OSD-658,CWRU004184_S11,wild type,,0.8,80.0
OSD-658,CWRU004185_S12,wild type,,0.8,80.0
OSD-658,CWRU004186_S13,wild type,,0.8,80.0
OSD-658,CWRU004187_S14,wild type,,0.8,80.0
OSD-782,GSM7623649,wild type,60.0,0.0,0.0
OSD-782,GSM7623650,wild type,60.0,0.0,0.0
OSD-782,GSM7623651,wild type,60.0,0.0,0.0
OSD-782,GSM7623652,wild type,60.0,0.1,10.0
OSD-782,GSM7623653,wild type,60.0,0.1,10.0
OSD-782,GSM7623654,wild type,60.0,0.1,10.0
OSD-782,GSM7623655,wild type,60.0,1.0,100.0
OSD-782,GSM7623656,wild type,60.0,1.0,100.0
OSD-782,GSM7623657,wild type,60.0,1.0,100.0
OSD-782,GSM7623658,wild type,180.0,0.0,0.0
OSD-782,GSM7623659,wild type,180.0,0.0,0.0
OSD-782,GSM7623660,wild type,180.0,0.0,0.0
OSD-782,GSM7623661,wild type,180.0,0.1,10.0
OSD-782,GSM7623662,wild type,180.0,0.1,10.0
OSD-782,GSM7623663,wild type,180.0,0.1,10.0
OSD-782,GSM7623664,wild type,180.0,1.0,100.0
OSD-782,GSM7623665,wild type,180.0,1.0,100.0
OSD-782,GSM7623666,wild type,180.0,1.0,100.0
OSD-782,GSM7623667,wild type,1440.0,0.0,0.0
OSD-782,GSM7623668,wild type,1440.0,0.0,0.0
OSD-782,GSM7623669,wild type,1440.0,0.0,0.0
OSD-782,GSM7623670,wild type,1440.0,0.1,10.0
OSD-782,GSM7623671,wild type,1440.0,0.1,10.0
OSD-782,GSM7623672,wild type,1440.0,0.1,10.0
OSD-782,GSM7623673,wild type,1440.0,1.0,100.0
OSD-782,GSM7623674,wild type,1440.0,1.0,100.0
OSD-782,GSM7623675,wild type,1440.0,1.0,100.0
OSD-782,GSM7623676,wild type,4320.0,0.0,0.0
OSD-782,GSM7623677,wild type,4320.0,0.0,0.0
OSD-782,GSM7623678,wild type,4320.0,0.0,0.0
OSD-782,GSM7623679,wild type,4320.0,0.1,10.0
OSD-782,GSM7623680,wild type,4320.0,0.1,10.0
OSD-782,GSM7623681,wild type,4320.0,0.1,10.0
OSD-782,GSM7623682,wild type,4320.0,1.0,100.0
OSD-782,GSM7623683,wild type,4320.0,1.0,100.0
OSD-782,GSM7623684,wild type,4320.0,1.0,100.0
