"Ligands","Receptors","source","Organism"
"AT1G12560","AT1G70460","STRING","Arabidopsis thaliana"
"AT1G12560","AT5G49270","STRING","Arabidopsis thaliana"
"AT1G12560","AT2G26420","STRING","Arabidopsis thaliana"
"AT1G12560","AT2G41970","STRING","Arabidopsis thaliana"
"AT1G12560","AT3G60280","STRING","Arabidopsis thaliana"
"AT1G12560","AT5G44610","STRING","Arabidopsis thaliana"
"AT1G12560","AT4G34580","STRING","Arabidopsis thaliana"
"AT1G13620","AT4G26540","STRING","Arabidopsis thaliana"
"AT1G13900","AT4G23260","STRING","Arabidopsis thaliana"
"AT1G14700","AT1G65590","STRING","Arabidopsis thaliana"
"AT1G15000","AT1G08230","STRING","Arabidopsis thaliana"
"AT1G15020","AT1G24140","STRING","Arabidopsis thaliana"
"AT1G15020","AT2G45040","STRING","Arabidopsis thaliana"
"AT1G15020","AT1G59970","STRING","Arabidopsis thaliana"
"AT1G15020","AT1G70170","STRING","Arabidopsis thaliana"
"AT1G15020","AT4G16640","STRING","Arabidopsis thaliana"
"AT1G15190","AT1G19770","STRING","Arabidopsis thaliana"
"AT1G15190","AT2G24450","STRING","Arabidopsis thaliana"
"AT1G15190","AT3G46550","STRING","Arabidopsis thaliana"
"AT1G19940","AT5G19240","STRING","Arabidopsis thaliana"
"AT1G19940","AT4G12730","STRING","Arabidopsis thaliana"
"AT1G19940","AT5G17420","STRING","Arabidopsis thaliana"
"AT1G19940","AT2G22125","STRING","Arabidopsis thaliana"
"AT1G19940","AT4G18780","STRING","Arabidopsis thaliana"
"AT1G19940","AT5G19250","STRING","Arabidopsis thaliana"
"AT1G19940","AT5G05170","STRING","Arabidopsis thaliana"
"AT1G19940","AT2G25540","STRING","Arabidopsis thaliana"
"AT1G19940","AT3G06035","STRING","Arabidopsis thaliana"
"AT1G19940","AT4G32410","STRING","Arabidopsis thaliana"
"AT1G19940","AT5G19230","STRING","Arabidopsis thaliana"
"AT1G20160","AT1G70410","STRING","Arabidopsis thaliana"
"AT1G20190","AT4G25100","STRING","Arabidopsis thaliana"
"AT1G21880","AT2G39660","STRING","Arabidopsis thaliana"
"AT1G21880","AT1G51940","STRING","Arabidopsis thaliana"
"AT1G21880","AT5G20480","STRING","Arabidopsis thaliana"
"AT1G21880","AT3G21630","STRING","Arabidopsis thaliana"
"AT1G21880","AT1G73080","STRING","Arabidopsis thaliana"
"AT1G21880","AT2G33580","STRING","Arabidopsis thaliana"
"AT1G22690","AT5G39000","STRING","Arabidopsis thaliana"
"AT1G22690","AT5G38990","STRING","Arabidopsis thaliana"
"AT1G22690","AT3G01500","STRING","Arabidopsis thaliana"
"AT1G26390","AT5G25260","STRING","Arabidopsis thaliana"
"AT1G26420","AT5G25260","STRING","Arabidopsis thaliana"
"AT1G26420","AT2G19190","STRING","Arabidopsis thaliana"
"AT1G26420","AT1G51890","STRING","Arabidopsis thaliana"
"AT1G26420","AT1G65690","STRING","Arabidopsis thaliana"
"AT1G26420","AT1G74360","STRING","Arabidopsis thaliana"
"AT1G26600","AT1G75820","STRING","Arabidopsis thaliana"
"AT1G26600","AT5G61480","STRING","Arabidopsis thaliana"
"AT1G28270","AT3G04690","STRING","Arabidopsis thaliana"
"AT1G28270","AT1G30570","STRING","Arabidopsis thaliana"
"AT1G28270","AT2G20700","STRING","Arabidopsis thaliana"
"AT1G28290","AT2G14890","STRING","Arabidopsis thaliana"
"AT1G28290","AT2G04780","STRING","Arabidopsis thaliana"
"AT1G28290","AT1G68725","STRING","Arabidopsis thaliana"
"AT1G28490","AT2G33120","STRING","Arabidopsis thaliana"
"AT1G28490","AT3G07160","STRING","Arabidopsis thaliana"
"AT1G28490","AT4G19640","STRING","Arabidopsis thaliana"
"AT1G28490","AT4G35100","STRING","Arabidopsis thaliana"
"AT1G28490","AT2G32670","STRING","Arabidopsis thaliana"
"AT1G28490","AT5G58060","STRING","Arabidopsis thaliana"
"AT1G28490","AT3G11820","STRING","Arabidopsis thaliana"
"AT1G28490","AT1G04750","STRING","Arabidopsis thaliana"
"AT1G28490","AT5G58180","STRING","Arabidopsis thaliana"
"AT1G28490","AT4G15780","STRING","Arabidopsis thaliana"
"AT1G28490","AT5G08080","STRING","Arabidopsis thaliana"
"AT1G28490","AT5G45750","STRING","Arabidopsis thaliana"
"AT1G28490","AT1G04760","STRING","Arabidopsis thaliana"
"AT1G29660","AT1G18280","STRING","Arabidopsis thaliana"
