SampleID,StudyID,Organism,Ecotype,Genotype,Tissue,RadiationQuality,RadiationClass,LET_class,LET_keV_um,LET_imputed,AbsorbedDose_Gy,DoseRate_Gy_min,TimePostExposure_h,AgeAtHarvest_d,Replicate,IsControl,AssayType,RawDataFile,ProcessedDataFile,ControlMatchedID,OriginalSampleName
GSM1506014_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,5 day,,False,microarray,,,,GSM1506014 1
GSM1506015_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,5 day,,False,microarray,,,,GSM1506015 1
GSM1506016_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,3.0,5 day,,False,microarray,,,,GSM1506016 1
GSM1506017_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,3.0,5 day,,False,microarray,,,,GSM1506017 1
GSM1506018_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,5 day,,False,microarray,,,,GSM1506018 1
GSM1506019_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,5 day,,False,microarray,,,,GSM1506019 1
GSM1506020_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,5 day,,False,microarray,,,,GSM1506020 1
GSM1506021_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,5 day,,False,microarray,,,,GSM1506021 1
GSM1506022_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,6 day,,False,microarray,,,,GSM1506022 1
GSM1506023_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,6 day,,False,microarray,,,,GSM1506023 1
GSM1506024_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,1.5,5 day,,False,microarray,,,,GSM1506024 1
GSM1506025_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,1.5,5 day,,False,microarray,,,,GSM1506025 1
GSM1506026_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,3.0,5 day,,False,microarray,,,,GSM1506026 1
GSM1506027_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,3.0,5 day,,False,microarray,,,,GSM1506027 1
GSM1506028_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,6.0,5 day,,False,microarray,,,,GSM1506028 1
GSM1506029_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,6.0,5 day,,False,microarray,,,,GSM1506029 1
GSM1506030_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,12.0,5 day,,False,microarray,,,,GSM1506030 1
GSM1506031_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,12.0,5 day,,False,microarray,,,,GSM1506031 1
GSM1506032_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,24.0,6 day,,False,microarray,,,,GSM1506032 1
GSM1506033_1,OSD-46,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,24.0,6 day,,False,microarray,,,,GSM1506033 1
GSM1506034_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,5 day,,False,microarray,,,,GSM1506034 1
GSM1506035_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,5 day,,False,microarray,,,,GSM1506035 1
GSM1506036_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,5 day,,False,microarray,,,,GSM1506036 1
GSM1506037_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,5 day,,False,microarray,,,,GSM1506037 1
GSM1506038_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,5 day,,False,microarray,,,,GSM1506038 1
GSM1506039_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,5 day,,False,microarray,,,,GSM1506039 1
GSM1506040_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,6 day,,False,microarray,,,,GSM1506040 1
GSM1506041_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,6 day,,False,microarray,,,,GSM1506041 1
GSM1506042_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,1.5,5 day,,False,microarray,,,,GSM1506042 1
GSM1506043_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,1.5,5 day,,False,microarray,,,,GSM1506043 1
GSM1506044_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,6.0,5 day,,False,microarray,,,,GSM1506044 1
GSM1506045_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,6.0,5 day,,False,microarray,,,,GSM1506045 1
GSM1506046_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,12.0,5 day,,False,microarray,,,,GSM1506046 1
GSM1506047_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,12.0,5 day,,False,microarray,,,,GSM1506047 1
GSM1506048_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,24.0,6 day,,False,microarray,,,,GSM1506048 1
GSM1506049_1,OSD-46,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,30.0,,24.0,6 day,,False,microarray,,,,GSM1506049 1
GSM1506050_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,5 day,,True,microarray,,,,GSM1506050 1
GSM1506051_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,5 day,,True,microarray,,,,GSM1506051 1
GSM1506052_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,6 day,,True,microarray,,,,GSM1506052 1
GSM1506053_1,OSD-46,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,6 day,,True,microarray,,,,GSM1506053 1
GSM1506054_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,5 day,,True,microarray,,,,GSM1506054 1
GSM1506055_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,5 day,,True,microarray,,,,GSM1506055 1
GSM1506056_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,6 day,,True,microarray,,,,GSM1506056 1
GSM1506057_1,OSD-46,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,0.0,,0.0,6 day,,True,microarray,,,,GSM1506057 1
Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep1,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,1,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep1
Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep2,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,2,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep2
Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep3,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,3,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep3
Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep1,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,1,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep1
Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep2,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,2,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep2
Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep3,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,3,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep3
Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep1,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,1,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep1
Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep2,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,2,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep2
Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep3,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,1.0,,3,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep3
Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep1,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,1,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep1
