SampleID,StudyID,Organism,Ecotype,Genotype,Tissue,RadiationQuality,RadiationClass,LET_class,LET_keV_um,LET_imputed,AbsorbedDose_Gy,DoseRate_Gy_min,TimePostExposure_h,AgeAtHarvest_d,Replicate,IsControl,AssayType,RawDataFile,ProcessedDataFile,ControlMatchedID,OriginalSampleName
Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep2,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,2,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep2
Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep3,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,3,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep3
Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep1,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,1,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep1
Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep2,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,2,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep2
Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep3,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,3,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep3
Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep1,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,1,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep1
Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep2,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,2,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep2
Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep3,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,6.0,,3,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep3
Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep1,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,1,False,microarray,,,,Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep1
Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep2,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,2,False,microarray,,,,Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep2
Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep3,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,3,False,microarray,,,,Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep3
Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep1,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,1,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep1
Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep2,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,2,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep2
Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep3,OSD-296,Arabidopsis thaliana,,Wild Type,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,3,False,microarray,,,,Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep3
Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep1,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,1,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep1
Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep2,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,2,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep2
Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep3,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,3,False,microarray,,,,Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep3
Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep1,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,1,False,microarray,,,,Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep1
Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep2,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,2,False,microarray,,,,Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep2
Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep3,OSD-296,Arabidopsis thaliana,,cop-1,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,3,False,microarray,,,,Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep3
Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep1,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,1,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep1
Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep2,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,2,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep2
Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep3,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,3,False,microarray,,,,Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep3
Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep1,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,1,False,microarray,,,,Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep1
Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep2,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,2,False,microarray,,,,Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep2
Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep3,OSD-296,Arabidopsis thaliana,,uvr-8,,UV-B,non-ionizing-UV,n/a,,True,,,96.0,,3,False,microarray,,,,Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep3
21H5_WT_RED_Col0_1g_Rep1,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,1,False,RNA-seq,,,,21H5_WT_RED_Col0_1g_Rep1
22A6_WT_RED_Col0_1g_Rep2,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,2,False,RNA-seq,,,,22A6_WT_RED_Col0_1g_Rep2
23B6_WT_RED_Col0_1g_Rep3,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,3,False,RNA-seq,,,,23B6_WT_RED_Col0_1g_Rep3
30H7_WT_DARK_Col0_1g_Rep1,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,1,False,RNA-seq,,,,30H7_WT_DARK_Col0_1g_Rep1
31A8_WT_DARK_Col0_1g_Rep2,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,2,False,RNA-seq,,,,31A8_WT_DARK_Col0_1g_Rep2
32B8_WT_DARK_Col0_1g_Rep3,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,3,False,RNA-seq,,,,32B8_WT_DARK_Col0_1g_Rep3
05G4_WT_RED_Col0_03g_Rep1,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,1,False,RNA-seq,,,,05G4_WT_RED_Col0_03g_Rep1
06H4_WT_RED_Col0_03g_Rep2,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,2,False,RNA-seq,,,,06H4_WT_RED_Col0_03g_Rep2
07A5_WT_RED_Col0_03g_Rep3,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,3,False,RNA-seq,,,,07A5_WT_RED_Col0_03g_Rep3
13I4_WT_DARK_Col0_03g_Rep1,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,1,False,RNA-seq,,,,13I4_WT_DARK_Col0_03g_Rep1
14J4_WT_DARK_Col0_03g_Rep2,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,2,False,RNA-seq,,,,14J4_WT_DARK_Col0_03g_Rep2
15A7_WT_DARK_Col0_03g_Rep3,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,3,False,RNA-seq,,,,15A7_WT_DARK_Col0_03g_Rep3
JBA1_WT_DARK_Col0_0g_Rep1,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,1,False,RNA-seq,,,,JBA1_WT_DARK_Col0_0g_Rep1
JBB1_WT_DARK_Col0_0g_Rep2,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,2,False,RNA-seq,,,,JBB1_WT_DARK_Col0_0g_Rep2
JBH2_WT_RED_Col0_0g_Rep1,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,1,False,RNA-seq,,,,JBH2_WT_RED_Col0_0g_Rep1
JBA3_WT_RED_Col0_0g_Rep2,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,2,False,RNA-seq,,,,JBA3_WT_RED_Col0_0g_Rep2
JBB3_WT_RED_Col0_0g_Rep3,OSD-314,Arabidopsis thaliana,,,,spaceflight-LEO,ionizing-mixed-chronic,mixed,1.0,True,,,,,3,False,RNA-seq,,,,JBB3_WT_RED_Col0_0g_Rep3
GSM1506014,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,,,False,microarray,,,,GSM1506014
GSM1506015,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,,,False,microarray,,,,GSM1506015
GSM1506016,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,3.0,,,False,microarray,,,,GSM1506016
GSM1506017,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,3.0,,,False,microarray,,,,GSM1506017
GSM1506018,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,,,False,microarray,,,,GSM1506018
GSM1506019,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,,,False,microarray,,,,GSM1506019
GSM1506020,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,,,False,microarray,,,,GSM1506020
GSM1506021,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,,,False,microarray,,,,GSM1506021
GSM1506022,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,,,False,microarray,,,,GSM1506022
GSM1506023,OSD-320,Arabidopsis thaliana,,Wild Type,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,,,False,microarray,,,,GSM1506023
GSM1506024,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,1.5,,,False,microarray,,,,GSM1506024
GSM1506025,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,1.5,,,False,microarray,,,,GSM1506025
GSM1506026,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,3.0,,,False,microarray,,,,GSM1506026
GSM1506027,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,3.0,,,False,microarray,,,,GSM1506027
GSM1506028,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,6.0,,,False,microarray,,,,GSM1506028
GSM1506029,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,6.0,,,False,microarray,,,,GSM1506029
GSM1506030,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,12.0,,,False,microarray,,,,GSM1506030
GSM1506031,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,12.0,,,False,microarray,,,,GSM1506031
GSM1506032,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,24.0,,,False,microarray,,,,GSM1506032
GSM1506033,OSD-320,Arabidopsis thaliana,,Wild Type,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,24.0,,,False,microarray,,,,GSM1506033
GSM1506034,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,,,False,microarray,,,,GSM1506034
GSM1506035,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,1.5,,,False,microarray,,,,GSM1506035
GSM1506036,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,,,False,microarray,,,,GSM1506036
GSM1506037,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,6.0,,,False,microarray,,,,GSM1506037
GSM1506038,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,,,False,microarray,,,,GSM1506038
GSM1506039,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,12.0,,,False,microarray,,,,GSM1506039
GSM1506040,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,,,False,microarray,,,,GSM1506040
GSM1506041,OSD-320,Arabidopsis thaliana,,atm-1,,gamma,ionizing-photon-low-LET,low,0.2,True,100.0,,24.0,,,False,microarray,,,,GSM1506041
GSM1506042,OSD-320,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,1.5,,,False,microarray,,,,GSM1506042
GSM1506043,OSD-320,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,1.5,,,False,microarray,,,,GSM1506043
GSM1506044,OSD-320,Arabidopsis thaliana,,atm-1,,HZE-Fe,ionizing-particulate-high-LET,high,175.0,True,100.0,,6.0,,,False,microarray,,,,GSM1506044
