Time,CellType,OutgoingSignal,IncomingSignal,NetSignal
0-0.5h,cotyledon,39520.093798448914,39914.54204197924,-394.4482435303289
0-0.5h,dna_damage_response,41959.05592955733,42428.77700011123,-469.7210705538964
0-0.5h,hormone_response_aba,45969.26343754315,46516.827429251,-547.5639917078515
0-0.5h,hormone_response_auxin,37329.58976086386,37628.82079979238,-299.2310389285194
0-0.5h,hormone_response_cytokinin,31672.042686335448,31129.538896817423,542.5037895180249
0-0.5h,hormone_response_ethylene,43378.002341974934,44042.20693001269,-664.2045880377555
0-0.5h,hormone_response_ja,39470.02938137725,40077.300955286075,-607.2715739088235
0-0.5h,hormone_response_sa,45565.57089696724,45971.10442276425,-405.5335257970073
0-0.5h,hypocotyl,46702.27974861281,47259.832610772115,-557.5528621593039
0-0.5h,leaf_epidermis,8662.841831442029,7016.086065485576,1646.7557659564527
0-0.5h,leaf_mesophyll,55016.306393838895,55165.75005896915,-149.44366513025307
0-0.5h,leaf_vasculature,7025.91907551903,5864.3583942815385,1161.5606812374917
0-0.5h,oxidative_stress,50573.60437745247,51096.55489234413,-522.9505148916578
0-0.5h,root_columella,43118.53428331428,43669.985513085354,-551.4512297710753
0-0.5h,root_cortex,47410.78498113777,47745.60602061448,-334.82103947671567
0-0.5h,root_endodermis,48297.42714772213,48886.43268723263,-589.005539510501
0-0.5h,root_epidermis,26962.930340502586,25499.09972018974,1463.830620312845
0-0.5h,root_lateral_root_cap,0.0,0.0,0.0
0-0.5h,root_meristem,35972.24098085759,35943.92576591107,28.31521494651679
0-0.5h,root_pericycle,50212.17026212693,50545.37331875591,-333.2030566289832
0-0.5h,root_phloem,32029.70985092544,31557.599432940715,472.11041798472434
0-0.5h,root_stele,27490.660679898807,26183.18470062711,1307.4759792716977
0-0.5h,root_xylem,37287.66271066984,37416.40652423271,-128.74381356286904
0-0.5h,shoot_apical_meristem,35978.97388241239,36046.3805980446,-67.4067156322053
0.5-2h,cotyledon,47216.743109917974,47933.687502891444,-716.9443929734698
0.5-2h,dna_damage_response,42951.991981237275,43383.37997961581,-431.3879983785373
0.5-2h,hormone_response_aba,47986.85416105199,48494.98597094568,-508.13180989368993
0.5-2h,hormone_response_auxin,39548.68259987509,39902.54298512106,-353.860385245971
0.5-2h,hormone_response_cytokinin,38084.86515279595,38104.493740883845,-19.62858808789315
0.5-2h,hormone_response_ethylene,46272.50274693762,46940.54896605202,-668.0462191143961
0.5-2h,hormone_response_ja,33974.730131064876,34050.33954147958,-75.60941041470505
0.5-2h,hormone_response_sa,47149.16054767091,47523.72262895227,-374.56208128136495
0.5-2h,hypocotyl,48492.38684104223,49011.86377435697,-519.4769333147415
0.5-2h,leaf_epidermis,14854.549434830878,12937.573477203807,1916.9759576270717
0.5-2h,leaf_mesophyll,56355.6793805625,56439.96633090044,-84.28695033794065
0.5-2h,leaf_vasculature,14813.252687395478,13442.153319697272,1371.0993676982052
0.5-2h,oxidative_stress,53051.87566380363,53462.53898120056,-410.66331739693123
0.5-2h,root_columella,43920.95335569077,44433.69975003234,-512.7463943415714
0.5-2h,root_cortex,48788.3268237757,49081.27707190303,-292.95024812733027
0.5-2h,root_endodermis,50425.275459928955,50967.97026931621,-542.6948093872561
0.5-2h,root_epidermis,28680.15416967607,27254.72926746376,1425.4249022123076
0.5-2h,root_lateral_root_cap,0.0,0.0,0.0
0.5-2h,root_meristem,41930.17723553567,42292.042995540825,-361.86576000515197
0.5-2h,root_pericycle,51501.750742293516,51789.04247646507,-287.29173417155107
0.5-2h,root_phloem,36364.2282241699,36204.49586071613,159.7323634537679
0.5-2h,root_stele,28742.038250220397,27405.131419845806,1336.9068303745917
0.5-2h,root_xylem,38605.854175260494,38714.265622104846,-108.4114468443513
0.5-2h,shoot_apical_meristem,36179.190087541785,36120.77102959085,58.41905795093771
2-6h,cotyledon,40405.03496774564,40921.098089145766,-516.063121400126
2-6h,dna_damage_response,42334.752823183866,42893.20969149869,-558.4568683148245
2-6h,hormone_response_aba,47041.95125352596,47688.00274593616,-646.0514924102026
2-6h,hormone_response_auxin,38875.244406653175,39349.32142251433,-474.0770158611558
2-6h,hormone_response_cytokinin,32323.397788982613,31888.191392494005,435.2063964886074
2-6h,hormone_response_ethylene,45621.158022267686,46418.022519166334,-796.8644968986482
2-6h,hormone_response_ja,29156.60671463748,28900.99318824853,255.61352638895187
2-6h,hormone_response_sa,46424.01986217701,46929.52128389929,-505.5014217222779
2-6h,hypocotyl,46988.37420669453,47649.28644942177,-660.912242727245
2-6h,leaf_epidermis,7691.9373302588565,6163.259844754669,1528.6774855041876
2-6h,leaf_mesophyll,53796.615117492845,54072.30932030724,-275.6942028143967
2-6h,leaf_vasculature,29713.20568971223,30026.096692749055,-312.89100303682426
2-6h,oxidative_stress,56321.11581240277,56656.77067833855,-335.6548659357795
2-6h,root_columella,42168.627264162664,42771.35288362867,-602.7256194660076
2-6h,root_cortex,45777.89782096102,46164.417276246124,-386.5194552851026
2-6h,root_endodermis,47053.066170495804,47737.64155556175,-684.5753850659457
2-6h,root_epidermis,24602.68023309025,22807.280165263146,1795.400067827104
2-6h,root_lateral_root_cap,4642.121578545275,3313.3465600246964,1328.7750185205787
2-6h,root_meristem,35044.08000937015,34941.533581624324,102.54642774582317
2-6h,root_pericycle,50190.31409201003,50629.397002604586,-439.0829105945595
2-6h,root_phloem,34007.51812252808,33792.364702991064,215.15341953701864
2-6h,root_stele,23335.50843028377,21468.996870955383,1866.511559328388
2-6h,root_xylem,37695.28167394531,37903.92092126041,-208.63924731509906
2-6h,shoot_apical_meristem,36136.55003425786,36260.72458675031,-124.17455249244813
6-12h,cotyledon,42797.77606460934,43520.44113199,-722.6650673806653
6-12h,dna_damage_response,41229.318886374385,41757.3509199258,-528.0320335514116
6-12h,hormone_response_aba,43510.986121896814,44116.12429374078,-605.1381718439661
6-12h,hormone_response_auxin,37244.00561613994,37636.67723954165,-392.6716234017076
6-12h,hormone_response_cytokinin,32604.714667208504,32295.300787629796,309.41387957870757
6-12h,hormone_response_ethylene,41376.01619594989,42050.73872248304,-674.7225265331508
6-12h,hormone_response_ja,26907.88080302003,26463.40707137597,444.47373164406235
6-12h,hormone_response_sa,45024.204193222584,45495.55949505298,-471.3553018303937
6-12h,hypocotyl,46139.47194278572,46769.35935977058,-629.8874169848568
6-12h,leaf_epidermis,10396.683872319729,8681.055723686984,1715.6281486327443
6-12h,leaf_mesophyll,54792.373585013,54978.366260864546,-185.99267585154303
6-12h,leaf_vasculature,11316.505540104929,10019.12011276081,1297.3854273441193
6-12h,oxidative_stress,51789.13081849173,52283.44743733608,-494.31661884435016
6-12h,root_columella,42995.235921524414,43624.880848322275,-629.6449267978605
6-12h,root_cortex,46695.434745285354,47094.068661731035,-398.63391644568037
6-12h,root_endodermis,44976.433861515296,45610.49478862873,-634.0609271134308
6-12h,root_epidermis,25092.662722551882,23479.00343496956,1613.6592875823226
6-12h,root_lateral_root_cap,0.0,0.0,0.0
6-12h,root_meristem,32726.69608593093,32428.68983489012,298.00625104080973
6-12h,root_pericycle,49394.13922949727,49797.005657850576,-402.8664283533071
6-12h,root_phloem,33621.574824755684,33442.218699183686,179.35612557199784
6-12h,root_stele,27518.280621572114,26334.80845160877,1183.4721699633446
6-12h,root_xylem,36997.674625427215,37203.64343368214,-205.96880825492553
6-12h,shoot_apical_meristem,34856.73404456511,34922.17262273604,-65.43857817092794
12-30h,cotyledon,26421.533530523964,25350.805186002337,1070.7283445216272
12-30h,dna_damage_response,40031.39205023571,40653.171372136065,-621.7793219003579
12-30h,hormone_response_aba,42258.10831865357,42962.45683609032,-704.3485174367524
12-30h,hormone_response_auxin,36158.592144460374,36635.69121249017,-477.0990680297982
12-30h,hormone_response_cytokinin,30033.410951880567,29606.005628678387,427.4053232021797
12-30h,hormone_response_ethylene,40869.116990219445,41664.35279972307,-795.2358095036252
12-30h,hormone_response_ja,25202.430721932695,24738.128494386932,464.30222754576243
12-30h,hormone_response_sa,43819.81308786893,44394.57211222144,-574.7590243525046
12-30h,hypocotyl,45077.73970162981,45816.09939439343,-738.3596927636172
12-30h,leaf_epidermis,8431.239784839552,6906.727676780459,1524.5121080590934
12-30h,leaf_mesophyll,53856.66441372502,54145.41356608641,-288.7491523613935
12-30h,leaf_vasculature,11927.325898654635,10726.561862169983,1200.764036484652
12-30h,oxidative_stress,50234.05552613673,50879.26745070869,-645.2119245719587
12-30h,root_columella,41653.68213508307,42379.87725315326,-726.1951180701872
12-30h,root_cortex,45925.213764245156,46437.655834188765,-512.4420699436087
12-30h,root_endodermis,43208.654739046855,43924.367279549115,-715.7125405022598
12-30h,root_epidermis,22847.780236422343,21132.875596256945,1714.9046401653977
12-30h,root_lateral_root_cap,0.0,0.0,0.0
12-30h,root_meristem,34214.12414734732,34300.32938778118,-86.20524043386104
12-30h,root_pericycle,48272.07289369962,48788.342914469926,-516.2700207703092
12-30h,root_phloem,30924.570115597777,30636.644343652773,287.92577194500336
12-30h,root_stele,26089.418641484262,24921.64638152175,1167.7722599625122
12-30h,root_xylem,36268.986076783396,36592.86713468956,-323.881057906161
12-30h,shoot_apical_meristem,33637.26336039344,33769.32951373327,-132.06615333983063
