LR_pair,timepoint,n_qualities,max_quality,min_quality,max_mean_strength,min_mean_strength,max_min_ratio,pvalue,padj,specificity,mean_HZE-Fe,std_HZE-Fe,n_HZE-Fe,mean_UV-B,std_UV-B,n_UV-B,mean_gamma,std_gamma,n_gamma,mean_GCR,std_GCR,n_GCR
AT1G01560->AT1G30570,0.5-2h,3,gamma,UV-B,152.67804928786074,0.13116236315632535,1164.038567267136,0.01117080950080255,0.011321109272479356,quality-specific,0.1340049860874628,0.00024412162266155622,8,0.13116236315632535,0.0008623752804533788,9.0,152.67804928786074,116.38271934013436,22,,,
AT1G01560->AT2G21480,0.5-2h,3,gamma,UV-B,8.54878170353413,0.08379763757535479,102.01697745770772,0.01117080950080255,0.011321109272479356,quality-specific,0.08562752764611573,0.00015630820550364315,8,0.08379763757535479,0.0005538564017491142,9.0,8.54878170353413,6.6082886721921605,22,,,
AT1G01560->AT2G23200,0.5-2h,3,gamma,UV-B,135.2511701426885,0.10521479598518108,1285.476713386755,0.01117080950080255,0.011321109272479356,quality-specific,0.10750045746902248,0.00019588289671471727,8,0.10521479598518108,0.0006944899274684682,9.0,135.2511701426885,103.35574417349818,22,,,
AT1G01560->AT2G39360,0.5-2h,3,gamma,UV-B,156.4947476476236,0.13207397663595852,1184.9022164220673,0.01117080950080255,0.011321109272479356,quality-specific,0.134923312369168,0.00024464833922373453,8,0.13207397663595852,0.0008681514361084828,9.0,156.4947476476236,119.22838230905805,22,,,
AT1G01560->AT3G04690,0.5-2h,3,gamma,UV-B,84.84993339546013,0.08658106982247284,980.0056013333832,0.01117080950080255,0.011321109272479356,quality-specific,0.08847418488088687,0.00016144920698466498,8,0.08658106982247284,0.0005718223334410259,9.0,84.84993339546013,65.27918576163356,22,,,
AT1G01560->AT3G46290,0.5-2h,3,gamma,UV-B,163.8647243375383,0.16723140690344573,979.8681202996082,0.01117080950080255,0.011321109272479356,quality-specific,0.17083104654788095,0.0003095140953738585,8,0.16723140690344573,0.001094350002574514,9.0,163.8647243375383,124.70790999547849,22,,,
AT1G01560->AT3G51550,0.5-2h,3,gamma,UV-B,193.97074014061948,0.2212256429800255,876.8004356444932,0.01117080950080255,0.011321109272479356,quality-specific,0.22597464260210823,0.00040783500566839024,8,0.2212256429800255,0.001436345569204554,9.0,193.97074014061948,147.169919346858,22,,,
AT1G01560->AT4G39110,0.5-2h,3,gamma,UV-B,98.7248150244407,0.08361948546187531,1180.6436559508893,0.01117080950080255,0.011321109272479356,quality-specific,0.08544567528302716,0.00015603461971063816,8,0.08361948546187531,0.0005524250205755875,9.0,98.7248150244407,75.87703538876148,22,,,
AT1G01560->AT5G24010,0.5-2h,3,gamma,UV-B,153.87407572574475,0.13405077593307246,1147.8790380338378,0.01117080950080255,0.011321109272479356,quality-specific,0.13696104079765942,0.0002485860164418154,8,0.13405077593307246,0.0008811757425693771,9.0,153.87407572574475,117.2712762398272,22,,,
AT1G01560->AT5G28680,0.5-2h,3,gamma,UV-B,1.481270327214068,0.0814335006151331,18.189937998794537,0.01117080950080255,0.011321109272479356,quality-specific,0.08321593447244358,0.000151809141918879,8,0.0814335006151331,0.0005383898853224162,9.0,1.481270327214068,1.0800012689762166,22,,,
AT1G01560->AT5G39020,0.5-2h,3,gamma,UV-B,101.43211269192831,0.09637759751874213,1052.44491773312,0.01117080950080255,0.011321109272479356,quality-specific,0.09847903036499288,0.00017961366667603742,8,0.09637759751874213,0.000635836767710173,9.0,101.43211269192831,77.90518752380349,22,,,
AT1G01560->AT5G39030,0.5-2h,3,gamma,UV-B,98.68440187816496,0.08573072855363012,1151.0972033374414,0.01117080950080255,0.011321109272479356,quality-specific,0.08759771523914774,0.0001601582852508984,8,0.08573072855363012,0.0005662665893962805,9.0,98.68440187816496,75.81875107537678,22,,,
AT1G01560->AT5G54380,0.5-2h,3,gamma,UV-B,184.46570920572972,0.1851004168642619,996.5710090269671,0.01117080950080255,0.011321109272479356,quality-specific,0.18907995691491172,0.00034210885385002653,8,0.1851004168642619,0.0012074805552460821,9.0,184.46570920572972,140.08603460730538,22,,,
AT1G01560->AT5G61350,0.5-2h,3,gamma,UV-B,118.52085863557767,0.09753302841313326,1215.1869019543158,0.01117080950080255,0.011321109272479356,quality-specific,0.09963296051626591,0.0001821179899388369,8,0.09753302841313326,0.0006432912499477082,9.0,118.52085863557767,90.77308307853045,22,,,
AT1G01900->AT1G20850,0.5-2h,3,gamma,UV-B,186.17562903701125,0.2648267730790609,703.0090910839696,0.01117080950080255,0.011321109272479356,quality-specific,0.27041604330851443,0.000488523226874635,8,0.2648267730790609,0.0017179115289029092,9.0,186.17562903701125,141.42785206454198,22,,,
AT1G01900->AT2G02220,0.5-2h,3,gamma,UV-B,196.09688008016428,0.18434770995067928,1063.7337460423478,0.01117080950080255,0.011321109272479356,quality-specific,0.1882857836713308,0.0003405529938329591,8,0.18434770995067928,0.0012083208486379352,9.0,196.09688008016428,148.8945483641773,22,,,
AT1G01900->AT3G02130,0.5-2h,3,gamma,UV-B,198.08613986658904,0.21437474665360026,924.0180709655539,0.01117080950080255,0.011321109272479356,quality-specific,0.21893646073050865,0.00039596400612228216,8,0.21437474665360026,0.0013991592691469296,9.0,198.08613986658904,150.36033184444182,22,,,
AT1G01900->AT4G35350,0.5-2h,3,gamma,UV-B,177.74279029764583,0.23032839676708416,771.6929080064119,0.01117080950080255,0.011321109272479356,quality-specific,0.23517610921662416,0.00042733732669709057,8,0.23032839676708416,0.0014996663114416513,9.0,177.74279029764583,135.1612438170379,22,,,
AT1G01980->AT5G10770,0.5-2h,3,gamma,UV-B,25.875299569389096,0.10459258509774062,247.39133797303998,0.01117080950080255,0.011321109272479356,quality-specific,0.10686877552888208,0.0001954719372212277,8,0.10459258509774062,0.0006908875688443103,9.0,25.875299569389096,19.796454375222773,22,,,
AT1G02640->AT4G13800,0.5-2h,3,gamma,UV-B,123.67942666513646,0.16204418839692145,763.2450622800993,0.01117080950080255,0.011321109272479356,quality-specific,0.16553089965646897,0.0003035322588351853,8,0.16204418839692145,0.0010588569637478105,9.0,123.67942666513646,94.3310061445509,22,,,
AT1G02640->AT5G09870,0.5-2h,3,gamma,UV-B,265.1517535727533,0.35138925802502086,754.581272811342,0.01117080950080255,0.011321109272479356,quality-specific,0.3587818563466136,0.0006489554640797635,8,0.35138925802502086,0.0022588518103465356,9.0,265.1517535727533,200.61029726931326,22,,,
AT1G02790->AT4G14815,0.5-2h,3,HZE-Fe,gamma,0.07412865949154243,0.029895628693123254,2.4795818897962794,3.656037190547483e-06,0.00037452444979968415,quality-specific,0.07412865949154243,0.00013647098592088974,8,0.07255385647747255,0.0004803663215791612,9.0,0.029895628693123254,0.032077452502125126,22,,,
AT1G02790->AT5G49720,0.5-2h,3,gamma,UV-B,9.87688811172636,0.18448045150702905,53.53894155744753,0.01117080950080255,0.011321109272479356,quality-specific,0.18841450211796557,0.00034237556803922586,8,0.18448045150702905,0.0011980662495048638,9.0,9.87688811172636,7.440616466189196,22,,,
AT1G02810->AT1G11050,0.5-2h,3,gamma,UV-B,223.14760547355755,0.1608624831508811,1387.1948331436363,0.01117080950080255,0.011321109272479356,quality-specific,0.16430238967028507,0.00029674085836444466,8,0.1608624831508811,0.0010525858660198168,9.0,223.14760547355755,169.1665880678663,22,,,
AT1G02810->AT3G54920,0.5-2h,3,gamma,UV-B,240.0327493682561,0.2083828545791744,1151.883392004578,0.01117080950080255,0.011321109272479356,quality-specific,0.2128148216157314,0.0003869520915561075,8,0.2083828545791744,0.0013578942975506507,9.0,240.0327493682561,181.7781380279819,22,,,
AT1G02810->AT5G49770,0.5-2h,3,gamma,UV-B,176.83318815908527,0.10744581211417596,1645.7894884835127,0.01117080950080255,0.011321109272479356,quality-specific,0.10975445087646399,0.00020060895868417522,8,0.10744581211417596,0.0007087459977305319,9.0,176.83318815908527,134.56256817983936,22,,,
AT1G02900->AT1G30570,0.5-2h,3,gamma,UV-B,231.80260590327737,0.24416448360101736,949.3706966901042,0.01117080950080255,0.011321109272479356,quality-specific,0.24932242712150166,0.0004531854267850704,8,0.24416448360101736,0.001586531455933635,9.0,231.80260590327737,175.59849815648624,22,,,
AT1G02900->AT2G05940,0.5-2h,3,gamma,UV-B,238.0500844657319,0.3362082975567537,708.0434545954294,0.01117080950080255,0.011321109272479356,quality-specific,0.34326955497931755,0.0006161618769959834,8,0.3362082975567537,0.002164296850552187,9.0,238.0500844657319,180.196471558538,22,,,
AT1G02900->AT2G20700,0.5-2h,3,gamma,UV-B,59.12254500020967,0.21386167265405276,276.45227060319297,0.01117080950080255,0.011321109272479356,quality-specific,0.21839517916005627,0.0003968940548149106,8,0.21386167265405276,0.0013910140537980334,9.0,59.12254500020967,45.3440619546405,22,,,
AT1G02900->AT3G04690,0.5-2h,3,gamma,UV-B,158.50314730412367,0.16119499453917585,983.3006772775567,0.01117080950080255,0.011321109272479356,quality-specific,0.1646332884603115,0.0002998496135018462,8,0.16119499453917585,0.0010527061459665431,9.0,158.50314730412367,120.7214470842731,22,,,
AT1G02900->AT3G46290,0.5-2h,3,gamma,UV-B,240.63488426788845,0.31127659782064315,773.0580646044638,0.01117080950080255,0.011321109272479356,quality-specific,0.31780321708414994,0.0005743567095155215,8,0.31127659782064315,0.002012171342136273,9.0,240.63488426788845,182.1640250541234,22,,,
AT1G02900->AT3G51550,0.5-2h,3,gamma,UV-B,260.17256881684324,0.411715570298788,631.9230740485044,1.0920436610887065e-08,6.991809540120443e-06,quality-specific,0.4203179668691357,0.0007563780337257144,32,0.411715570298788,0.002638735710033262,36.0,260.17256881684324,196.81060133441085,88,,,
