Time,Source,Target,Strength
0-0.5h,cotyledon,cotyledon,1798.3890596342117
0-0.5h,cotyledon,dna_damage_response,1916.1347124325937
0-0.5h,cotyledon,hormone_response_aba,2106.5703475390733
0-0.5h,cotyledon,hormone_response_auxin,1691.9655983354573
0-0.5h,cotyledon,hormone_response_cytokinin,1387.069516188007
0-0.5h,cotyledon,hormone_response_ethylene,1991.6346628694112
0-0.5h,cotyledon,hormone_response_ja,1806.845949279248
0-0.5h,cotyledon,hormone_response_sa,2080.7397426194084
0-0.5h,cotyledon,hypocotyl,2140.7872631570426
0-0.5h,cotyledon,leaf_epidermis,293.7115040018418
0-0.5h,cotyledon,leaf_mesophyll,2500.5790172634966
0-0.5h,cotyledon,leaf_vasculature,244.49067261716175
0-0.5h,cotyledon,oxidative_stress,2316.6281058332156
0-0.5h,cotyledon,root_columella,1974.478507884802
0-0.5h,cotyledon,root_cortex,2162.922133435727
0-0.5h,cotyledon,root_endodermis,2215.3762642123
0-0.5h,cotyledon,root_epidermis,1124.7734371267386
0-0.5h,cotyledon,root_lateral_root_cap,0.0
0-0.5h,cotyledon,root_meristem,1612.3948089088885
0-0.5h,cotyledon,root_pericycle,2291.393252346374
0-0.5h,cotyledon,root_phloem,1407.0115631995861
0-0.5h,cotyledon,root_stele,1156.8494765454534
0-0.5h,cotyledon,root_xylem,1681.7138224260962
0-0.5h,cotyledon,shoot_apical_meristem,1617.63438059278
0-0.5h,dna_damage_response,cotyledon,1913.6962991471637
0-0.5h,dna_damage_response,dna_damage_response,2032.9805217907935
0-0.5h,dna_damage_response,hormone_response_aba,2223.9161495513017
0-0.5h,dna_damage_response,hormone_response_auxin,1805.0540182874245
0-0.5h,dna_damage_response,hormone_response_cytokinin,1492.4194852597623
0-0.5h,dna_damage_response,hormone_response_ethylene,2108.546250341097
0-0.5h,dna_damage_response,hormone_response_ja,1921.6638938188214
0-0.5h,dna_damage_response,hormone_response_sa,2198.87685157857
0-0.5h,dna_damage_response,hypocotyl,2258.2675480936236
0-0.5h,dna_damage_response,leaf_epidermis,328.03320018248695
0-0.5h,dna_damage_response,leaf_mesophyll,2618.0752581951665
0-0.5h,dna_damage_response,leaf_vasculature,273.7301880378243
0-0.5h,dna_damage_response,oxidative_stress,2433.6502820876826
0-0.5h,dna_damage_response,root_columella,2091.3438131995904
0-0.5h,dna_damage_response,root_cortex,2281.3929918458207
0-0.5h,dna_damage_response,root_endodermis,2333.2164196865297
0-0.5h,dna_damage_response,root_epidermis,1219.6465394446307
0-0.5h,dna_damage_response,root_lateral_root_cap,0.0
0-0.5h,dna_damage_response,root_meristem,1724.3621404609457
0-0.5h,dna_damage_response,root_pericycle,2409.5573894416025
0-0.5h,dna_damage_response,root_phloem,1513.2245990082254
0-0.5h,dna_damage_response,root_stele,1253.018291382678
0-0.5h,dna_damage_response,root_xylem,1794.9749899136011
0-0.5h,dna_damage_response,shoot_apical_meristem,1729.4088088019905
0-0.5h,hormone_response_aba,cotyledon,2105.188991672774
0-0.5h,hormone_response_aba,dna_damage_response,2221.8779176119365
0-0.5h,hormone_response_aba,hormone_response_aba,2406.1055993047053
0-0.5h,hormone_response_aba,hormone_response_auxin,1996.7778469386735
0-0.5h,hormone_response_aba,hormone_response_cytokinin,1682.0973859047124
0-0.5h,hormone_response_aba,hormone_response_ethylene,2294.87768800624
0-0.5h,hormone_response_aba,hormone_response_ja,2111.610264712666
0-0.5h,hormone_response_aba,hormone_response_sa,2383.3572117480658
0-0.5h,hormone_response_aba,hypocotyl,2439.363367776747
0-0.5h,hormone_response_aba,leaf_epidermis,401.8106420998098
0-0.5h,hormone_response_aba,leaf_mesophyll,2782.6796181123073
0-0.5h,hormone_response_aba,leaf_vasculature,336.0385176163487
0-0.5h,hormone_response_aba,oxidative_stress,2607.101872855416
0-0.5h,hormone_response_aba,root_columella,2278.060496209359
0-0.5h,hormone_response_aba,root_cortex,2462.868076068355
0-0.5h,hormone_response_aba,root_endodermis,2511.8977045127717
0-0.5h,hormone_response_aba,root_epidermis,1398.9862080431296
0-0.5h,hormone_response_aba,root_lateral_root_cap,0.0
0-0.5h,hormone_response_aba,root_meristem,1917.246730339078
0-0.5h,hormone_response_aba,root_pericycle,2585.2100759495074
0-0.5h,hormone_response_aba,root_phloem,1703.5250392462456
0-0.5h,hormone_response_aba,root_stele,1433.6736011723117
0-0.5h,hormone_response_aba,root_xylem,1987.2695558194455
0-0.5h,hormone_response_aba,shoot_apical_meristem,1921.6390258225433
0-0.5h,hormone_response_auxin,cotyledon,1692.847915949856
0-0.5h,hormone_response_auxin,dna_damage_response,1811.0571782847683
0-0.5h,hormone_response_auxin,hormone_response_aba,2004.5495251610769
0-0.5h,hormone_response_auxin,hormone_response_auxin,1586.6937859708098
0-0.5h,hormone_response_auxin,hormone_response_cytokinin,1285.778627540525
0-0.5h,hormone_response_auxin,hormone_response_ethylene,1887.5561082089787
0-0.5h,hormone_response_auxin,hormone_response_ja,1701.6105113188826
0-0.5h,hormone_response_auxin,hormone_response_sa,1977.6072211338403
0-0.5h,hormone_response_auxin,hypocotyl,2039.3757747082363
0-0.5h,hormone_response_auxin,leaf_epidermis,259.51472511142543
0-0.5h,hormone_response_auxin,leaf_mesophyll,2410.8922112438163
0-0.5h,hormone_response_auxin,leaf_vasculature,215.8710716381406
0-0.5h,hormone_response_auxin,oxidative_stress,2220.123839250606
0-0.5h,hormone_response_auxin,root_columella,1870.1586067570488
0-0.5h,hormone_response_auxin,root_cortex,2061.291245146994
0-0.5h,hormone_response_auxin,root_endodermis,2115.5810837075587
0-0.5h,hormone_response_auxin,root_epidermis,1031.4497387308359
0-0.5h,hormone_response_auxin,root_lateral_root_cap,0.0
0-0.5h,hormone_response_auxin,root_meristem,1507.414478364637
0-0.5h,hormone_response_auxin,root_pericycle,2193.5011799731005
0-0.5h,hormone_response_auxin,root_phloem,1305.1757732669362
0-0.5h,hormone_response_auxin,root_stele,1062.4446861429753
0-0.5h,hormone_response_auxin,root_xylem,1576.3428153082045
0-0.5h,hormone_response_auxin,shoot_apical_meristem,1512.7516579446124
0-0.5h,hormone_response_cytokinin,cotyledon,1422.559440741511
0-0.5h,hormone_response_cytokinin,dna_damage_response,1536.844346668904
0-0.5h,hormone_response_cytokinin,hormone_response_aba,1729.8084951446867
0-0.5h,hormone_response_cytokinin,hormone_response_auxin,1321.4411499785433
0-0.5h,hormone_response_cytokinin,hormone_response_cytokinin,1041.4325039838166
0-0.5h,hormone_response_cytokinin,hormone_response_ethylene,1612.9237161767455
0-0.5h,hormone_response_cytokinin,hormone_response_ja,1431.6312009736455
0-0.5h,hormone_response_cytokinin,hormone_response_sa,1701.3857341957873
0-0.5h,hormone_response_cytokinin,hypocotyl,1764.8695694088694
0-0.5h,hormone_response_cytokinin,leaf_epidermis,187.11843754031506
0-0.5h,hormone_response_cytokinin,leaf_mesophyll,2149.093807330802
0-0.5h,hormone_response_cytokinin,leaf_vasculature,155.49800965911135
0-0.5h,hormone_response_cytokinin,oxidative_stress,1950.4365267878493
0-0.5h,hormone_response_cytokinin,root_columella,1595.416465431618
0-0.5h,hormone_response_cytokinin,root_cortex,1785.332845272515
0-0.5h,hormone_response_cytokinin,root_endodermis,1842.004796350914
0-0.5h,hormone_response_cytokinin,root_epidermis,814.2817213717877
0-0.5h,hormone_response_cytokinin,root_lateral_root_cap,0.0
0-0.5h,hormone_response_cytokinin,root_meristem,1245.9154079823545
0-0.5h,hormone_response_cytokinin,root_pericycle,1921.3383690968124
0-0.5h,hormone_response_cytokinin,root_phloem,1058.7895723874583
0-0.5h,hormone_response_cytokinin,root_stele,841.6215106530957
0-0.5h,hormone_response_cytokinin,root_xylem,1311.0804153722809
0-0.5h,hormone_response_cytokinin,shoot_apical_meristem,1251.2186438260233
0-0.5h,hormone_response_ethylene,cotyledon,1981.8914407064428
0-0.5h,hormone_response_ethylene,dna_damage_response,2099.7479666057557
0-0.5h,hormone_response_ethylene,hormone_response_aba,2287.417367288505
0-0.5h,hormone_response_ethylene,hormone_response_auxin,1873.722358565594
0-0.5h,hormone_response_ethylene,hormone_response_cytokinin,1561.2561498860525
0-0.5h,hormone_response_ethylene,hormone_response_ethylene,2174.116169379239
0-0.5h,hormone_response_ethylene,hormone_response_ja,1989.3087026128485
0-0.5h,hormone_response_ethylene,hormone_response_sa,2263.249294299251
0-0.5h,hormone_response_ethylene,hypocotyl,2321.1857754425655
0-0.5h,hormone_response_ethylene,leaf_epidermis,355.27461087404066
0-0.5h,hormone_response_ethylene,leaf_mesophyll,2672.961672699252
0-0.5h,hormone_response_ethylene,leaf_vasculature,296.46278965195154
0-0.5h,hormone_response_ethylene,oxidative_stress,2492.9065989306537
0-0.5h,hormone_response_ethylene,root_columella,2157.129564943114
0-0.5h,hormone_response_ethylene,root_cortex,2344.2233155554663
0-0.5h,hormone_response_ethylene,root_endodermis,2394.828025100441
0-0.5h,hormone_response_ethylene,root_epidermis,1285.34981353992
0-0.5h,hormone_response_ethylene,root_lateral_root_cap,0.0
0-0.5h,hormone_response_ethylene,root_meristem,1793.6846117691705
0-0.5h,hormone_response_ethylene,root_pericycle,2469.5756814691654
0-0.5h,hormone_response_ethylene,root_phloem,1582.222231479305
0-0.5h,hormone_response_ethylene,root_stele,1319.1259160588565
0-0.5h,hormone_response_ethylene,root_xylem,1863.8587640222618
0-0.5h,hormone_response_ethylene,shoot_apical_meristem,1798.5035210950796
0-0.5h,hormone_response_ja,cotyledon,1795.4498393355204
0-0.5h,hormone_response_ja,dna_damage_response,1914.046265972614
0-0.5h,hormone_response_ja,hormone_response_aba,2106.234594282421
0-0.5h,hormone_response_ja,hormone_response_auxin,1688.0262679305745
0-0.5h,hormone_response_ja,hormone_response_cytokinin,1381.118555270515
0-0.5h,hormone_response_ja,hormone_response_ethylene,1990.1756475505215
0-0.5h,hormone_response_ja,hormone_response_ja,1803.7607999717939
0-0.5h,hormone_response_ja,hormone_response_sa,2080.142989582638
0-0.5h,hormone_response_ja,hypocotyl,2140.796806004561
0-0.5h,hormone_response_ja,leaf_epidermis,290.48022054421983
0-0.5h,hormone_response_ja,leaf_mesophyll,2505.787645122708
0-0.5h,hormone_response_ja,leaf_vasculature,242.23060598838603
0-0.5h,hormone_response_ja,oxidative_stress,2318.669468176405
