Quality,Time,LR_pair,SignalStrength,n_samples,platform
gamma,0-0.5h,AT1G15190->AT3G46550,156.6265951084942,16,rnaseq
gamma,0-0.5h,AT1G19940->AT5G19240,251.76805063152676,16,rnaseq
gamma,0-0.5h,AT1G19940->AT4G12730,275.29727972720207,16,rnaseq
gamma,0-0.5h,AT1G19940->AT5G17420,213.64313624487295,16,rnaseq
gamma,0-0.5h,AT1G19940->AT2G22125,301.859179527669,16,rnaseq
gamma,0-0.5h,AT1G19940->AT4G18780,210.94216990359004,16,rnaseq
gamma,0-0.5h,AT1G19940->AT5G19250,252.49282489640774,16,rnaseq
gamma,0-0.5h,AT1G19940->AT5G05170,319.4074823912715,16,rnaseq
gamma,0-0.5h,AT1G19940->AT2G25540,29.106794371802856,16,rnaseq
gamma,0-0.5h,AT1G19940->AT3G06035,202.8347858188975,16,rnaseq
gamma,0-0.5h,AT1G19940->AT4G32410,314.3585190690102,16,rnaseq
gamma,0-0.5h,AT1G19940->AT5G19230,240.449799445515,16,rnaseq
gamma,0-0.5h,AT1G20160->AT1G70410,438.3819074804494,16,rnaseq
gamma,0-0.5h,AT1G20190->AT4G25100,407.111298468853,16,rnaseq
gamma,0-0.5h,AT1G21880->AT2G39660,365.14499108621186,16,rnaseq
gamma,0-0.5h,AT1G21880->AT1G51940,386.0343688322939,16,rnaseq
gamma,0-0.5h,AT1G21880->AT5G20480,250.98216539628226,16,rnaseq
gamma,0-0.5h,AT1G21880->AT3G21630,368.7082039082299,16,rnaseq
gamma,0-0.5h,AT1G21880->AT1G73080,386.7129006667966,16,rnaseq
gamma,0-0.5h,AT1G21880->AT2G33580,352.3500314080641,16,rnaseq
gamma,0-0.5h,AT1G22690->AT5G39000,126.55361653595726,16,rnaseq
gamma,0-0.5h,AT1G22690->AT5G38990,344.70582060259534,16,rnaseq
gamma,0-0.5h,AT1G22690->AT3G01500,434.58384830041734,16,rnaseq
gamma,0-0.5h,AT1G26390->AT5G25260,30.730786178011698,16,rnaseq
gamma,0-0.5h,AT1G26420->AT5G25260,88.38457370691816,16,rnaseq
gamma,0-0.5h,AT1G26420->AT2G19190,71.60609312295836,16,rnaseq
gamma,0-0.5h,AT1G26420->AT1G51890,169.20017482550008,16,rnaseq
gamma,0-0.5h,AT1G26420->AT1G65690,226.30115223267154,16,rnaseq
gamma,0-0.5h,AT1G26420->AT1G74360,199.6477796351735,16,rnaseq
gamma,0-0.5h,AT1G26600->AT1G75820,212.40997524169836,16,rnaseq
gamma,0-0.5h,AT1G26600->AT5G61480,178.15037157856239,16,rnaseq
gamma,0-0.5h,AT1G28270->AT3G04690,1.6525886108676981,16,rnaseq
gamma,0-0.5h,AT1G28270->AT1G30570,5.040253753918264,16,rnaseq
gamma,0-0.5h,AT1G28270->AT2G20700,0.2589011956461036,16,rnaseq
gamma,0-0.5h,AT1G28290->AT2G14890,454.6861332422333,16,rnaseq
gamma,0-0.5h,AT1G28290->AT2G04780,445.98088727364393,16,rnaseq
gamma,0-0.5h,AT1G28290->AT1G68725,238.72609730988643,16,rnaseq
gamma,0-0.5h,AT1G28490->AT2G33120,399.5205155869635,16,rnaseq
gamma,0-0.5h,AT1G28490->AT3G07160,422.4319441147489,16,rnaseq
gamma,0-0.5h,AT1G28490->AT4G19640,396.24903345668037,16,rnaseq
gamma,0-0.5h,AT1G28490->AT4G35100,439.63042833678674,16,rnaseq
gamma,0-0.5h,AT1G28490->AT2G32670,127.12287542793683,16,rnaseq
gamma,0-0.5h,AT1G28490->AT5G58060,390.66608750720746,16,rnaseq
gamma,0-0.5h,AT1G28490->AT3G11820,386.2058620617565,16,rnaseq
gamma,0-0.5h,AT1G28490->AT1G04750,392.8995359132931,16,rnaseq
gamma,0-0.5h,AT1G28490->AT5G58180,108.30639139325919,16,rnaseq
gamma,0-0.5h,AT1G28490->AT4G15780,402.3224526752359,16,rnaseq
gamma,0-0.5h,AT1G28490->AT5G08080,381.1249080247429,16,rnaseq
gamma,0-0.5h,AT1G28490->AT5G45750,375.956192559025,16,rnaseq
gamma,0-0.5h,AT1G28490->AT1G04760,222.18881586653734,16,rnaseq
gamma,0-0.5h,AT1G29660->AT1G18280,246.57044704688406,16,rnaseq
gamma,0-0.5h,AT1G29670->AT5G10770,434.79586788246945,16,rnaseq
gamma,0-0.5h,AT1G29670->AT1G18280,263.32154748929725,16,rnaseq
gamma,0-0.5h,AT1G30700->AT5G22300,388.4177297962557,16,rnaseq
gamma,0-0.5h,AT1G30700->AT5G57090,435.85524344653044,16,rnaseq
gamma,0-0.5h,AT1G30700->AT4G15610,458.50369176537197,16,rnaseq
gamma,0-0.5h,AT1G30710->AT5G10770,55.98495112499931,16,rnaseq
gamma,0-0.5h,AT1G30760->AT5G64440,351.2416903790398,16,rnaseq
gamma,0-0.5h,AT1G30870->AT4G19680,338.5324272701905,16,rnaseq
gamma,0-0.5h,AT1G30870->AT4G40090,389.04085842075983,16,rnaseq
gamma,0-0.5h,AT1G30870->AT5G49270,370.6363660410142,16,rnaseq
gamma,0-0.5h,AT1G31550->AT5G43470,298.083734717784,16,rnaseq
gamma,0-0.5h,AT1G31670->AT1G24140,15.698034599794381,16,rnaseq
gamma,0-0.5h,AT1G31670->AT2G45040,9.85220777003709,16,rnaseq
gamma,0-0.5h,AT1G31670->AT1G59970,24.764574639902136,16,rnaseq
gamma,0-0.5h,AT1G31670->AT1G70170,18.761920066121526,16,rnaseq
gamma,0-0.5h,AT1G31670->AT4G16640,8.09665388726069,16,rnaseq
gamma,0-0.5h,AT1G32860->AT4G26690,402.7453323910834,16,rnaseq
gamma,0-0.5h,AT1G32860->AT5G55480,352.76490440956604,16,rnaseq
gamma,0-0.5h,AT1G34047->AT5G05630,68.62294728025401,16,rnaseq
gamma,0-0.5h,AT1G34047->AT1G31820,68.76910819699175,16,rnaseq
gamma,0-0.5h,AT1G34047->AT3G19553,116.39801481587034,16,rnaseq
gamma,0-0.5h,AT1G34047->AT1G31830,108.10456987130937,16,rnaseq
gamma,0-0.5h,AT1G34245->AT5G60880,103.54778112448035,16,rnaseq
gamma,0-0.5h,AT1G34245->AT1G63700,266.9490962624083,16,rnaseq
gamma,0-0.5h,AT1G34245->AT2G26330,264.47176333709285,16,rnaseq
gamma,0-0.5h,AT1G34245->AT1G80080,206.9669726869018,16,rnaseq
gamma,0-0.5h,AT1G34245->AT5G62230,173.15809367775915,16,rnaseq
gamma,0-0.5h,AT1G34245->AT2G02220,255.74031340245796,16,rnaseq
gamma,0-0.5h,AT1G34245->AT5G07180,218.03671609431885,16,rnaseq
gamma,0-0.5h,AT1G34510->AT4G40090,355.1971949438003,16,rnaseq
gamma,0-0.5h,AT1G34510->AT2G20520,319.60476288640507,16,rnaseq
gamma,0-0.5h,AT1G35140->AT2G27080,430.909495266964,16,rnaseq
gamma,0-0.5h,AT1G35140->AT2G35980,344.7529676266292,16,rnaseq
gamma,0-0.5h,AT1G47710->AT3G09840,452.3785803523123,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G24140,284.129319613732,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G54280,192.48886640677284,16,rnaseq
gamma,0-0.5h,AT1G47710->AT4G16640,202.2917386971691,16,rnaseq
gamma,0-0.5h,AT1G47710->AT2G45040,225.00380052930473,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G65590,405.3428646818679,16,rnaseq
gamma,0-0.5h,AT1G47710->AT4G04340,413.97191783255425,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G70170,306.8301520939402,16,rnaseq
gamma,0-0.5h,AT1G47710->AT3G13900,144.9457135989754,16,rnaseq
gamma,0-0.5h,AT1G47710->AT3G25610,392.326701954039,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G59970,342.54197483329654,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G32090,408.1376806901884,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G55350,422.7328702545504,16,rnaseq
gamma,0-0.5h,AT1G47710->AT1G64060,411.9437723727798,16,rnaseq
