LR_pair,Ligand,Receptor,source_db,total_strength,Time
AT5G03240->AT3G51550,AT5G03240,AT3G51550,orthologs,507.1163997207672,0-0.5h
AT4G05320->AT3G51550,AT4G05320,AT3G51550,orthologs,502.5925521291162,0-0.5h
AT5G03240->AT5G54380,AT5G03240,AT5G54380,orthologs,499.73962747564445,0-0.5h
AT1G72610->AT3G01500,AT1G72610,AT3G01500,STRING,495.5302131038545,0-0.5h
AT4G05320->AT5G54380,AT4G05320,AT5G54380,orthologs,494.4895551265057,0-0.5h
AT1G05850->AT5G05170,AT1G05850,AT5G05170,STRING,494.46316430726773,0-0.5h
AT4G12420->AT2G45960,AT4G12420,AT2G45960,BIOGRID,493.62872198414243,0-0.5h
AT4G05050->AT3G51550,AT4G05050,AT3G51550,orthologs,493.1657424514007,0-0.5h
AT3G13750->AT1G11260,AT3G13750,AT1G11260,STRING,492.623527923914,0-0.5h
AT1G05850->AT5G49720,AT1G05850,AT5G49720,STRING,492.57604607992664,0-0.5h
AT1G05850->AT4G32410,AT1G05850,AT4G32410,STRING,491.8189540596365,0-0.5h
AT5G56030->AT3G51550,AT5G56030,AT3G51550,orthologs,491.2602291373753,0-0.5h
AT5G56010->AT3G51550,AT5G56010,AT3G51550,orthologs,490.1043446810639,0-0.5h
AT3G51550->AT5G54380,AT3G51550,AT5G54380,orthologs,489.99471029604865,0-0.5h
AT5G54380->AT3G51550,AT5G54380,AT3G51550,orthologs,489.99471029604865,0-0.5h
AT4G12420->AT3G53420,AT4G12420,AT3G53420,BIOGRID,488.0114252302251,0-0.5h
AT3G01420->AT1G55020,AT3G01420,AT1G55020,orthologs,487.4806021179804,0-0.5h
AT4G02890->AT3G51550,AT4G02890,AT3G51550,orthologs,487.02445602980276,0-0.5h
AT3G10380->AT2G45960,AT3G10380,AT2G45960,BIOGRID,486.1540606107799,0-0.5h
AT1G05850->AT2G22125,AT1G05850,AT2G22125,STRING,485.48206305440084,0-0.5h
AT3G62250->AT3G51550,AT3G62250,AT3G51550,orthologs,484.9860844910477,0-0.5h
AT4G08950->AT5G66210,AT4G08950,AT5G66210,STRING,483.9262423195782,0-0.5h
AT3G45640->AT3G51550,AT3G45640,AT3G51550,orthologs,483.88425571604296,0-0.5h
AT4G05050->AT5G54380,AT4G05050,AT5G54380,orthologs,483.8314773163027,0-0.5h
AT3G52590->AT3G51550,AT3G52590,AT3G51550,orthologs,483.80246612689245,0-0.5h
AT3G01420->AT3G45140,AT3G01420,AT3G45140,orthologs,482.8952228537675,0-0.5h
AT3G56310->AT3G09840,AT3G56310,AT3G09840,STRING,482.70048213199215,0-0.5h
AT5G12370->AT2G45960,AT5G12370,AT2G45960,BIOGRID,482.00990186380204,0-0.5h
AT5G60640->AT3G09840,AT5G60640,AT3G09840,plant.MAP,481.9215760608881,0-0.5h
AT5G56030->AT5G54380,AT5G56030,AT5G54380,orthologs,481.7797840848035,0-0.5h
AT5G56010->AT5G54380,AT5G56010,AT5G54380,orthologs,480.4390784679118,0-0.5h
AT2G47110->AT3G51550,AT2G47110,AT3G51550,orthologs,480.43509814426346,0-0.5h
AT3G10380->AT3G53420,AT3G10380,AT3G53420,BIOGRID,480.0328590720945,0-0.5h
AT1G05850->AT5G60920,AT1G05850,AT5G60920,STRING,479.4162689207092,0-0.5h
AT2G38380->AT2G45960,AT2G38380,AT2G45960,BIOGRID,478.7135918822675,0-0.5h
AT5G03240->AT3G46290,AT5G03240,AT3G46290,orthologs,477.48966425271635,0-0.5h
AT4G02890->AT5G54380,AT4G02890,AT5G54380,orthologs,477.05218466466977,0-0.5h
AT4G02350->AT2G45960,AT4G02350,AT2G45960,BIOGRID,476.89155467559397,0-0.5h
AT5G03240->AT2G23450,AT5G03240,AT2G23450,orthologs,476.7559634324816,0-0.5h
AT2G06850->AT4G12730,AT2G06850,AT4G12730,STRING,476.6197646437923,0-0.5h
AT1G78850->AT3G14840,AT1G78850,AT3G14840,STRING,476.2386211090088,0-0.5h
AT2G06850->AT2G26300,AT2G06850,AT2G26300,BIOGRID,475.6589886893406,0-0.5h
AT3G62250->AT5G54380,AT3G62250,AT5G54380,orthologs,475.10699183333213,0-0.5h
AT4G12420->AT5G60920,AT4G12420,AT5G60920,STRING,474.9328157251691,0-0.5h
AT3G11700->AT1G03870,AT3G11700,AT1G03870,STRING,474.58761251941655,0-0.5h
AT3G52590->AT5G54380,AT3G52590,AT5G54380,orthologs,473.8304972713288,0-0.5h
AT1G78670->AT3G09840,AT1G78670,AT3G09840,STRING,473.80976883764816,0-0.5h
AT3G45640->AT5G54380,AT3G45640,AT5G54380,orthologs,473.41654755750494,0-0.5h
AT2G38380->AT3G53420,AT2G38380,AT3G53420,BIOGRID,472.46286313653434,0-0.5h
AT4G12420->AT3G23750,AT4G12420,AT3G23750,STRING,472.0649202240696,0-0.5h
AT5G03240->AT3G51550,AT5G03240,AT3G51550,orthologs,514.4452651447463,0.5-2h
AT4G05320->AT3G51550,AT4G05320,AT3G51550,orthologs,512.0511237713736,0.5-2h
AT5G03240->AT5G54380,AT5G03240,AT5G54380,orthologs,510.1707697747007,0.5-2h
AT1G72610->AT3G01500,AT1G72610,AT3G01500,STRING,508.2586781732611,0.5-2h
AT1G05850->AT5G05170,AT1G05850,AT5G05170,STRING,507.46760705066623,0.5-2h
AT4G05320->AT5G54380,AT4G05320,AT5G54380,orthologs,507.21615684485954,0.5-2h
AT4G12420->AT2G45960,AT4G12420,AT2G45960,BIOGRID,506.9041473714666,0.5-2h
AT4G05050->AT3G51550,AT4G05050,AT3G51550,orthologs,506.7445469007176,0.5-2h
AT1G05850->AT5G49720,AT1G05850,AT5G49720,STRING,506.29508881093443,0.5-2h
AT3G13750->AT1G11260,AT3G13750,AT1G11260,STRING,506.0593853868677,0.5-2h
AT1G05850->AT4G32410,AT1G05850,AT4G32410,STRING,505.92386978815284,0.5-2h
AT5G56030->AT3G51550,AT5G56030,AT3G51550,orthologs,505.6884058334176,0.5-2h
AT5G56010->AT3G51550,AT5G56010,AT3G51550,orthologs,504.8936974941384,0.5-2h
AT5G54380->AT3G51550,AT5G54380,AT3G51550,orthologs,504.35406723081746,0.5-2h
AT3G51550->AT5G54380,AT3G51550,AT5G54380,orthologs,504.35406723081735,0.5-2h
AT4G12420->AT3G53420,AT4G12420,AT3G53420,BIOGRID,503.42813494039854,0.5-2h
AT3G01420->AT1G55020,AT3G01420,AT1G55020,orthologs,503.06823320677734,0.5-2h
AT4G02890->AT3G51550,AT4G02890,AT3G51550,orthologs,502.8723946784321,0.5-2h
AT3G10380->AT2G45960,AT3G10380,AT2G45960,BIOGRID,502.10605624160826,0.5-2h
AT1G05850->AT2G22125,AT1G05850,AT2G22125,STRING,501.9537226352733,0.5-2h
AT3G62250->AT3G51550,AT3G62250,AT3G51550,orthologs,501.70084992653767,0.5-2h
AT3G52590->AT3G51550,AT3G52590,AT3G51550,orthologs,500.8498835246637,0.5-2h
AT4G05050->AT5G54380,AT4G05050,AT5G54380,orthologs,500.80979211973266,0.5-2h
AT3G45640->AT3G51550,AT3G45640,AT3G51550,orthologs,500.6402939830413,0.5-2h
AT4G08950->AT5G66210,AT4G08950,AT5G66210,STRING,500.32897676802986,0.5-2h
AT3G01420->AT3G45140,AT3G01420,AT3G45140,orthologs,500.0076905961556,0.5-2h
AT3G56310->AT3G09840,AT3G56310,AT3G09840,STRING,499.75192284568254,0.5-2h
AT5G56030->AT5G54380,AT5G56030,AT5G54380,orthologs,499.5784637554638,0.5-2h
AT5G60640->AT3G09840,AT5G60640,AT3G09840,plant.MAP,499.363843675789,0.5-2h
AT5G12370->AT2G45960,AT5G12370,AT2G45960,BIOGRID,499.16738333785867,0.5-2h
AT5G56010->AT5G54380,AT5G56010,AT5G54380,orthologs,498.61582349377284,0.5-2h
AT2G47110->AT3G51550,AT2G47110,AT3G51550,orthologs,498.3754342720855,0.5-2h
AT3G10380->AT3G53420,AT3G10380,AT3G53420,BIOGRID,498.10815755377934,0.5-2h
AT1G05850->AT5G60920,AT1G05850,AT5G60920,STRING,498.0291047706894,0.5-2h
AT2G38380->AT2G45960,AT2G38380,AT2G45960,BIOGRID,496.67330615487367,0.5-2h
AT4G02890->AT5G54380,AT4G02890,AT5G54380,orthologs,496.2363401700014,0.5-2h
AT1G78850->AT3G14840,AT1G78850,AT3G14840,STRING,495.8866261381388,0.5-2h
AT4G02350->AT2G45960,AT4G02350,AT2G45960,BIOGRID,495.36065551485825,0.5-2h
AT2G06850->AT4G12730,AT2G06850,AT4G12730,STRING,495.03739306705387,0.5-2h
AT3G62250->AT5G54380,AT3G62250,AT5G54380,orthologs,495.0001466662152,0.5-2h
AT5G03240->AT3G46290,AT5G03240,AT3G46290,orthologs,494.9411373152788,0.5-2h
AT4G12420->AT5G60920,AT4G12420,AT5G60920,STRING,494.83066549533237,0.5-2h
AT3G11700->AT1G03870,AT3G11700,AT1G03870,STRING,494.45655783015104,0.5-2h
AT2G06850->AT2G26300,AT2G06850,AT2G26300,BIOGRID,494.3067223963522,0.5-2h
AT5G03240->AT2G23450,AT5G03240,AT2G23450,orthologs,494.2549207820732,0.5-2h
AT3G52590->AT5G54380,AT3G52590,AT5G54380,orthologs,494.02067452050386,0.5-2h
AT3G45640->AT5G54380,AT3G45640,AT5G54380,orthologs,493.54379101847974,0.5-2h
AT1G78670->AT3G09840,AT1G78670,AT3G09840,STRING,493.056850436557,0.5-2h
AT4G12420->AT3G23750,AT4G12420,AT3G23750,STRING,492.67589332000966,0.5-2h
AT2G38380->AT3G53420,AT2G38380,AT3G53420,BIOGRID,492.3067538685591,0.5-2h
AT5G03240->AT3G51550,AT5G03240,AT3G51550,orthologs,545.9736545494618,2-6h
AT4G05320->AT3G51550,AT4G05320,AT3G51550,orthologs,540.121797096168,2-6h
AT5G03240->AT5G54380,AT5G03240,AT5G54380,orthologs,534.2873531452661,2-6h
AT4G05320->AT5G54380,AT4G05320,AT5G54380,orthologs,527.670232899653,2-6h
AT4G05050->AT3G51550,AT4G05050,AT3G51550,orthologs,527.2128359028678,2-6h
AT4G12420->AT2G45960,AT4G12420,AT2G45960,BIOGRID,526.8307716115631,2-6h
AT1G72610->AT3G01500,AT1G72610,AT3G01500,STRING,526.7952538346049,2-6h
AT3G13750->AT1G11260,AT3G13750,AT1G11260,STRING,526.3728456877674,2-6h
AT1G05850->AT5G05170,AT1G05850,AT5G05170,STRING,525.0696621491602,2-6h
AT1G05850->AT5G49720,AT1G05850,AT5G49720,STRING,523.6819975684625,2-6h
AT1G05850->AT4G32410,AT1G05850,AT4G32410,STRING,522.6383453245469,2-6h
AT5G56030->AT3G51550,AT5G56030,AT3G51550,orthologs,521.86065009157,2-6h
AT3G01420->AT1G55020,AT3G01420,AT1G55020,orthologs,521.0795297504874,2-6h
AT5G56010->AT3G51550,AT5G56010,AT3G51550,orthologs,520.0954420972053,2-6h
AT4G12420->AT3G53420,AT4G12420,AT3G53420,BIOGRID,519.6486490129455,2-6h
AT4G02890->AT3G51550,AT4G02890,AT3G51550,orthologs,518.9162497864769,2-6h
AT3G51550->AT5G54380,AT3G51550,AT5G54380,orthologs,518.8946726546519,2-6h
AT5G54380->AT3G51550,AT5G54380,AT3G51550,orthologs,518.8946726546519,2-6h
AT3G10380->AT2G45960,AT3G10380,AT2G45960,BIOGRID,518.4314641128797,2-6h
AT3G62250->AT3G51550,AT3G62250,AT3G51550,orthologs,517.007572258641,2-6h
AT3G52590->AT3G51550,AT3G52590,AT3G51550,orthologs,516.7168637815741,2-6h
AT3G56310->AT3G09840,AT3G56310,AT3G09840,STRING,516.0938342871239,2-6h
AT3G45640->AT3G51550,AT3G45640,AT3G51550,orthologs,515.0635631447324,2-6h
AT5G12370->AT2G45960,AT5G12370,AT2G45960,BIOGRID,514.4880666111535,2-6h
