LR_pair,Ligand,Receptor,source_db,total_strength,Time
AT4G08950->AT5G66210,AT4G08950,AT5G66210,STRING,513.9379874557487,2-6h
AT5G60640->AT3G09840,AT5G60640,AT3G09840,plant.MAP,513.7298733689756,2-6h
AT4G05050->AT5G54380,AT4G05050,AT5G54380,orthologs,513.5636030150198,2-6h
AT2G38380->AT2G45960,AT2G38380,AT2G45960,BIOGRID,513.3532037845292,2-6h
AT1G05850->AT2G22125,AT1G05850,AT2G22125,STRING,512.3705153923405,2-6h
AT2G47110->AT3G51550,AT2G47110,AT3G51550,orthologs,512.0923313168882,2-6h
AT5G03240->AT2G23450,AT5G03240,AT2G23450,orthologs,511.8129761531935,2-6h
AT3G10380->AT3G53420,AT3G10380,AT3G53420,BIOGRID,510.76761081679183,2-6h
AT3G01420->AT3G45140,AT3G01420,AT3G45140,orthologs,510.1192360771696,2-6h
AT5G03240->AT3G46290,AT5G03240,AT3G46290,orthologs,509.5238536147281,2-6h
AT5G56030->AT5G54380,AT5G56030,AT5G54380,orthologs,508.23305117210487,2-6h
AT4G02350->AT2G45960,AT4G02350,AT2G45960,BIOGRID,507.8732562523522,2-6h
AT1G05850->AT5G60920,AT1G05850,AT5G60920,STRING,506.5466799237662,2-6h
AT5G56010->AT5G54380,AT5G56010,AT5G54380,orthologs,506.3319500123846,2-6h
AT1G78670->AT3G09840,AT1G78670,AT3G09840,STRING,505.78789452734924,2-6h
AT2G38380->AT3G53420,AT2G38380,AT3G53420,BIOGRID,505.4113340880841,2-6h
AT4G02890->AT5G54380,AT4G02890,AT5G54380,orthologs,504.7811089983792,2-6h
AT4G05320->AT2G23450,AT4G05320,AT2G23450,orthologs,503.61546680441154,2-6h
AT2G06850->AT4G12730,AT2G06850,AT4G12730,STRING,503.2713241890901,2-6h
AT5G17820->AT3G53420,AT5G17820,AT3G53420,BIOGRID,503.1815460215316,2-6h
AT1G78850->AT3G14840,AT1G78850,AT3G14840,STRING,503.1411629347077,2-6h
AT2G06850->AT2G26300,AT2G06850,AT2G26300,BIOGRID,503.02705633622753,2-6h
AT3G62250->AT5G54380,AT3G62250,AT5G54380,orthologs,503.00019059820863,2-6h
AT3G52590->AT5G54380,AT3G52590,AT5G54380,orthologs,502.56797463469275,2-6h
AT4G05320->AT3G46290,AT4G05320,AT3G46290,orthologs,501.48587564374196,2-6h
AT5G03240->AT2G39360,AT5G03240,AT2G39360,orthologs,500.88202501420767,2-6h
AT5G03240->AT3G51550,AT5G03240,AT3G51550,orthologs,510.6840245361396,6-12h
AT4G05320->AT3G51550,AT4G05320,AT3G51550,orthologs,507.2249896881315,6-12h
AT5G03240->AT5G54380,AT5G03240,AT5G54380,orthologs,504.69772608908784,6-12h
AT1G72610->AT3G01500,AT1G72610,AT3G01500,STRING,501.7478171512794,6-12h
AT1G05850->AT5G05170,AT1G05850,AT5G05170,STRING,500.6624488986039,6-12h
AT4G05320->AT5G54380,AT4G05320,AT5G54380,orthologs,500.4821024657195,6-12h
AT4G12420->AT2G45960,AT4G12420,AT2G45960,BIOGRID,499.9297001495361,6-12h
AT4G05050->AT3G51550,AT4G05050,AT3G51550,orthologs,499.7646576561343,6-12h
AT1G05850->AT5G49720,AT1G05850,AT5G49720,STRING,499.04460727027833,6-12h
AT3G13750->AT1G11260,AT3G13750,AT1G11260,STRING,498.80607470852044,6-12h
AT1G05850->AT4G32410,AT1G05850,AT4G32410,STRING,498.49482896280267,6-12h
AT5G56030->AT3G51550,AT5G56030,AT3G51550,orthologs,498.25562946205025,6-12h
AT5G56010->AT3G51550,AT5G56010,AT3G51550,orthologs,497.181985317613,6-12h
AT5G54380->AT3G51550,AT5G54380,AT3G51550,orthologs,496.6339329869643,6-12h
AT3G51550->AT5G54380,AT3G51550,AT5G54380,orthologs,496.6339329869642,6-12h
AT4G12420->AT3G53420,AT4G12420,AT3G53420,BIOGRID,495.07660349661296,6-12h
AT3G01420->AT1G55020,AT3G01420,AT1G55020,orthologs,494.90452209171025,6-12h
AT4G02890->AT3G51550,AT4G02890,AT3G51550,orthologs,494.4885291564608,6-12h
AT3G10380->AT2G45960,AT3G10380,AT2G45960,BIOGRID,493.4713883012054,6-12h
AT1G05850->AT2G22125,AT1G05850,AT2G22125,STRING,493.0421565875833,6-12h
AT3G62250->AT3G51550,AT3G62250,AT3G51550,orthologs,492.851501820662,6-12h
AT3G52590->AT3G51550,AT3G52590,AT3G51550,orthologs,491.71970328989465,6-12h
AT4G05050->AT5G54380,AT4G05050,AT5G54380,orthologs,491.65087113883106,6-12h
AT3G45640->AT3G51550,AT3G45640,AT3G51550,orthologs,491.58539206138283,6-12h
AT4G08950->AT5G66210,AT4G08950,AT5G66210,STRING,491.27663977592397,6-12h
AT3G01420->AT3G45140,AT3G01420,AT3G45140,orthologs,490.6793938765195,6-12h
AT3G56310->AT3G09840,AT3G56310,AT3G09840,STRING,490.3255652853457,6-12h
AT5G56030->AT5G54380,AT5G56030,AT5G54380,orthologs,489.93774367442484,6-12h
AT5G60640->AT3G09840,AT5G60640,AT3G09840,plant.MAP,489.7574332059581,6-12h
AT5G12370->AT2G45960,AT5G12370,AT2G45960,BIOGRID,489.57995163521366,6-12h
AT5G56010->AT5G54380,AT5G56010,AT5G54380,orthologs,488.6551866497384,6-12h
AT2G47110->AT3G51550,AT2G47110,AT3G51550,orthologs,488.49729775860357,6-12h
AT3G10380->AT3G53420,AT3G10380,AT3G53420,BIOGRID,488.00234472339673,6-12h
AT1G05850->AT5G60920,AT1G05850,AT5G60920,STRING,487.71916915413783,6-12h
AT2G38380->AT2G45960,AT2G38380,AT2G45960,BIOGRID,486.4732153294527,6-12h
AT4G02890->AT5G54380,AT4G02890,AT5G54380,orthologs,485.55560904173717,6-12h
AT1G78850->AT3G14840,AT1G78850,AT3G14840,STRING,485.0463970659087,6-12h
AT4G02350->AT2G45960,AT4G02350,AT2G45960,BIOGRID,484.69787816717593,6-12h
AT5G03240->AT3G46290,AT5G03240,AT3G46290,orthologs,484.4021703950134,6-12h
AT2G06850->AT4G12730,AT2G06850,AT4G12730,STRING,484.22499201877304,6-12h
AT3G62250->AT5G54380,AT3G62250,AT5G54380,orthologs,483.90746401270417,6-12h
AT5G03240->AT2G23450,AT5G03240,AT2G23450,orthologs,483.6502691784176,6-12h
AT4G12420->AT5G60920,AT4G12420,AT5G60920,STRING,483.5234170199701,6-12h
AT2G06850->AT2G26300,AT2G06850,AT2G26300,BIOGRID,483.3199952899246,6-12h
AT3G11700->AT1G03870,AT3G11700,AT1G03870,STRING,483.13275916934845,6-12h
AT3G52590->AT5G54380,AT3G52590,AT5G54380,orthologs,482.63979963975817,6-12h
AT3G45640->AT5G54380,AT3G45640,AT5G54380,orthologs,482.09237971842515,6-12h
AT1G78670->AT3G09840,AT1G78670,AT3G09840,STRING,481.65548418057546,6-12h
AT4G12420->AT3G23750,AT4G12420,AT3G23750,STRING,480.76037787044925,6-12h
AT2G38380->AT3G53420,AT2G38380,AT3G53420,BIOGRID,480.6654395204018,6-12h
AT5G03240->AT3G51550,AT5G03240,AT3G51550,orthologs,508.76152272142565,12-30h
AT4G05320->AT3G51550,AT4G05320,AT3G51550,orthologs,504.8669109919874,12-30h
AT5G03240->AT5G54380,AT5G03240,AT5G54380,orthologs,501.9779480641317,12-30h
AT1G72610->AT3G01500,AT1G72610,AT3G01500,STRING,498.6363054750928,12-30h
AT1G05850->AT5G05170,AT1G05850,AT5G05170,STRING,497.3881946791828,12-30h
AT4G05320->AT5G54380,AT4G05320,AT5G54380,orthologs,497.2514532048161,12-30h
AT4G12420->AT2G45960,AT4G12420,AT2G45960,BIOGRID,496.6894515354356,12-30h
AT4G05050->AT3G51550,AT4G05050,AT3G51550,orthologs,496.50185582621975,12-30h
AT1G05850->AT5G49720,AT1G05850,AT5G49720,STRING,495.592957415643,12-30h
AT3G13750->AT1G11260,AT3G13750,AT1G11260,STRING,495.1826942603799,12-30h
AT1G05850->AT4G32410,AT1G05850,AT4G32410,STRING,494.98771888811405,12-30h
AT5G56030->AT3G51550,AT5G56030,AT3G51550,orthologs,494.87118614882496,12-30h
AT5G56010->AT3G51550,AT5G56010,AT3G51550,orthologs,493.6072202850048,12-30h
AT5G54380->AT3G51550,AT5G54380,AT3G51550,orthologs,492.8156466372063,12-30h
AT3G51550->AT5G54380,AT3G51550,AT5G54380,orthologs,492.81564663720627,12-30h
AT3G01420->AT1G55020,AT3G01420,AT1G55020,orthologs,491.4426720888429,12-30h
AT4G12420->AT3G53420,AT4G12420,AT3G53420,BIOGRID,491.17141759478545,12-30h
AT4G02890->AT3G51550,AT4G02890,AT3G51550,orthologs,490.6902851516579,12-30h
AT3G10380->AT2G45960,AT3G10380,AT2G45960,BIOGRID,489.52611104937944,12-30h
AT3G62250->AT3G51550,AT3G62250,AT3G51550,orthologs,489.1354428727132,12-30h
AT1G05850->AT2G22125,AT1G05850,AT2G22125,STRING,488.7362050489366,12-30h
AT3G52590->AT3G51550,AT3G52590,AT3G51550,orthologs,487.9336667615627,12-30h
AT4G05050->AT5G54380,AT4G05050,AT5G54380,orthologs,487.373936106983,12-30h
AT3G45640->AT3G51550,AT3G45640,AT3G51550,orthologs,487.25533744760594,12-30h
AT4G08950->AT5G66210,AT4G08950,AT5G66210,STRING,486.89363314057687,12-30h
AT3G01420->AT3G45140,AT3G01420,AT3G45140,orthologs,486.61728671125223,12-30h
AT3G56310->AT3G09840,AT3G56310,AT3G09840,STRING,486.06492377883086,12-30h
AT5G60640->AT3G09840,AT5G60640,AT3G09840,plant.MAP,485.52012267258783,12-30h
AT5G56030->AT5G54380,AT5G56030,AT5G54380,orthologs,485.51590074259684,12-30h
AT5G12370->AT2G45960,AT5G12370,AT2G45960,BIOGRID,485.30016461158084,12-30h
AT2G47110->AT3G51550,AT2G47110,AT3G51550,orthologs,484.34729392984514,12-30h
AT5G56010->AT5G54380,AT5G56010,AT5G54380,orthologs,484.018320886245,12-30h
AT3G10380->AT3G53420,AT3G10380,AT3G53420,BIOGRID,483.3275122818152,12-30h
AT1G05850->AT5G60920,AT1G05850,AT5G60920,STRING,483.01051189910925,12-30h
AT2G38380->AT2G45960,AT2G38380,AT2G45960,BIOGRID,482.32519026529707,12-30h
AT4G02890->AT5G54380,AT4G02890,AT5G54380,orthologs,480.6647455210584,12-30h
AT1G78850->AT3G14840,AT1G78850,AT3G14840,STRING,480.1351897021076,12-30h
AT4G02350->AT2G45960,AT4G02350,AT2G45960,BIOGRID,479.81880727298056,12-30h
AT2G06850->AT4G12730,AT2G06850,AT4G12730,STRING,479.50541083147965,12-30h
AT5G03240->AT3G46290,AT5G03240,AT3G46290,orthologs,479.4727043857555,12-30h
AT3G62250->AT5G54380,AT3G62250,AT5G54380,orthologs,479.1188886342735,12-30h
AT5G03240->AT2G23450,AT5G03240,AT2G23450,orthologs,478.9438817779344,12-30h
AT4G12420->AT5G60920,AT4G12420,AT5G60920,STRING,478.2940780790857,12-30h
AT2G06850->AT2G26300,AT2G06850,AT2G26300,BIOGRID,478.1954694301047,12-30h
AT3G11700->AT1G03870,AT3G11700,AT1G03870,STRING,477.82963236862247,12-30h
AT3G52590->AT5G54380,AT3G52590,AT5G54380,orthologs,477.7854578495023,12-30h
AT3G45640->AT5G54380,AT3G45640,AT5G54380,orthologs,476.59693332288816,12-30h
AT1G78670->AT3G09840,AT1G78670,AT3G09840,STRING,476.5203971188322,12-30h
AT2G38380->AT3G53420,AT2G38380,AT3G53420,BIOGRID,475.76433131158564,12-30h
AT4G12420->AT3G23750,AT4G12420,AT3G23750,STRING,475.09267562178985,12-30h
