dose_Gy,time_h,RRI,RRI_latent,quality,LET
0.1,0.1,0.5383298758754365,0.7200413715962937,GCR,50.0
0.1,0.12080259113562,0.535548128315052,0.7163563381896069,GCR,50.0
0.1,0.14593266025079774,0.5334452472010132,0.7136224796936324,GCR,50.0
0.1,0.1762904348961046,0.5317302345022856,0.7115141360513394,GCR,50.0
0.1,0.21296341327874763,0.5300314264979883,0.7094568335292524,GCR,50.0
0.1,0.25726532141158615,0.5286990771912261,0.7082521308613455,GCR,50.0
0.1,0.31078317435857705,0.5275782406795023,0.7074728657662098,GCR,50.0
0.1,0.37543412743869276,0.5265227069976739,0.7068271282780016,GCR,50.0
0.1,0.45353415395334656,0.525901319020074,0.7069160384731298,GCR,50.0
0.1,0.5478810096606547,0.5251270625863272,0.7064645105305293,GCR,50.0
0.1,0.6618544560100672,0.5244576145852266,0.7061645631982871,GCR,50.0
0.1,0.7995373324067232,0.5236976526587722,0.7056972007665193,GCR,50.0
0.1,0.965861814643937,0.5230095855403498,0.7052629928524353,GCR,50.0
0.1,1.166786098879395,0.5223314648007357,0.7048614734202898,GCR,50.0
0.1,1.4095078404565258,0.5221082809764841,0.7049064654712349,GCR,50.0
0.1,1.7027219935312041,0.5223158939107388,0.7053664830768351,GCR,50.0
0.1,2.0569322880217786,0.5225285092109598,0.7058340854415265,GCR,50.0
0.1,2.484827501835503,0.5227410295396743,0.7063030494295642,GCR,50.0
0.1,3.0017360074677835,0.5229487085313816,0.7067671475601313,GCR,50.0
0.1,3.6261748760719885,0.5231495966204912,0.7072182443125905,GCR,50.0
0.1,4.38051320940382,0.523355714443597,0.7076800053494745,GCR,50.0
0.1,5.291773461997922,0.5237875995802305,0.7086868363925806,GCR,50.0
0.1,6.392599459120591,0.5245353833735404,0.7104677005528072,GCR,50.0
0.1,7.722425787539303,0.5255609486648007,0.7126303739263062,GCR,50.0
0.1,9.328890449872787,0.5276139210016233,0.716153517982673,GCR,50.0
0.1,11.26954138764972,0.5298683776101604,0.719978583116733,GCR,50.0
0.1,13.613898005381975,0.5323947513478547,0.7241828628193083,GCR,50.0
0.1,16.445941545061906,0.5349748305318109,0.7284748313545895,GCR,50.0
0.1,19.867123523084192,0.5375158082888346,0.7327021461179124,GCR,50.0
0.1,23.999999999999993,0.5400552043732613,0.7369011167223746,GCR,50.0
0.12689610031679222,0.1,0.5496929746702317,0.7370969159296288,GCR,50.0
0.12689610031679222,0.12080259113562,0.5459602145245428,0.7319461632017857,GCR,50.0
0.12689610031679222,0.14593266025079774,0.5422498812868158,0.7269106502888657,GCR,50.0
0.12689610031679222,0.1762904348961046,0.5397977167845269,0.7235848739429431,GCR,50.0
0.12689610031679222,0.21296341327874763,0.5378799037524032,0.7210539324520476,GCR,50.0
0.12689610031679222,0.25726532141158615,0.5360662783279746,0.7187218330644836,GCR,50.0
0.12689610031679222,0.31078317435857705,0.5343190426382833,0.716510137132745,GCR,50.0
0.12689610031679222,0.37543412743869276,0.5328430064975213,0.7148732749001819,GCR,50.0
0.12689610031679222,0.45353415395334656,0.5315505195368533,0.7136746377671421,GCR,50.0
0.12689610031679222,0.5478810096606547,0.5306740855249981,0.7131901814632531,GCR,50.0
0.12689610031679222,0.6618544560100672,0.5299439389294895,0.7128218770509478,GCR,50.0
0.12689610031679222,0.7995373324067232,0.5292778012373054,0.7125336753346011,GCR,50.0
0.12689610031679222,0.965861814643937,0.5285124084183829,0.7120410568234685,GCR,50.0
0.12689610031679222,1.166786098879395,0.5277559184023246,0.7115168112603278,GCR,50.0
0.12689610031679222,1.4095078404565258,0.5270249210402691,0.7110403383518313,GCR,50.0
0.12689610031679222,1.7027219935312041,0.5263415636691815,0.7106408677067068,GCR,50.0
0.12689610031679222,2.0569322880217786,0.5262308854097633,0.7107809576445387,GCR,50.0
0.12689610031679222,2.484827501835503,0.5264131143741908,0.7112022158298128,GCR,50.0
0.12689610031679222,3.0017360074677835,0.5267477657645288,0.7119537583376659,GCR,50.0
0.12689610031679222,3.6261748760719885,0.5276609997625035,0.7139510493035998,GCR,50.0
0.12689610031679222,4.38051320940382,0.5285853623852549,0.7159454661724688,GCR,50.0
0.12689610031679222,5.291773461997922,0.5295460762285771,0.7179941228340709,GCR,50.0
0.12689610031679222,6.392599459120591,0.5310526048495505,0.7209178760607126,GCR,50.0
0.12689610031679222,7.722425787539303,0.5324962943988115,0.7237913277171162,GCR,50.0
0.12689610031679222,9.328890449872787,0.5340932081058807,0.7268801776923196,GCR,50.0
0.12689610031679222,11.26954138764972,0.5365393399543283,0.7311054225931736,GCR,50.0
0.12689610031679222,13.613898005381975,0.5391501361565414,0.7354106820944425,GCR,50.0
0.12689610031679222,16.445941545061906,0.5417145991282094,0.7396495982987799,GCR,50.0
0.12689610031679222,19.867123523084192,0.5442710180409898,0.7438769894365821,GCR,50.0
0.12689610031679222,23.999999999999993,0.5469524718727383,0.7482684409108521,GCR,50.0
0.16102620275609392,0.1,0.5623483248703911,0.7565644026438395,GCR,50.0
0.16102620275609392,0.12080259113562,0.558027480254199,0.7503302725748091,GCR,50.0
0.16102620275609392,0.14593266025079774,0.5539561270054003,0.7445626812484792,GCR,50.0
0.16102620275609392,0.1762904348961046,0.5502240705882817,0.7393008408261204,GCR,50.0
0.16102620275609392,0.21296341327874763,0.5472311019557872,0.7352548525809214,GCR,50.0
0.16102620275609392,0.25726532141158615,0.5447700056000853,0.7319035505805517,GCR,50.0
0.16102620275609392,0.31078317435857705,0.5428797257308263,0.7293448662305108,GCR,50.0
0.16102620275609392,0.37543412743869276,0.5410353131070815,0.7269012274359219,GCR,50.0
0.16102620275609392,0.45353415395334656,0.5392220443490695,0.7245689028152641,GCR,50.0
0.16102620275609392,0.5478810096606547,0.5377186056244343,0.7228729332834096,GCR,50.0
0.16102620275609392,0.6618544560100672,0.536628840982939,0.7217064689767,GCR,50.0
0.16102620275609392,0.7995373324067232,0.5356856376119975,0.7207781393994283,GCR,50.0
0.16102620275609392,0.965861814643937,0.5347447568068264,0.719894092256452,GCR,50.0
0.16102620275609392,1.166786098879395,0.5336233399235251,0.7187753855578605,GCR,50.0
0.16102620275609392,1.4095078404565258,0.532738769106266,0.7180652191523365,GCR,50.0
0.16102620275609392,1.7027219935312041,0.5320474062193274,0.717682627934397,GCR,50.0
0.16102620275609392,2.0569322880217786,0.5321336587578972,0.718925031807263,GCR,50.0
0.16102620275609392,2.484827501835503,0.5323571022459326,0.7204167533019483,GCR,50.0
0.16102620275609392,3.0017360074677835,0.533341708813903,0.7226450262464372,GCR,50.0
0.16102620275609392,3.6261748760719885,0.5345027021104831,0.7250314779613641,GCR,50.0
0.16102620275609392,4.38051320940382,0.5356762056708091,0.7274442148351892,GCR,50.0
0.16102620275609392,5.291773461997922,0.5373130904233598,0.7305709205107509,GCR,50.0
0.16102620275609392,6.392599459120591,0.5390269094771271,0.7338163072662426,GCR,50.0
0.16102620275609392,7.722425787539303,0.5407517564392509,0.7370886411144537,GCR,50.0
0.16102620275609392,9.328890449872787,0.5423318537841801,0.740176761245791,GCR,50.0
0.16102620275609392,11.26954138764972,0.5439201980922006,0.7432253245562427,GCR,50.0
0.16102620275609392,13.613898005381975,0.5461243838602425,0.7469743577434864,GCR,50.0
0.16102620275609392,16.445941545061906,0.5487936144477235,0.7513603083076081,GCR,50.0
0.16102620275609392,19.867123523084192,0.5515649786953102,0.7559001125867705,GCR,50.0
0.16102620275609392,23.999999999999993,0.5544365926721624,0.7606027834895145,GCR,50.0
0.20433597178569415,0.1,0.5773948680822714,0.7797400571986163,GCR,50.0
0.20433597178569415,0.12080259113562,0.5724646780769281,0.772468012045338,GCR,50.0
0.20433597178569415,0.14593266025079774,0.56761948257359,0.7654556112165977,GCR,50.0
0.20433597178569415,0.1762904348961046,0.5632528353364877,0.7592408440455028,GCR,50.0
0.20433597178569415,0.21296341327874763,0.5595784365564057,0.7540036691757129,GCR,50.0
0.20433597178569415,0.25726532141158615,0.5562305201973806,0.74923916592203,GCR,50.0
0.20433597178569415,0.31078317435857705,0.5530604866197772,0.7447827102981165,GCR,50.0
0.20433597178569415,0.37543412743869276,0.5503442762273426,0.7410179711278118,GCR,50.0
0.20433597178569415,0.45353415395334656,0.5482481401610555,0.7381692040313448,GCR,50.0
0.20433597178569415,0.5478810096606547,0.5463451194176139,0.7357025827319672,GCR,50.0
0.20433597178569415,0.6618544560100672,0.5446535466645358,0.7335343586205457,GCR,50.0
0.20433597178569415,0.7995373324067232,0.5435273164979573,0.7322287705357254,GCR,50.0
0.20433597178569415,0.965861814643937,0.5424498988895515,0.731008878817147,GCR,50.0
0.20433597178569415,1.166786098879395,0.5422345992389259,0.73146786379926,GCR,50.0
0.20433597178569415,1.4095078404565258,0.5422910675831113,0.7324555297425016,GCR,50.0
0.20433597178569415,1.7027219935312041,0.542254732453026,0.7332984835574451,GCR,50.0
0.20433597178569415,2.0569322880217786,0.542308138534719,0.7343596826798269,GCR,50.0
0.20433597178569415,2.484827501835503,0.5422821806881432,0.7353740269876708,GCR,50.0
0.20433597178569415,3.0017360074677835,0.5422753610368257,0.7364505045522101,GCR,50.0
0.20433597178569415,3.6261748760719885,0.5425141242276572,0.7379296610633405,GCR,50.0
0.20433597178569415,4.38051320940382,0.5440008711311584,0.7409053442053762,GCR,50.0
0.20433597178569415,5.291773461997922,0.5457673728142624,0.7442840825445045,GCR,50.0
0.20433597178569415,6.392599459120591,0.5475393178619438,0.7476518779415817,GCR,50.0
0.20433597178569415,7.722425787539303,0.5493634066483944,0.7510857838714875,GCR,50.0
0.20433597178569415,9.328890449872787,0.5512204432713304,0.7545527725029563,GCR,50.0
0.20433597178569415,11.26954138764972,0.5528777676151809,0.7576848914686094,GCR,50.0
0.20433597178569415,13.613898005381975,0.5545612619511092,0.7607129672164866,GCR,50.0
0.20433597178569415,16.445941545061906,0.5569263200245901,0.7647565981483797,GCR,50.0
0.20433597178569415,19.867123523084192,0.559950560530684,0.769720201880299,GCR,50.0
0.20433597178569415,23.999999999999993,0.5632360569826504,0.7750464027258009,GCR,50.0
0.2592943797404667,0.1,0.592710782774599,0.8037511595979271,GCR,50.0
