dose_Gy,time_h,RRI,RRI_latent,quality,LET
0.1,0.1,0.5850439989730967,0.7910835706709791,HZE-Fe,200.0
0.1,0.12080259113562,0.5816532478700394,0.7861767334461286,HZE-Fe,200.0
0.1,0.14593266025079774,0.578335181536987,0.781384554230329,HZE-Fe,200.0
0.1,0.1762904348961046,0.5754694456638231,0.7773769992132737,HZE-Fe,200.0
0.1,0.21296341327874763,0.5728125282230863,0.7737610036739822,HZE-Fe,200.0
0.1,0.25726532141158615,0.5701489712852543,0.7701638164837634,HZE-Fe,200.0
0.1,0.31078317435857705,0.5677644901950886,0.7671491729287507,HZE-Fe,200.0
0.1,0.37543412743869276,0.5662358880094568,0.765827603911988,HZE-Fe,200.0
0.1,0.45353415395334656,0.5655056075645072,0.7655147024874169,HZE-Fe,200.0
0.1,0.5478810096606547,0.5649883151743221,0.7653830528718293,HZE-Fe,200.0
0.1,0.6618544560100672,0.5645222720358266,0.7653254688401148,HZE-Fe,200.0
0.1,0.7995373324067232,0.5642054618737794,0.7654938321155335,HZE-Fe,200.0
0.1,0.965861814643937,0.56385495316264,0.765606823703971,HZE-Fe,200.0
0.1,1.166786098879395,0.563522689359713,0.7657293927627152,HZE-Fe,200.0
0.1,1.4095078404565258,0.5632721275093197,0.7659794548722232,HZE-Fe,200.0
0.1,1.7027219935312041,0.5630623582230416,0.7662851634313286,HZE-Fe,200.0
0.1,2.0569322880217786,0.5631067729114648,0.7669909641587561,HZE-Fe,200.0
0.1,2.484827501835503,0.563222762188798,0.7678303387280873,HZE-Fe,200.0
0.1,3.0017360074677835,0.5634402493522057,0.7688267172323654,HZE-Fe,200.0
0.1,3.6261748760719885,0.5638086414366501,0.7701276913916573,HZE-Fe,200.0
0.1,4.38051320940382,0.5641939516923444,0.7714394551753248,HZE-Fe,200.0
0.1,5.291773461997922,0.5652365740940971,0.7737752209205149,HZE-Fe,200.0
0.1,6.392599459120591,0.5663125208311454,0.776153870297046,HZE-Fe,200.0
0.1,7.722425787539303,0.567342623188698,0.7784672152455325,HZE-Fe,200.0
0.1,9.328890449872787,0.5690360890307297,0.7816089877598699,HZE-Fe,200.0
0.1,11.26954138764972,0.5709756825348736,0.7850241233861468,HZE-Fe,200.0
0.1,13.613898005381975,0.5727767355417133,0.7881827003253865,HZE-Fe,200.0
0.1,16.445941545061906,0.5744116774075754,0.7910301060729081,HZE-Fe,200.0
0.1,19.867123523084192,0.5758767651192271,0.7936752663986548,HZE-Fe,200.0
0.1,23.999999999999993,0.5773211068947532,0.7962830209608666,HZE-Fe,200.0
0.12689610031679222,0.1,0.5991710289161905,0.8127513137663849,HZE-Fe,200.0
0.12689610031679222,0.12080259113562,0.5954902218681671,0.8073193129909249,HZE-Fe,200.0
0.12689610031679222,0.14593266025079774,0.5920236746364765,0.802183519367656,HZE-Fe,200.0
0.12689610031679222,0.1762904348961046,0.5886053219656103,0.7971283207502043,HZE-Fe,200.0
0.12689610031679222,0.21296341327874763,0.5859921928379194,0.7938484862924458,HZE-Fe,200.0
0.12689610031679222,0.25726532141158615,0.5836789442756736,0.7911664319802704,HZE-Fe,200.0
0.12689610031679222,0.31078317435857705,0.5817391370393987,0.7890937089757121,HZE-Fe,200.0
0.12689610031679222,0.37543412743869276,0.580135068291377,0.7876867960699941,HZE-Fe,200.0
0.12689610031679222,0.45353415395334656,0.5786777176207704,0.786572180834461,HZE-Fe,200.0
0.12689610031679222,0.5478810096606547,0.5774604021864115,0.7856118780687006,HZE-Fe,200.0
0.12689610031679222,0.6618544560100672,0.5765498581513515,0.785021845749832,HZE-Fe,200.0
0.12689610031679222,0.7995373324067232,0.5760499719989154,0.7849542531813628,HZE-Fe,200.0
0.12689610031679222,0.965861814643937,0.5757191489175755,0.7851052466166202,HZE-Fe,200.0
0.12689610031679222,1.166786098879395,0.5754801736038776,0.7853843576019569,HZE-Fe,200.0
0.12689610031679222,1.4095078404565258,0.575232012610952,0.7856256445415634,HZE-Fe,200.0
0.12689610031679222,1.7027219935312041,0.5751096120117384,0.7860543714278307,HZE-Fe,200.0
0.12689610031679222,2.0569322880217786,0.5751882150367927,0.7867832455116868,HZE-Fe,200.0
0.12689610031679222,2.484827501835503,0.5753199993481206,0.7876201061404033,HZE-Fe,200.0
0.12689610031679222,3.0017360074677835,0.575492863494113,0.788522645163489,HZE-Fe,200.0
0.12689610031679222,3.6261748760719885,0.5756768096917926,0.7894330034787933,HZE-Fe,200.0
0.12689610031679222,4.38051320940382,0.576208952658923,0.7909086412987197,HZE-Fe,200.0
0.12689610031679222,5.291773461997922,0.5769966167591793,0.7928035429198389,HZE-Fe,200.0
0.12689610031679222,6.392599459120591,0.5777283312679271,0.7946001994204841,HZE-Fe,200.0
0.12689610031679222,7.722425787539303,0.5782758171823654,0.7961094727342136,HZE-Fe,200.0
