time_bin,n,RRI_mean,RRI_std,RRI_latent_mean,RRI_pathway_mean,RRI_module_mean,RRI_gamma_mean,n_gamma,RRI_GCR_mean,n_GCR
0-0.5h,16,0.7927418554984996,0.0443081220658117,0.6364587375781261,0.9690377285426146,0.9290122182951319,0.7927418554984996,16,,
0.5-2h,14,0.7861262425872023,0.05147423216050035,0.6476256175754453,0.9727456021757627,0.876508133022156,0.7861262425872023,14,,
2-6h,16,0.6847720535076945,0.1344334381129384,0.577062651798808,0.9735225024599623,0.6114404079732,0.8068998767597826,8,0.5626442302556065,8.0
6-12h,8,0.7544926791128204,0.05274961373147522,0.5790970743648876,0.9736678515981727,0.8861087161233336,0.7544926791128204,8,,
12-30h,18,0.7846035762956944,0.0467824498007205,0.6209289838565398,0.9765371528964852,0.9200191845732127,0.7846035762956944,18,,
