CellType,DNA repair,Oxidative stress,SA signaling,JA signaling,ETH signaling,ABA signaling,Auxin signaling,Cell cycle / DDR checkpoint
cotyledon,-0.11207358542772414,0.11251559658882988,0.06848965170687289,0.49880725079244603,0.8899731404889876,-0.3572446180860992,0.604080668858268,-0.11444488307041208
dna_damage_response,0.31674357425741356,-0.006365301608744237,-0.042847892793034165,0.03148113730885649,-0.0017094520149319476,0.08796394191926274,-0.042180102141393616,0.23965832786888308
hormone_response_aba,0.13154052284976528,-0.10911612725381767,-0.11406560275758697,0.19080053321609458,0.04015983047611493,0.5943980475069525,0.20586870287366016,0.35423819207493085
hormone_response_auxin,0.45206820467554254,0.39226918792035426,-0.023970877818089466,0.38996917240235535,0.4837386823253782,0.5531138765582051,0.4332959774631314,0.7950095747741617
hormone_response_cytokinin,-0.12840901169203772,0.1409364468968719,0.09142066627290193,-0.035147183751935165,0.08134210760313074,-0.2044175950919775,-0.25176224536946445,-0.14798065296566745
hormone_response_ethylene,0.39172235380517517,0.37697944070871847,-0.03236767629067916,0.31858000373634915,0.4728457691863701,0.4441228140787509,0.4745197520072136,0.5985702001444155
hormone_response_ja,1.5410751618757133,0.6691866996710486,-0.3109949494583464,1.2475620439401918,0.7423669325692572,1.2140144135789632,0.8826235076212763,1.651888400026482
hormone_response_sa,-0.5296966743051368,-0.2711062449309245,-0.00154726113284831,-0.4986381442898942,-0.5105437368207324,-0.37829779903441985,-0.4707812301118647,-0.7112696611751685
hypocotyl,0.18205585369508756,0.1613979683729172,-0.011307714203475186,0.13822021428945938,0.18653653312642077,0.1341952483833079,0.0759536688918763,0.28613634283044204
leaf_epidermis,1.542878669666531,1.073830921507142,-0.20651727533742373,1.3450432403983066,1.419921999284148,1.2073689204931763,0.9887831004298532,2.4297966624370675
leaf_mesophyll,-1.2632127364066201,-0.9036747232287755,0.05923309880941909,-1.0893092170683532,-1.2976731097895347,-1.1639774614430922,-1.4955225119618172,-1.993183452659217
leaf_vasculature,0.38846817167274367,-0.7094763396574314,-0.29770580023826076,-0.44098373574240374,-0.49126825327108825,-0.2418415066978826,0.5966952231538384,0.5410122165288878
oxidative_stress,-0.08708245405455148,-0.3864101465892934,-0.23316499986758843,-0.13341912066176775,-0.18558678371984308,0.28226846820992985,0.3624617870406263,0.20332907912633927
root_columella,0.5928157168904944,0.19121846721593297,-0.11203738864052251,0.23155427785931454,0.20588907934782608,0.4612323744554854,0.07003722627772294,0.5754662235788829
root_cortex,-0.6101031987554862,-0.4649438027367405,-0.005558844780829552,-0.721858534472443,-0.8539194394330639,-0.6652220320563823,-0.9972292337800427,-1.185370363776239
root_endodermis,-0.21255229232696826,0.3319247580623374,-0.03197588397357877,-0.06849875177673045,0.1450668755437608,-0.10156857120537621,0.050684530330498266,-0.1082627862626168
root_epidermis,-0.5952562449086654,-0.6722104760021523,-0.15568143229360243,-0.6375827844271417,-0.7160903706077348,-0.8261301465002278,-0.6248804287896325,-1.2045292810396926
root_lateral_root_cap,-1.5995058203045152,0.18067869729625047,1.3247217121001698,-0.07565657351574447,-0.0455241086146162,-0.3454568592755365,0.37424828127072934,-0.9122484531520023
root_meristem,-0.08174315882189957,0.21846914114382096,0.15168074272447601,0.17194617450790167,0.31167200645566673,-0.08616887084494138,0.06968499419967575,-0.1486724295065111
root_pericycle,-0.7331420651476336,-0.36446753868921145,-0.0584816365445926,-0.6648763127946066,-0.7179939746834973,-0.5740366775777581,-0.7044214039689337,-1.0273300130218073
root_phloem,0.06089592570520643,-0.14379489757138653,0.01246033112095748,-0.22044311585092694,-0.20416155426116095,-0.15039373652384447,-0.3753341013861811,-0.23535909026145987
root_stele,-0.056526530593261,-0.07919141258748992,0.06125866553165062,-0.1895891823860029,-0.23568704138709137,-0.31097330083859553,-0.4878768293102567,-0.5155923428932718
root_xylem,0.12001509413836038,0.08192038236515597,-0.0831094462271718,0.06410268503354205,0.08408236251844284,0.19993038626071097,0.09448645585719326,0.23630533855555394
shoot_apical_meristem,0.28902452351246727,0.17942930310658234,-0.047930185908814496,0.14793592325313293,0.19656250567778139,0.22712068373139246,0.16656421054402765,0.39283285183801525
