time_bin,RadiationQuality,DNA repair,Oxidative stress,SA signaling,JA signaling,ETH signaling,ABA signaling,Auxin signaling,Cell cycle / DDR checkpoint
0-0.5h,gamma,0.09394454793073237,0.01254031271673739,0.0784542893525213,-0.21915902700311563,-0.38625234935898334,-0.2719670905498788,0.3405530008021742,0.008950806874054251
0.5-2h,gamma,0.39886982273310423,-0.1043991833659155,0.00563957542181015,0.0019231991110635655,-0.13231189016784942,-0.27499269268342424,0.27840113688060747,0.10189480201474257
12-30h,gamma,0.04766583929045333,-0.13711715665542418,0.46249216412090594,-0.340241588315823,-0.3705647761623065,-0.0364340560303794,-0.15140820894804266,-0.09042237971961084
2-6h,GCR,0.0404191161505878,0.008878698223270476,-0.00018082698807120323,-0.016257277107797563,0.013223248068243265,0.06389259686693549,-0.007106253877282143,0.026405881508253515
2-6h,gamma,0.34000676264986396,-0.14536252320976928,-0.05839500483125448,-0.44707775622373447,-0.2472023582085967,-0.3497199369594455,0.2583702739793807,0.1492060129530728
6-12h,gamma,0.26040105801075697,-0.026590068824589252,0.12351308995857835,-0.42634887993335724,-0.3280460871756077,-0.13245056732557714,-0.03561819397145882,-0.04127293010242283
