Gene,_SCORE_GRP9_,_SCORE_GRP4_,_SCORE_GRP3_,_SCORE_GRP13_,_SCORE_GRP8_,_SCORE_GRP5_,_SCORE_GRP10_,_SCORE_GRP2_,_SCORE_GRP12_,_SCORE_GRP6_,_SCORE_GRP11_,_SCORE_GRP1_,_SCORE_GRP14_,_SCORE_GRP15_,_SCORE_GRP7_,GRP1|19_GO:0009903|-3.665|chloroplast avoidance movement,GRP1|19_GO:0009904|-3.842|chloroplast accumulation movement,GRP1|19_GO:0009902|-3.416|chloroplast relocation,GRP1|19_GO:0051667|-3.416|establishment of plastid localization,GRP1|19_GO:0019750|-3.372|chloroplast localization,GRP1|19_GO:0051644|-3.372|plastid localization,GRP1|19_GO:0051656|-2.188|establishment of organelle localization,GRP1|19_GO:0051640|-1.513|organelle localization,GRP2|20_GO:0009526|-1.692|plastid envelope,GRP2|20_GO:0009941|-1.750|chloroplast envelope,GRP2|19_GO:0031668|-2.895|cellular response to extracellular stimulus,GRP2|19_GO:0031669|-3.256|cellular response to nutrient levels,GRP2|19_GO:0071496|-2.841|cellular response to external stimulus,GRP2|19_GO:0031667|-2.704|response to nutrient levels,GRP2|19_GO:0009991|-2.423|response to extracellular stimulus,GRP2|20_GO:0042170|-1.988|plastid membrane,GRP2|20_GO:0031969|-2.035|chloroplast membrane,GRP2|19_GO:0009267|-1.895|cellular response to starvation,GRP2|19_GO:0016036|-2.657|cellular response to phosphate starvation,GRP2|19_GO:0042594|-1.658|response to starvation,GRP2|19_GO:0006664|-2.851|glycolipid metabolic process,GRP2|19_GO:0009247|-2.939|glycolipid biosynthetic process,GRP2|19_GO:1903509|-2.851|liposaccharide metabolic process,GRP2|24_ath00561|-2.623|Glycerolipid metabolism,GRP2|19_GO:0046467|-2.236|membrane lipid biosynthetic process,GRP2|19_GO:0006643|-1.939|membrane lipid metabolic process,GRP3|19_GO:1901701|-3.001|cellular response to oxygen-containing compound,GRP3|19_GO:0097305|-1.850|response to alcohol,GRP3|19_GO:0009737|-1.865|response to abscisic acid,GRP3|19_GO:0071229|-2.162|cellular response to acid chemical,GRP3|19_GO:0071396|-2.105|cellular response to lipid,GRP3|19_GO:0071215|-2.389|cellular response to abscisic acid stimulus,GRP3|19_GO:0009738|-2.600|abscisic acid-activated signaling pathway,GRP3|19_GO:0097306|-2.389|cellular response to alcohol,GRP4|21_GO:0098772|-2.506|molecular function regulator,GRP4|21_GO:0030234|-2.943|enzyme regulator activity,GRP4|21_GO:0004857|-2.368|enzyme inhibitor activity,GRP5|19_GO:0042493|-2.651|response to drug,GRP5|19_GO:1901698|-2.466|response to nitrogen compound,GRP5|19_GO:0010243|-2.170|response to organonitrogen compound,GRP5|19_GO:0010200|-2.285|response to chitin,GRP6|24_ath04141|-2.411|Protein processing in endoplasmic reticulum,GRP6|19_GO:0000302|-1.386|response to reactive oxygen species,GRP7|19_GO:0007568|-1.995|aging,GRP7|19_GO:0090693|-1.513|plant organ senescence,GRP7|19_GO:0010150|-1.562|leaf senescence,GRP8|19_GO:0032446|-1.839|protein modification by small protein conjugation,GRP8|19_GO:0016567|-1.941|protein ubiquitination,GRP8|19_GO:0070647|-1.601|protein modification by small protein conjugation or removal,GRP8|19_GO:0010498|-1.435|proteasomal protein catabolic process,GRP9|20_GO:0009579|-1.750|thylakoid,GRP10|19_GO:0009611|-1.691|response to wounding,GRP11|21_GO:0046906|-1.493|tetrapyrrole binding,GRP11|21_GO:0020037|-1.629|heme binding,GRP11|21_GO:0005506|-1.306|iron ion binding,GRP11|19_GO:1901657|-1.576|glycosyl compound metabolic process,GRP11|19_GO:0019757|-1.451|glycosinolate metabolic process,GRP11|19_GO:0016143|-1.451|S-glycoside metabolic process,GRP11|19_GO:0019760|-1.451|glucosinolate metabolic process,GRP12|19_GO:0009651|-1.406|response to salt stress,GRP12|19_GO:0010118|-1.489|stomatal movement,GRP13|21_GO:0005509|-1.484|calcium ion binding,GRP14|19_GO:0009743|-1.393|response to carbohydrate,GRP15|24_ath04075|-1.368|Plant hormone signal transduction,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_,_SORT_GRP15_
838740,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
827481,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0
830520,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0
832801,0.0,0.0,0.25,0.0,0.75,1.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1,0.2,0.1,0.1,0.1,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,6,8,0,2,0,0,5,0,0,0,0,0,0,0
820697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
841789,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,7,2,0,0,0,0,0,4,0,0,0
816898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
835945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0
824793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1,0.2,0.1,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
