"Sample","MEblue","MEturquoise","MEgrey"
"OSD-498_GSM3072467",0.0480339871876789,0.0303187645023408,-0.0881898449287924
"OSD-498_GSM3072468",0.0260273621445841,0.00209907306847068,-0.117458139538771
"OSD-498_GSM3072469",-0.0109679902519365,-0.0412278956467351,-0.0538793371625991
"OSD-498_GSM3072470",0.0364838637538687,0.0130137593256033,-0.0576194476800565
"OSD-498_GSM3072471",0.087229581650017,0.0188091854356552,0.148608856082427
"OSD-498_GSM3072472",-0.0612626589977126,-0.060531741778075,0.110607526241359
"OSD-498_GSM3072473",-0.0404576629688153,0.0537017944281174,0.0368864889126132
"OSD-498_GSM3072474",-0.085086482517684,-0.0161829393353768,0.0210438980738209
"OSD-508_GSM3082837",0.174863329938503,0.226824432714439,0.00588722885192107
"OSD-508_GSM3082838",0.0371745826845946,0.0282735501749845,-0.0153312623820466
"OSD-508_GSM3082839",0.172759093741895,0.174690544579342,0.113396877487901
"OSD-508_GSM3082840",0.0122365943055478,-0.00174652765578267,0.075801854157061
"OSD-508_GSM3082841",0.0965517142389629,-0.0797899132188332,0.123273248335708
"OSD-508_GSM3082842",0.148350002209231,-0.071168761915711,0.138904016116917
"OSD-508_GSM3082843",0.115615511498886,-0.111021048359307,0.222403869947673
"OSD-508_GSM3082844",0.0810807014215092,-0.117061966131141,0.223591565032227
"OSD-508_GSM3082845",0.0302224861066586,-0.0475254318323554,0.189596803563192
"OSD-508_GSM3082846",0.0128859518639977,-0.161402507692144,0.200769303226261
"OSD-508_GSM3082847",-0.000411161541420235,0.0936538426240031,0.182452472977976
"OSD-508_GSM3082848",-0.0538151071128902,-0.035474480883868,0.180350728035853
"OSD-508_GSM3082849",-0.185119711396569,-0.00457016573436217,0.085455120010519
"OSD-508_GSM3082850",-0.368341162305522,-0.252440848236507,0.0647985410157333
"OSD-508_GSM3082851",-0.192730241485286,0.0633114866779519,0.0386900697452685
"OSD-508_GSM3082852",-0.119886712126623,0.0691849317508794,0.0883307491550756
"OSD-508_GSM3082855",0.119095627451556,0.140289907900693,-0.107944689286845
"OSD-508_GSM3082856",0.103393853337803,0.126751518940614,-0.0885582261484865
"OSD-508_GSM3082857",0.150378375244464,0.150865269753734,-0.104435169582865
"OSD-508_GSM3082858",-0.00836831307009095,-0.004410071805283,-0.120766644021008
"OSD-508_GSM3082859",0.157608659076336,-0.0514107251381671,-0.138650923051328
"OSD-508_GSM3082860",0.119857424294956,-0.0890969671398004,-0.143077160492616
"OSD-508_GSM3082861",0.0922809384427628,-0.0492339073012694,-0.117526204124932
"OSD-508_GSM3082862",0.0678128349207767,-0.171641891251199,-0.163617798374529
"OSD-508_GSM3082863",0.0193397370818112,-0.019346468778595,-0.123779148245584
"OSD-508_GSM3082864",-0.0286567266028793,-0.0218945035917656,-0.117760004711899
"OSD-508_GSM3082865",-0.106356476258749,-0.0119973687686165,-0.153811223747151
"OSD-508_GSM3082866",-0.192848696313628,0.055465733479924,-0.187845356792418
"OSD-508_GSM3082867",-0.134158576052832,0.0326140267142686,-0.131830411989514
"OSD-508_GSM3082868",-0.0903164936625464,0.0679683399803652,-0.131514703711725
"OSD-508_GSM3082869",-0.1393372669366,0.00800280789345498,-0.0391405287704674
"OSD-508_GSM3082870",-0.0911607729946142,0.0633371622500532,-0.0481129922258724
"OSD-510_GSM3072302",0.196354987342085,0.137563677320763,0.04239149452134
"OSD-510_GSM3072303",0.11031222715063,-0.00565786939098909,0.0028545801019805
"OSD-510_GSM3072304",0.0946750852417921,0.0481589898234818,0.185736442536184
"OSD-510_GSM3072305",0.0641669697666335,-0.0378815242160081,0.176719920900597
"OSD-510_GSM3072306",0.000993681096120765,-0.0215222587030126,0.18147952185868
"OSD-510_GSM3072307",-0.00242175264284314,-0.0131164308926658,0.173829373974189
"OSD-510_GSM3072308",0.00184581398209054,-0.0161208167522132,0.161780008030331
"OSD-510_GSM3072309",-0.0167155015926789,-0.0415856697950062,0.137247484540826
"OSD-510_GSM3072310",0.0265513404041681,0.102169702393136,0.090139620985597
"OSD-510_GSM3072311",0.0440417947393209,0.104265048121615,0.088564671539469
"OSD-510_GSM3072312",0.0200544318647623,0.130063293204006,0.058924809603161
"OSD-510_GSM3072313",-0.103811177825016,-0.0719326772071498,0.0234207007894249
"OSD-510_GSM3072326",0.184704036873391,0.117441400376362,-0.143361712552728
"OSD-510_GSM3072327",0.0548520106423806,-0.0990494576029144,-0.17472863518762
"OSD-510_GSM3072328",-0.0985675587792511,-0.12462982285155,-0.133384004600105
"OSD-510_GSM3072329",-0.0369478428765091,-0.0530168983447597,-0.138713035904287
"OSD-510_GSM3072330",-0.105551826946658,-0.113001339168311,-0.138315806732537
"OSD-510_GSM3072331",-0.0472446142979193,0.00220715339850847,-0.112063455543647
"OSD-510_GSM3072332",-0.132116858388513,-0.0645464652438744,-0.112801752782883
"OSD-510_GSM3072333",0.0132304619760549,0.122561565705088,-0.0807773595021035
"OSD-510_GSM3072334",0.0288037860992481,0.129693040568817,-0.0694574093474953
"OSD-510_GSM3072335",0.021390120792341,0.10858728798772,-0.0732550418613801
"OSD-510_GSM3072336",-0.1375698704586,-0.134052337978375,-0.0744284465364078
"OSD-510_GSM3072337",-0.18102974416303,-0.206597590752667,-0.0718019688305858
"OSD-658_CWRU004177_S4",-0.115240850314334,-0.130208893221392,-0.030927057670208
"OSD-658_CWRU004178_S5",-0.0201789531316988,-0.0705965688450135,-0.025592973741823
"OSD-658_CWRU004179_S6",0.0144835108925585,0.0796508741630122,0.009230907888826
"OSD-658_CWRU004180_S7",0.250160025767958,0.320322170170986,0.036015712667747
"OSD-658_CWRU004184_S11",-0.118302637194696,-0.144058521786357,-0.0219014873046918
"OSD-658_CWRU004185_S12",-0.300827483783743,-0.434282295497881,-0.0663731419414268
"OSD-658_CWRU004186_S13",0.152072294355701,0.195523163484912,0.0522096241092187
"OSD-658_CWRU004187_S14",0.137834093408254,0.183650071531734,0.0473384159923581
