Sample,Time_h,Dose_Gy,LET_keV_um
OSD-498_GSM3072467,0.1666666666666666,100.0,0.2
OSD-498_GSM3072468,0.1666666666666666,100.0,0.2
OSD-498_GSM3072469,0.3333333333333333,100.0,0.2
OSD-498_GSM3072470,0.3333333333333333,100.0,0.2
OSD-498_GSM3072471,1.5,100.0,0.2
OSD-498_GSM3072472,1.5,100.0,0.2
OSD-498_GSM3072473,24.0,100.0,0.2
OSD-498_GSM3072474,24.0,100.0,0.2
OSD-508_GSM3082837,0.1666666666666666,100.0,0.2
OSD-508_GSM3082838,0.1666666666666666,100.0,0.2
OSD-508_GSM3082839,0.3333333333333333,100.0,0.2
OSD-508_GSM3082840,0.3333333333333333,100.0,0.2
OSD-508_GSM3082841,0.75,100.0,0.2
OSD-508_GSM3082842,0.75,100.0,0.2
OSD-508_GSM3082843,1.5,100.0,0.2
OSD-508_GSM3082844,1.5,100.0,0.2
OSD-508_GSM3082845,3.0,100.0,0.2
OSD-508_GSM3082846,3.0,100.0,0.2
OSD-508_GSM3082847,6.0,100.0,0.2
OSD-508_GSM3082848,6.0,100.0,0.2
OSD-508_GSM3082849,12.0,100.0,0.2
OSD-508_GSM3082850,12.0,100.0,0.2
OSD-508_GSM3082851,24.0,100.0,0.2
OSD-508_GSM3082852,24.0,100.0,0.2
OSD-508_GSM3082855,0.1666666666666666,100.0,0.2
OSD-508_GSM3082856,0.1666666666666666,100.0,0.2
OSD-508_GSM3082857,0.3333333333333333,100.0,0.2
OSD-508_GSM3082858,0.3333333333333333,100.0,0.2
OSD-508_GSM3082859,0.75,100.0,0.2
OSD-508_GSM3082860,0.75,100.0,0.2
OSD-508_GSM3082861,1.5,100.0,0.2
OSD-508_GSM3082862,1.5,100.0,0.2
OSD-508_GSM3082863,3.0,100.0,0.2
OSD-508_GSM3082864,3.0,100.0,0.2
OSD-508_GSM3082865,6.0,100.0,0.2
OSD-508_GSM3082866,6.0,100.0,0.2
OSD-508_GSM3082867,12.0,100.0,0.2
OSD-508_GSM3082868,12.0,100.0,0.2
OSD-508_GSM3082869,24.0,100.0,0.2
OSD-508_GSM3082870,24.0,100.0,0.2
OSD-510_GSM3072302,0.3333333333333333,100.0,0.2
OSD-510_GSM3072303,0.3333333333333333,100.0,0.2
OSD-510_GSM3072304,1.5,100.0,0.2
OSD-510_GSM3072305,1.5,100.0,0.2
OSD-510_GSM3072306,3.0,100.0,0.2
OSD-510_GSM3072307,3.0,100.0,0.2
OSD-510_GSM3072308,6.0,100.0,0.2
OSD-510_GSM3072309,6.0,100.0,0.2
OSD-510_GSM3072310,12.0,100.0,0.2
OSD-510_GSM3072311,12.0,100.0,0.2
OSD-510_GSM3072312,24.0,100.0,0.2
OSD-510_GSM3072313,24.0,100.0,0.2
OSD-510_GSM3072326,0.3333333333333333,100.0,0.2
OSD-510_GSM3072327,0.3333333333333333,100.0,0.2
OSD-510_GSM3072328,1.5,100.0,0.2
OSD-510_GSM3072329,1.5,100.0,0.2
OSD-510_GSM3072330,3.0,100.0,0.2
OSD-510_GSM3072331,3.0,100.0,0.2
OSD-510_GSM3072332,6.0,100.0,0.2
OSD-510_GSM3072333,6.0,100.0,0.2
OSD-510_GSM3072334,12.0,100.0,0.2
OSD-510_GSM3072335,12.0,100.0,0.2
OSD-510_GSM3072336,24.0,100.0,0.2
OSD-510_GSM3072337,24.0,100.0,0.2
OSD-658_CWRU004177_S4,3.0,0.4,5.0
OSD-658_CWRU004178_S5,3.0,0.4,5.0
OSD-658_CWRU004179_S6,3.0,0.4,5.0
OSD-658_CWRU004180_S7,3.0,0.4,5.0
OSD-658_CWRU004184_S11,3.0,0.8,5.0
OSD-658_CWRU004185_S12,3.0,0.8,5.0
OSD-658_CWRU004186_S13,3.0,0.8,5.0
OSD-658_CWRU004187_S14,3.0,0.8,5.0
