CellType,time_bin,OutgoingSignal
cotyledon,0-0.5h,0.7012619532376659
dna_damage_response,0-0.5h,0.7445399716719471
hormone_response_aba,0-0.5h,0.8156988602181291
hormone_response_auxin,0-0.5h,0.6623926846623931
hormone_response_cytokinin,0-0.5h,0.5620026771828674
hormone_response_ethylene,0-0.5h,0.7697183818697132
hormone_response_ja,0-0.5h,0.7003735881674201
hormone_response_sa,0-0.5h,0.8085355619487599
hypocotyl,0-0.5h,0.8287058245405658
leaf_epidermis,0-0.5h,0.15371728149958047
leaf_mesophyll,0-0.5h,0.9762335757203991
leaf_vasculature,0-0.5h,0.12467100304254912
oxidative_stress,0-0.5h,0.897400314100298
root_columella,0-0.5h,0.7651142663393423
root_cortex,0-0.5h,0.8412778534880037
root_endodermis,0-0.5h,0.8570108226639581
root_epidermis,0-0.5h,0.47844211332145353
root_lateral_root_cap,0-0.5h,0.0
root_meristem,0-0.5h,0.6383072899883218
root_pericycle,0-0.5h,0.8909868679437034
root_phloem,0-0.5h,0.5683492809062423
root_stele,0-0.5h,0.4878063929326091
root_xylem,0-0.5h,0.6616487126145912
shoot_apical_meristem,0-0.5h,0.6384267615594004
cotyledon,0.5-2h,0.8378346890482768
dna_damage_response,0.5-2h,0.7621590663682382
hormone_response_aba,0.5-2h,0.8514998787789083
hormone_response_auxin,0.5-2h,0.7017692455237391
hormone_response_cytokinin,0.5-2h,0.6757946239209337
hormone_response_ethylene,0.5-2h,0.8210796721030633
hormone_response_ja,0.5-2h,0.6028625775520865
hormone_response_sa,0.5-2h,0.8366354742931732
hypocotyl,0.5-2h,0.8604702733433398
leaf_epidermis,0.5-2h,0.2635856687046581
leaf_mesophyll,0.5-2h,1.0
leaf_vasculature,0.5-2h,0.262852881026658
oxidative_stress,0.5-2h,0.9413758515011643
root_columella,0.5-2h,0.7793527438308098
root_cortex,0.5-2h,0.8657215627605966
root_endodermis,0.5-2h,0.8947683004478342
root_epidermis,0.5-2h,0.5089132893954265
root_lateral_root_cap,0.5-2h,0.0
root_meristem,0.5-2h,0.7440275354039598
root_pericycle,0.5-2h,0.913869752053009
root_phloem,0.5-2h,0.6452628843067802
root_stele,0.5-2h,0.5100113877809758
root_xylem,0.5-2h,0.6850392826348563
shoot_apical_meristem,0.5-2h,0.6419794860998563
cotyledon,2-6h,0.7169647391684474
dna_damage_response,2-6h,0.751206502849568
hormone_response_aba,2-6h,0.8347331053514205
hormone_response_auxin,2-6h,0.6898194615689709
hormone_response_cytokinin,2-6h,0.5735606090507215
hormone_response_ethylene,2-6h,0.8095219243866089
hormone_response_ja,2-6h,0.5173676732339033
hormone_response_sa,2-6h,0.8237682585402211
hypocotyl,2-6h,0.8337824106313795
leaf_epidermis,2-6h,0.13648912434035643
leaf_mesophyll,2-6h,0.9545908364303688
leaf_vasculature,2-6h,0.5272442106333748
oxidative_stress,2-6h,0.9993866888210801
root_columella,2-6h,0.748258697750824
root_cortex,2-6h,0.812303184419602
root_endodermis,2-6h,0.8349303333343324
root_epidermis,2-6h,0.4365607957088332
root_lateral_root_cap,2-6h,0.08237185017676103
root_meristem,2-6h,0.6218375928488428
root_pericycle,2-6h,0.8905990424333532
root_phloem,2-6h,0.6034443821159493
root_stele,2-6h,0.4140755410417848
root_xylem,2-6h,0.6688816830579581
shoot_apical_meristem,2-6h,0.6412228622111444
cotyledon,6-12h,0.759422591210401
dna_damage_response,6-12h,0.7315911961234327
hormone_response_aba,6-12h,0.7720781046409332
hormone_response_auxin,6-12h,0.6608740418979969
hormone_response_cytokinin,6-12h,0.578552419660016
hormone_response_ethylene,6-12h,0.7341942578057322
hormone_response_ja,6-12h,0.47746529007865646
hormone_response_sa,6-12h,0.7989293126816917
hypocotyl,6-12h,0.8187191149131914
leaf_epidermis,6-12h,0.18448333844247158
leaf_mesophyll,6-12h,0.9722600133166225
leaf_vasculature,6-12h,0.20080505930353626
oxidative_stress,6-12h,0.9189691507180054
root_columella,6-12h,0.7629264058939514
root_cortex,6-12h,0.8285843637862517
root_endodermis,6-12h,0.7980816548727121
root_epidermis,6-12h,0.44525526084255723
root_lateral_root_cap,6-12h,0.0
root_meristem,6-12h,0.5807169116874956
root_pericycle,6-12h,0.876471364952326
root_phloem,6-12h,0.5965960342295513
root_stele,6-12h,0.488296493344438
root_xylem,6-12h,0.6565030362882643
shoot_apical_meristem,6-12h,0.6185132435221332
cotyledon,12-30h,0.46883532983610793
dna_damage_response,12-30h,0.7103346546478302
hormone_response_aba,12-30h,0.7498464889987416
hormone_response_auxin,12-30h,0.6416139871242815
hormone_response_cytokinin,12-30h,0.5329260738579494
hormone_response_ethylene,12-30h,0.7251996150066023
hormone_response_ja,12-30h,0.44720303257714256
hormone_response_sa,12-30h,0.777558066365583
hypocotyl,12-30h,0.7998792703256359
leaf_epidermis,12-30h,0.1496076327623432
leaf_mesophyll,12-30h,0.9556563775948479
leaf_vasculature,12-30h,0.2116437248162864
oxidative_stress,12-30h,0.8913752097089054
root_columella,12-30h,0.7391212845435015
root_cortex,12-30h,0.8149172234109402
root_endodermis,12-30h,0.7667134034045529
root_epidermis,12-30h,0.40542107712222375
root_lateral_root_cap,12-30h,0.0
root_meristem,12-30h,0.6071104904317423
root_pericycle,12-30h,0.8565609256118563
root_phloem,12-30h,0.548739194620798
root_stele,12-30h,0.46294213694605374
root_xylem,12-30h,0.6435728656887215
shoot_apical_meristem,12-30h,0.5968744185168174
