SampleID,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
Atha_Ler-0_sl_FLT_uG_Rep1,-0.2985183,0.49758443,-0.99532104,-0.58328426,-0.4715448,-0.3742435,1.0445843,-1.7836761,0.5993452,1.1073543,1.3704953,-2.8366601,0.59197557,0.14069545,0.79670197,1.156366
Atha_Ler-0_sl_FLT_uG_Rep2,-1.139061,-0.27974895,1.2432171,-0.11128253,-0.18559575,0.46498433,0.056960374,0.24005786,0.3597589,0.8828653,1.521902,-1.4147469,0.64743966,-1.5114558,-2.9367895,1.0211564
Atha_Ler-0_sl_FLT_uG_Rep3,0.79399276,0.32965797,-1.1523772,-0.25530964,0.4128248,0.08709182,1.6069617,-1.126702,-0.650087,-0.47627634,0.7381177,1.4063028,1.5360167,0.92865235,0.30979437,1.3410041
Atha_Ler-0_sl_FLT_uG_Rep4,0.41352797,0.370771,-1.0027928,0.064672396,-0.19706354,0.41173863,-0.7274034,-0.03175632,-0.17764008,-0.25902832,-0.5877062,0.22837028,1.769833,-1.0647684,1.1994994,0.8914443
Atha_Ler-0_sl_FLT_0.09G_Rep1,0.196576,-0.0043899976,0.9695054,-1.3141487,0.19789292,0.07477778,1.2002157,0.9470447,0.23647507,1.9103922,0.8595245,0.450127,0.7771041,-1.6295656,-1.4804804,0.35554212
Atha_Ler-0_sl_FLT_0.09G_Rep2,-0.4747819,0.1971581,-0.26770803,-0.6584643,-0.43528742,0.20047417,1.3197896,-0.38985103,-3.057148,-0.6702843,0.76845646,-0.3804987,-0.956741,-0.6019317,-1.4536476,0.1357846
Atha_Ler-0_sl_FLT_0.09G_Rep3,-0.67825896,0.65664506,0.49150953,-0.92785376,-0.028362673,0.36861128,2.2894802,-1.0973856,0.7019804,0.073347926,0.047874242,0.26413652,-0.050919652,-0.19932956,0.997455,-0.15934741
Atha_Ler-0_sl_FLT_0.18G_Rep1,0.0109834075,-0.3359823,0.05979137,-1.2245626,-1.494541,-0.8457297,0.5961425,1.724614,1.0030158,-1.1133132,0.019359522,-0.2382179,-0.1211851,1.004579,-0.49301147,0.43454006
Atha_Ler-0_sl_FLT_0.18G_Rep2,0.8848453,-0.3566316,-0.04062715,0.8055927,-0.033425726,0.6979119,0.27120802,-0.042360805,-0.6906587,-0.34198272,0.58030987,-2.0369265,1.2843705,-0.71505815,-0.7479621,1.3389525
Atha_Ler-0_sl_FLT_0.18G_Rep3,0.11618137,-1.406301,-0.5090527,-0.27941686,-0.17500414,-0.420517,-0.6711902,-1.3044163,1.7034405,-1.1148288,0.6255506,0.009490997,0.25659454,-1.4855171,1.5542834,0.4315954
Atha_Ler-0_sl_FLT_0.36G_Rep1,-0.081190854,-1.4442723,-0.2596435,-0.58707374,-0.79887545,0.5203381,0.9684448,0.6620616,-0.41880506,0.13429403,0.81584394,0.59485793,0.84205765,0.57170504,-1.5452105,1.9663718
Atha_Ler-0_sl_FLT_0.36G_Rep2,1.8403299,0.4073621,0.08428571,2.2781494,-0.7639034,0.78944695,0.22320187,0.10079687,-0.11063571,0.91070616,2.294048,0.40316498,1.4714022,0.14426321,-0.70086867,-0.7101085
Atha_Ler-0_sl_FLT_0.36G_Rep3,-0.7040081,0.003430836,-1.1399107,-1.8989671,0.97823286,0.5129252,-0.48758253,-0.4817646,-0.063896075,0.8263605,0.1819403,-0.90982693,-1.2525003,-0.25755945,0.3039804,0.88376415
Atha_Ler-0_sl_FLT_0.57G_Rep1,-0.028781861,1.1764383,0.033085346,0.32735276,-0.35290378,-0.80587536,1.638448,-1.1184274,0.30733234,0.21452832,-0.26650876,-0.61615175,0.19495796,1.1246367,-0.34126148,0.98793757
Atha_Ler-0_sl_FLT_0.57G_Rep2,0.14520016,0.2841032,0.03569731,-2.239469,1.0694306,-0.4347569,-0.12869228,2.9871497,-1.0090396,0.72878665,-0.16811152,-2.8331635,-2.0074883,-0.44500992,0.51670706,1.5764223
Atha_Ler-0_sl_FLT_0.57G_Rep3,0.68370926,1.6152064,0.34009868,-0.7949698,0.07624781,0.16435191,-0.46722966,-0.7519124,0.17294441,-0.78225327,0.6565932,-0.5074817,-0.7019609,-0.5581634,-0.10161017,-1.0091923
Atha_Ler-0_sl_FLT_0.57G_Rep4,-2.0050638,-0.16782859,0.06307846,-0.0687007,-0.9922106,-0.6360997,1.4571333,-0.6327979,0.01353012,0.3166687,0.070198685,0.2423291,-0.45352072,0.4295726,0.2607654,0.6740956
Atha_Ler-0_sl_FLT_1G_Rep1,0.13194798,-0.115473844,0.035265163,1.3240885,-0.19915819,2.235115,-0.9896242,-0.33354658,0.5443406,-0.52198374,0.666917,-0.796107,-0.14497954,-0.08276759,0.3228962,-0.4140418
Atha_Ler-0_sl_FLT_1G_Rep2,0.8043102,0.09053527,-0.32998803,1.0601346,1.6938556,0.11735907,-0.08558877,-0.027430348,-0.11500445,0.14564633,-0.8752501,1.9038563,-2.349835,0.8243697,0.95900565,0.50612575
Atha_Ler-0_sl_FLT_1G_Rep3,0.4036811,-1.5978441,-0.34777826,0.87479204,-1.0959258,1.0134774,0.79885036,0.7102274,-2.017866,0.014004141,-0.50144297,0.40518734,-1.8668754,-0.898115,-0.65825844,0.56680036
05G4_WT_RED_Col0_03g_Rep1,-0.20259565,0.12108986,1.5853627,-0.33655125,0.49690217,0.02712707,-1.6468174,-0.7630277,-0.8119871,-1.4196136,-0.71546495,1.0676987,0.023166358,-0.5957448,-0.5648071,0.6880839
