SampleID,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
06H4_WT_RED_Col0_03g_Rep2,-1.7069142,-0.64660215,0.16613325,0.62753403,0.73019195,0.0062492564,1.1260035,1.482467,-0.50034714,-0.012187205,-1.9498847,1.7108587,0.50560546,-0.06941536,0.37316662,0.86192954
07A5_WT_RED_Col0_03g_Rep3,-0.38930315,1.0792964,-0.5707149,0.7969161,-1.1208818,-1.0799332,-0.19622286,0.56762475,0.15384978,0.09247264,0.8526765,0.44010475,-0.6992323,-0.8993319,0.1374304,0.6559083
13I4_WT_DARK_Col0_03g_Rep1,1.8416262,-0.9333644,-0.49651474,0.6355148,0.30873024,1.0309392,0.10660738,0.10790774,-0.041406542,-0.9958294,-0.49169466,-0.8090602,-0.059431843,-1.3707515,0.19027402,-1.1585623
14J4_WT_DARK_Col0_03g_Rep2,1.7718732,0.7047132,0.71055585,0.73087406,-0.3495462,1.9429578,0.29359496,-1.0733746,-1.1204298,1.7701296,-0.07810661,-0.13085541,0.47926924,-1.2760533,-0.38998136,-1.3045601
15A7_WT_DARK_Col0_03g_Rep3,1.5883986,0.59740144,0.27639613,-1.2705317,0.7794212,1.8087269,0.0077905655,-0.48500887,0.6122059,-0.5242911,0.6799385,1.2936947,0.4270805,-1.2945678,1.5526767,-0.22689432
21H5_WT_RED_Col0_1g_Rep1,-1.5065765,-1.0734992,0.69714695,-0.20249462,0.9266434,-0.37150002,1.3093309,0.6616758,-0.87242013,-0.2215268,-0.60368156,-0.04207839,0.27178723,-0.29742226,0.40804273,1.1651672
22A6_WT_RED_Col0_1g_Rep2,-1.2083422,-0.19690236,1.7280977,0.3235656,-0.30253035,-2.201598,1.4332845,-0.8689326,-0.46662283,-1.6115515,0.60307723,0.6317024,0.2272544,1.2579867,-1.1143165,-0.3516982
23B6_WT_RED_Col0_1g_Rep3,-1.549295,0.368789,0.08353968,-0.0044852793,0.027026534,-0.60782254,0.5140933,0.0035628676,-0.6080417,0.0028521195,0.8547051,-0.16576506,0.12243986,0.53327435,0.70040023,-0.65041995
30H7_WT_DARK_Col0_1g_Rep1,0.25079405,-0.011322346,-0.1696124,0.86882734,1.588972,-0.53129035,-0.25872272,-1.7356336,1.1049759,0.36478746,0.00019598007,-0.9321717,0.40776107,-0.24547327,-0.354982,-0.27659863
31A8_WT_DARK_Col0_1g_Rep2,1.032332,0.49625024,-0.38347685,0.7884457,2.1529841,0.48432127,-0.5434721,-1.4916397,-0.51780313,0.76593053,1.3604357,-0.50685954,-0.2529375,0.37019333,-1.1157362,1.0884916
32B8_WT_DARK_Col0_1g_Rep3,1.0448207,-1.4812068,-0.24243608,1.190274,0.44278857,1.0954924,1.4512424,-0.21254936,0.7359403,0.7228201,-1.108022,-0.37547055,-0.28871214,-0.047982484,-0.38640076,-0.3366669
JBA1_WT_DARK_Col0_0g_Rep1,0.9593147,1.1877865,1.9149013,1.6597117,0.107018724,0.04570213,-0.7226119,1.4902997,1.0158241,0.89306504,-0.61721873,-0.042318102,-0.15266058,-1.5846605,-0.2980372,-1.095381
JBA3_WT_RED_Col0_0g_Rep2,-0.78026015,-0.78327113,0.016716495,-1.1847389,-0.25285408,-0.8820817,-1.0128628,-0.91011673,-0.3247585,0.38223124,0.58561677,0.40210485,-1.0423121,1.3728025,2.2885242,0.38801074
JBB1_WT_DARK_Col0_0g_Rep2,0.6595789,-0.34864274,-0.8209484,-0.19456026,0.4854536,-0.25361124,-0.3346662,0.82185733,1.2733148,0.037343733,0.99171567,1.0418324,-0.5268912,1.400422,-1.3006681,0.18196946
JBB3_WT_RED_Col0_0g_Rep3,-1.7015839,-0.05777181,0.90942395,-0.93691367,0.13287579,-0.8221473,-1.0502553,-1.5058151,1.5119437,-1.7181145,-1.551574,-0.9676491,-0.75065756,0.0035692565,-0.07641986,-0.100019366
JBH2_WT_RED_Col0_0g_Rep1,-1.0421476,0.30492458,2.2184997,-0.08027193,-0.43175498,-1.0994725,0.65611494,0.18043126,1.3341358,-0.45770338,-2.4160995,-0.5994761,-0.16312407,0.7964182,1.2752151,0.4358678
Athaliana_PhyA_Sample_112_0G,-0.8692555,1.5462998,0.3455029,-0.040276363,-0.9697089,-1.773324,2.2712574,-0.2589128,0.42026973,-0.38023275,-1.6786277,-1.3155593,-0.16113165,0.1477474,1.3421062,0.13567394
Athaliana_PhyA_Sample_115_0G,1.1956959,-0.86627597,-1.2327017,1.4067748,0.24197623,-0.8477428,-1.6381162,-0.9707607,0.5309667,1.0925276,0.0704703,-1.0178049,-0.50337243,1.0939023,2.4802094,0.40629745
Athaliana_PhyA_Sample_117_0G,-0.95553076,0.370874,-1.2365651,-0.73237383,1.7830179,1.4023435,1.0841049,0.8139322,0.38186526,-0.5363451,-0.35018757,1.6126217,0.22998658,0.08280519,-2.2149496,0.8389219
Athaliana_PhyA_Sample_119_0G,-0.15325296,-0.34687516,-0.2094962,0.6244438,0.66748637,-0.026413038,0.5039212,-1.7235472,-0.122538134,-0.6030547,1.4034129,0.119165406,0.34838423,-0.99058807,-0.6316489,-0.18520409
Athaliana_PhyA_Sample_132_0-08G,-0.08860189,0.62351274,-1.1899514,-0.13792978,0.37451404,-1.5311794,0.30529422,0.38127932,-0.05188931,0.73673,-1.8560128,2.0664144,1.5296754,0.42621222,-0.9745084,1.441181
Athaliana_PhyA_Sample_134_0-11G,-0.07890597,-0.25164202,0.62151796,-1.5094682,0.29092324,-0.49475002,-0.7257031,1.4206325,-0.6484261,0.5076575,-1.2451329,0.20038383,1.6559852,0.3897978,0.87012595,1.6335638
Athaliana_PhyA_Sample_137_0-08G,0.7902197,-0.22915973,0.3716728,0.38371965,0.24682212,0.8108857,0.65953785,0.82421345,1.3854073,1.3791356,1.135941,-0.3421228,1.0347962,-0.16232167,0.20722696,0.29988492
Athaliana_PhyA_Sample_140_0-13G,0.6566578,-0.6880759,1.1772693,-1.1889817,-0.4004085,0.9778175,-2.038609,-0.8916489,0.8757584,-0.53202105,0.42070812,1.6621886,0.218369,-0.91985416,1.0686488,-0.7413459
Athaliana_PhyA_Sample_152_0-25G,0.89728624,-0.7281004,0.15297092,1.2573984,1.4753692,1.1279835,2.351388,0.39114827,-0.90942043,-0.20172207,-0.294757,1.2323312,1.0940424,-0.42609322,-0.16122809,-1.572182
Athaliana_PhyA_Sample_155_0-39G,-1.5203301,0.38980985,0.69940335,-0.5612522,0.525331,0.14130782,-1.5314903,0.25841805,-0.7905934,-0.9429543,-1.9356588,0.48429385,-2.0684514,0.61721456,1.1690955,-0.12404242
Athaliana_PhyA_Sample_157_0-25G,-2.3010335,0.4724217,0.19035134,1.7102038,-0.10640931,1.1225276,0.2804271,1.1312429,0.6443609,-1.026021,-1.9661906,0.15513943,-0.2829979,-0.15184875,0.84645253,1.1237814
Athaliana_PhyA_Sample_159_0-34G,0.9317989,-0.36194792,0.18749045,-0.38620245,-0.2491442,0.3644396,1.1293905,-1.0939189,-0.79515594,1.0709839,1.2546297,0.9527654,0.2435106,-0.69709325,-0.7685649,-1.7311031
Athaliana_PhyA_Sample_172_0-64G,1.2908944,-0.316874,-0.21110503,-2.8797085,0.35256714,0.22582437,-0.40634608,-0.43810084,0.5617157,0.3640972,0.27329642,0.0124910325,0.28631392,-1.5528797,0.44985598,-0.84269106
Athaliana_PhyA_Sample_174_0-88G,0.1273529,-0.5362473,0.0007543862,0.084713146,0.9727514,-1.4205538,1.3801334,0.39686456,0.4966625,-0.5809058,-0.69766545,0.67684454,0.69923633,0.65413666,-1.760006,0.5850277
Athaliana_PhyA_Sample_177_0-64G,0.7242259,2.1069489,-0.28173196,0.1924623,1.1562024,-1.4439983,-0.17370836,-0.32689178,1.3436351,0.6595436,0.37429696,-0.1199117,0.2715428,-0.7655072,-1.5755415,0.22361377
Athaliana_PhyA_Sample_180_1G,1.8374354,0.051686622,-1.3203173,0.9683353,1.3004725,-0.58740735,-2.1723661,1.2168094,1.2672962,-0.046450086,0.98766863,-0.41367263,-0.044077594,-0.8038285,0.40366092,-0.4630541
Athaliana_PhyA_Sample_212_0-42G,0.8910434,1.0437164,0.49771845,-0.5098294,-0.2469109,-0.8688692,-1.1479218,-1.6055546,-0.6612449,-0.5485027,-0.6175043,0.44268495,-0.3256347,0.27417037,-1.0826604,-0.03835839
Athaliana_PhyA_Sample_215_0-65G,-0.64020264,-0.005666923,-0.63904953,0.007356167,-0.23186742,-0.5874473,-0.85074246,1.1344855,-0.7043819,1.1897109,0.17984723,2.1875901,-1.255074,1.2115183,1.4556621,0.47017246
Athaliana_PhyA_Sample_217_0-42G,0.30003574,0.60421515,-0.47604376,-0.54135716,0.18789765,0.94055295,-0.50347775,-0.38276866,1.3910044,-1.0791745,1.3305252,-0.88777745,-0.6132783,0.496241,0.46508735,-0.44040337
Athaliana_PhyA_Sample_219_0-58G,-0.92057455,1.0559403,0.048661463,0.9819046,0.615714,-2.2641785,-0.88259923,0.46381095,-0.07161377,-0.52680343,-0.28885895,-2.170625,0.2669189,-0.9522433,-1.8950025,0.4133982
Athaliana_PhyA_Sample_232_0-68G,-1.4376556,-0.5485076,-0.16032805,0.27910694,-0.23687159,0.4285988,-0.62467325,-0.8829205,-0.47442287,-1.0279857,0.6318122,-0.024243675,-0.35876828,-0.41988277,0.37087142,-0.30298647
Athaliana_PhyA_Sample_234_0-92G,-0.89271325,-0.8091605,0.90175486,-0.9871112,0.3922952,-0.37248647,0.9017634,-1.1832151,0.21205479,-0.3708967,-0.60083187,1.5687464,1.3021312,-0.58197105,0.34363663,-0.6396336
Athaliana_PhyA_Sample_237_0-68G,-0.4752374,1.6087362,0.14439726,-0.76755583,0.27006173,0.8819289,-0.52055675,-1.0561485,-1.5280929,0.5671284,-0.33821464,0.40953043,0.14532372,-0.79566556,-0.6823052,-0.6593431
Athaliana_PhyA_Sample_240_1-05G,-1.349356,-0.5072925,-0.5375595,-0.9429441,-0.6644448,-2.066843,-1.0871857,0.888926,1.6246896,1.6026936,0.7326065,3.5168417,-1.5627043,0.2730699,1.7336153,-0.763895
Athaliana_PhyB_Sample_113_0G,-0.75097966,-0.8690486,0.9764373,-0.40068606,0.028771102,1.0337173,0.23417962,-1.1820939,-0.4304891,0.6098547,-1.8430548,0.6094501,-1.0654252,-1.6516297,0.05976665,-0.2507122
Athaliana_PhyB_Sample_118_0G,-1.785486,-0.6932527,-0.1132495,1.3676369,0.2227714,0.2921564,-0.59243625,0.071544826,0.23983476,-0.16225535,-0.25353652,-0.9473623,0.38098702,-1.6230385,1.1512587,-1.6182559
Athaliana_PhyB_Sample_133_0-1G,0.5379786,-0.5904169,1.1383041,0.10040085,0.11244157,0.9305577,0.64247876,0.24070302,-0.4739462,-0.16985157,0.2101025,-0.6165174,0.86012346,-1.2019858,-0.60448253,0.16527905
Athaliana_PhyB_Sample_138_0-1G,-0.42322853,0.2752352,-0.67199737,0.6876087,0.7912529,0.25645822,1.4679487,-0.82145005,-1.0333651,0.3228488,-1.1679935,-1.3325927,0.7223779,-0.30981547,-1.9766226,1.9146845
Athaliana_PhyB_Sample_153_0-3G,0.58633614,-0.17929064,0.3124626,0.10292762,1.3870591,-0.7341728,0.0016374066,-0.79150385,1.0058744,-0.059381425,-0.6263424,-1.161372,0.45967403,0.10741803,-0.80518144,-0.5200175
Athaliana_PhyB_Sample_158_0-3G,-1.2170572,0.14295873,0.3086514,-0.6519851,0.4894169,0.91909677,2.1622624,1.5654465,-0.06256552,0.624136,-0.38617373,-0.7270698,-0.8626846,1.0610951,0.24739063,0.48592526
Athaliana_PhyB_Sample_173_0-76G,-1.1318088,0.23859137,-0.15858814,-0.7738339,0.27288902,1.7920121,-0.14447781,1.1877534,0.33158335,-0.14287001,2.799284,-0.19865458,-1.9168447,-0.2248435,0.35690644,0.44339055
Athaliana_PhyB_Sample_178_0-76G,-0.87556714,-0.8810652,-1.0013521,0.25335374,0.3806044,0.55567664,-0.2849456,0.020932794,-0.26313806,-0.016663581,0.09847177,0.21069449,0.16229329,0.43983936,0.22698706,-1.7063035
Athaliana_PhyB_Sample_213_0-5G,0.4293493,0.07455504,-0.44223145,-1.7989912,0.21374989,-1.3918557,-1.0898988,1.6844412,-0.4856852,-0.5074564,-0.02492392,-1.7672734,-1.7942873,0.37388,-0.21598548,0.57817024
Athaliana_PhyB_Sample_218_0-5G,-1.0469855,-0.6356396,-0.38891608,-0.90182054,1.1915478,1.067513,1.8497243,-0.503835,-0.95456237,1.8183103,-1.1359563,0.83255225,0.7522157,-0.875619,-2.156109,0.2586967
Athaliana_PhyB_Sample_233_0-8G,-0.29166174,0.17615747,-0.53066957,0.79557675,0.35197604,1.6914798,1.4313415,-1.029188,0.44883662,1.1609914,-2.0232008,0.82944196,0.8038628,-0.031566307,0.42919677,0.3883949
Athaliana_PhyB_Sample_238_0-8G,-0.6385556,0.60753834,-0.8676363,-0.60734296,0.530741,0.6420157,1.6122417,-0.87200016,0.8189282,-1.6677866,-0.93458337,-0.7532245,-1.7430346,0.65440696,-1.2880965,-0.9602796
GSM3072467,0.73977846,0.5001149,-0.16087294,-0.52933985,-0.5038954,-1.8884261,0.024398506,-0.6386043,-0.85291183,0.88338333,-1.4624935,-0.77524537,-1.185082,1.0769905,0.8784197,-0.8170908
GSM3072468,1.6166989,1.9683435,0.7322618,-0.5235329,-0.3823503,-0.38242996,0.8020851,0.053121984,-1.917919,0.4458085,-1.2689812,-1.2493142,-1.0415971,-1.0389977,0.28187287,0.6111847
GSM3072469,1.4597007,-0.5460728,-0.041505873,2.4043536,0.15539826,-0.5326115,-1.0590358,-0.09987196,-1.2316221,-0.10446316,-0.55993336,-0.9163453,-0.33702448,1.6548259,-0.42067182,-1.9740388
GSM3072470,1.3155038,0.33562982,1.0572951,0.4542067,-0.6248051,-1.6944242,0.6713169,-1.0956049,0.49531063,0.40057755,-0.60888284,-1.3425422,-0.18197131,1.6172159,-0.52241373,-0.81508195
GSM3072471,0.79816294,-0.5810459,0.2124509,0.016555907,0.61299,1.4550291,0.44278413,0.03396451,-1.0543705,-0.01774554,0.7359685,-0.37866893,-1.5317003,0.5102701,-0.39122444,0.59255636
GSM3072472,1.1890638,1.8515708,0.25820637,0.43803802,-1.2560107,-0.52967453,-0.04700473,0.6965529,0.00415805,1.7289076,0.1872572,-1.1854401,0.6275482,-1.6165648,0.0538107,0.02711989
GSM3072473,-0.2455749,0.041463733,-0.89532125,-0.78834367,-0.3467781,1.3813263,-1.3439174,0.87476933,0.13812748,-0.40493694,0.4192401,0.8996817,0.15275247,-0.09439415,0.92173946,1.410513
GSM3072474,-0.07973858,-0.7501493,-0.83137995,1.5091345,-1.1115832,1.3623115,-0.32483038,-2.2362144,-1.3620325,-0.54230446,1.0903617,-1.1226512,0.7158557,-0.53103304,-1.5963792,2.0870814
GSM3072475,1.1932172,-0.7367487,0.9325409,1.1390848,-0.20263125,-0.35076684,2.205115,-0.4240621,-2.2037754,0.8057153,-0.5274756,1.2000316,-0.5809616,-0.80769974,-0.08270642,-0.7012588
GSM3072476,1.2493284,0.5645674,-1.5546706,0.3688,0.1937702,-0.9716363,1.4610744,0.4423096,0.24381158,1.407727,0.09730974,-2.1330268,0.39761123,1.0491723,-0.51720697,0.013731629
GSM3072477,-0.25863284,1.3182064,-0.9061744,-1.9144754,-0.14308976,-0.43907732,0.73650295,-0.60058177,-0.4881634,1.7053196,-0.08256149,2.0569854,0.35526994,0.34028473,-0.518375,-2.9267554
GSM3072478,-0.31898043,-2.629621,-0.9389345,0.5253973,0.70960796,0.0130572915,2.4447567,-0.19784148,1.406119,1.4370627,1.4878132,0.138996,-0.8642262,-1.7925601,-0.15914354,2.0493836
GSM3072479,0.35964844,-1.6009327,-0.6952368,0.7597482,0.60470057,0.09428118,-2.5509152,-0.79078627,0.16584522,-0.34363592,-1.1343501,-1.5960741,-0.1839481,-0.36410654,-0.5804564,1.304019
GSM3072480,0.48154694,-0.43799537,-0.29202873,0.26969314,-0.5395845,-2.4870415,0.13438942,-0.3939913,-0.8541662,0.740244,0.9336419,1.1913474,0.46613953,-0.6107297,-0.7869489,-1.087567
GSM3072481,0.95787853,-1.1382965,-1.6682434,-0.8718542,-1.3198048,-1.314384,-0.29498202,0.5314268,0.30348945,-0.042960167,0.14899065,0.7371536,-0.005562179,-0.41567746,0.05727142,-0.3855499
GSM3072482,-1.0202451,-0.5897018,-0.6717611,-0.24274956,-1.3503329,0.50197685,-0.5914649,-0.25065094,1.4164722,0.0862678,-1.2601452,0.53242695,-0.26223218,-0.17436528,0.70980126,1.0601683
GSM3072483,1.1841972,0.70820045,2.9739113,-0.25344598,-0.08660805,-1.2405624,-0.01395309,-0.6435548,-2.0575876,1.6828607,0.11718568,1.5574218,-1.454401,0.7728757,1.4837701,-0.30537653
GSM3072484,1.1206625,-0.23950256,-0.074841276,-0.74818814,-0.55238473,2.3194911,-0.023979753,-0.6233301,-0.19871537,2.2188258,-0.025793418,0.5498267,-1.1212577,-1.735631,-1.4068667,0.12649208
GSM3072485,0.1734021,-1.0815848,0.8175651,1.2204919,-0.24586041,-0.41486782,0.7455358,-0.33891463,-1.3741199,0.9820454,-0.6712354,0.20509283,-1.2245003,2.276427,0.08130352,-1.0895405
GSM3072486,0.89208865,-1.0681053,-1.4501147,-1.5140787,-0.45461762,-0.6606537,-0.52621615,0.17586923,-0.41508114,-0.9874815,0.22887716,-0.9617653,-0.10040222,1.3659047,-1.7786396,-0.28102386
GSM3072487,0.7176624,-0.007243268,0.9466176,0.0488742,0.11288832,-0.6923933,1.6686096,-0.6560084,0.050109386,1.7924467,0.76946867,1.5623205,-1.14597,2.10854,0.004572019,0.5252397
GSM3072488,0.13150483,-1.2829903,-1.3360491,0.33567733,-0.846133,0.45242015,-0.27712464,1.6811637,-1.0261848,2.3655949,1.3672845,-0.64074683,-0.34649974,-0.43716294,-1.7759318,-0.9101264
GSM3072489,0.7181323,-0.66063464,0.6949901,3.3622212,0.0639027,-0.57647425,2.825762,0.08944036,-0.2358447,1.5492492,-0.9125568,1.6920109,-0.09356105,2.0791736,-1.5406392,-1.6421504
GSM3072490,0.18008465,0.6397431,0.9826554,0.7901411,-0.24362564,-1.5375654,-0.8061782,-1.4723779,-2.329718,-1.0527996,-0.6403562,-1.0032718,-1.060229,-0.6940783,-1.2832899,0.9116074
GSM3082835,0.46403235,-0.792335,-1.101196,-0.67959905,-0.40113196,0.8527892,-2.9355092,-0.2984516,0.25281197,-0.63574815,0.875324,0.33172297,-1.1193678,-1.9385653,-2.1059575,0.42686027
GSM3082836,0.50894207,-0.2541533,-2.1866627,0.68452626,-0.16567378,1.1583837,-1.1803955,-0.090472095,0.24161969,-0.5076276,-0.41195458,-0.9960065,0.747545,0.53522396,0.40556252,1.011162
GSM3082837,0.16608691,0.020758584,1.3069949,-0.87040955,-1.1871462,-1.4412792,-0.57933116,0.28830343,-0.06311312,-0.42952687,1.1985066,-0.6748445,-1.5394505,1.0295653,0.534667,-0.5774871
GSM3082838,-0.772518,0.29027426,1.6883559,0.43708175,-1.1686933,0.61322886,0.05391568,-0.09952265,-1.9580395,-0.9149961,-0.6197677,0.6042719,0.010393441,1.9999291,1.2471232,0.13936955
GSM3082839,0.4821382,0.30411658,0.030861497,-1.2952048,-0.4024943,1.6052663,0.94190145,2.1477764,-1.3395488,-0.5370332,-2.189349,0.75514174,-1.0491201,0.86362743,0.82900524,-0.8779402
GSM3082840,0.41697967,0.13609342,0.50216717,0.39309245,-0.9969331,-1.2680975,0.43804166,0.5703515,-1.2020442,-0.2976043,0.4439829,-0.09107438,0.21739787,1.3622264,2.3774393,-0.90238464
GSM3082841,1.5783815,-1.4252653,-0.009025753,-0.24987763,-1.1961045,-1.3113458,1.5739977,0.41819897,-0.3758109,0.8084747,-0.24662992,0.8467287,0.2278707,0.21369863,0.16646571,-0.5642923
GSM3082842,1.7753645,-0.2839598,0.32976454,-0.62865967,0.12884495,0.25907895,-0.69442636,0.10772779,0.38042492,0.7917619,-0.26104838,0.65484685,0.8005603,0.42252842,-0.17169295,-0.9528617
GSM3082843,1.8355249,-0.21034642,2.1231885,0.73121184,-1.4668512,0.74833655,-0.17381068,1.0122088,1.0138866,0.17020507,-0.46442243,-0.28895548,0.08167967,-0.4409898,0.19699359,0.05771157
GSM3082844,2.0049722,-1.9226311,0.14868659,-1.7798555,-1.9831727,-1.4790237,-0.24467196,-0.5441811,0.21752541,-1.2459068,0.6629838,0.46000904,-0.087866485,1.3615022,0.13420719,0.6082417
GSM3082845,1.1540298,0.73184216,0.9991517,0.49156794,-1.3338151,-0.8211342,-1.2365593,-0.8854503,-0.11265538,1.1200192,1.3896292,-0.7374483,1.7160037,0.24932581,-1.2646241,1.0266397
GSM3082846,0.9071049,-1.2134458,0.10385747,-0.87575734,-1.979924,-0.8911638,-1.1928006,2.1814804,-0.8786359,0.8903009,1.0293211,-0.48687494,0.67047143,-0.072499216,-0.12328708,0.563529
GSM3082847,-1.1941416,0.008423388,-0.6705507,-1.5110698,-1.3113036,0.624465,0.6128274,-0.9371985,-0.47351006,-0.84814787,-0.60553163,-0.5583759,-0.30163604,-0.606778,0.83281535,0.66820896
GSM3082848,0.6279435,0.4775891,-0.4505586,-0.9137107,-1.762507,0.38160712,-0.4331103,2.2950847,0.90056825,-1.7743661,-0.63395786,0.3718319,1.0149246,0.0703722,0.5365286,0.05710583
GSM3082849,-0.09609169,-1.3639306,-1.0342171,-0.8418459,-2.348989,-0.39059854,0.019955635,-0.0325756,-0.59181225,-0.37350965,0.66150796,0.6539967,2.7674007,0.042442292,1.6178709,-0.28163362
GSM3082850,0.0642786,-1.4768847,-1.0035396,1.1224731,-0.29085624,-0.31396127,0.99776393,-0.34274226,-0.5096336,-1.3650534,-0.15515551,1.4183794,2.1467912,0.29590985,2.088634,0.29652154
GSM3082851,-0.9591552,0.050017744,0.5348541,-0.9422058,-0.5896593,-1.900296,-0.41615406,-0.5075271,-0.04164377,-0.9447624,-0.3773445,-0.8516371,2.157709,2.0511322,0.9078792,-0.21509498
GSM3082852,-1.4392526,0.16624653,-0.85913604,-1.2348149,-1.1255577,0.2022847,-1.6179197,0.3365128,0.0062672943,-1.3770664,0.6517151,-0.5143441,1.3638141,-0.33949715,0.5763417,0.014431462
