SampleID,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,StudyID,RadiationQuality,AbsorbedDose_Gy,TimePostExposure_h,LET_keV_um
Atha_Ler-0_sl_FLT_0.57G_Rep4,-1.0391895,0.46291846,-0.34985173,-1.2639486,-1.1520423,0.07545325,0.50570875,0.29947737,-2.8548508,-0.71346444,0.49371257,1.6569238,-0.14965454,-0.10813579,-1.1230309,0.26934412,OSD-251,,,,
Atha_Ler-0_sl_FLT_1G_Rep1,0.78898126,-1.0977196,1.6501822,0.8988464,-0.48415905,1.0164906,-0.8999563,0.23794946,-0.011312575,0.6363427,0.7167764,1.0807565,0.04058239,0.2951625,0.24443549,-0.04129681,OSD-251,,,,
Atha_Ler-0_sl_FLT_1G_Rep2,0.5338024,-0.42824933,0.30575532,0.62482893,-0.16064791,0.46002582,-0.6909577,0.3433985,-1.9512074,0.15670577,0.7311357,0.7610136,-2.1091986,1.3754871,-0.6495985,0.09891561,OSD-251,,,,
Atha_Ler-0_sl_FLT_1G_Rep3,-1.3795234,1.1043262,0.55094385,0.23347968,-0.3015943,-2.142756,0.100525685,-0.046774395,0.589063,-0.6337683,1.6479756,1.3092873,-1.6513373,-0.36270797,-0.058054037,-0.8347783,OSD-251,,,,
05G4_WT_RED_Col0_03g_Rep1,-0.3550592,-0.17477249,-0.21974671,-0.029599383,1.0039579,0.9429095,0.6626675,-0.7156498,-0.017735273,-0.15896794,0.43071458,0.021418862,-0.36060482,-0.87537414,0.87353116,0.8691981,OSD-314,spaceflight-LEO,,,1.0
06H4_WT_RED_Col0_03g_Rep2,-2.2525454,-0.07025031,0.53159666,-1.3623236,0.54649913,-0.09102156,-0.39291573,0.73123527,-0.95663184,0.4246911,-0.0151228905,-0.14873996,-0.14908502,-0.3405941,-1.2913524,0.19514817,OSD-314,spaceflight-LEO,,,1.0
07A5_WT_RED_Col0_03g_Rep3,-1.5635911,0.17769615,-0.37041485,-0.55707806,-0.8261446,-2.5674405,-1.2217277,-0.63336295,-1.5277678,0.15993491,0.6827765,0.21748433,-0.37014353,0.8806294,-0.0747391,0.57355654,OSD-314,spaceflight-LEO,,,1.0
13I4_WT_DARK_Col0_03g_Rep1,1.2397901,-0.8418273,1.3819611,0.31590593,1.160454,0.08050561,-1.1636939,-0.09716096,0.13358037,-0.5027609,-0.66002667,0.73878056,-4.5515597e-05,-0.58542705,0.17912835,-1.2098547,OSD-314,spaceflight-LEO,,,1.0
14J4_WT_DARK_Col0_03g_Rep2,1.7266793,0.30662724,0.19141981,0.594643,0.60652965,0.61437434,-0.107646406,0.27194712,-1.5631151,0.5668156,0.6987697,-0.46442255,0.7082803,1.0240523,-1.043867,-0.24920648,OSD-314,spaceflight-LEO,,,1.0
15A7_WT_DARK_Col0_03g_Rep3,1.8362603,0.050788913,-0.05354026,-1.1763022,0.056590915,1.8638462,0.07108116,0.7655711,-2.528055,0.90070575,1.9081233,0.21135558,0.77884126,-0.89607906,0.7777987,1.3293259,OSD-314,spaceflight-LEO,,,1.0
21H5_WT_RED_Col0_1g_Rep1,-1.5986884,1.0591712,0.23327892,-0.3032311,0.5034622,-0.21788132,0.538854,-0.75766075,1.7260146,-0.28807196,-2.1239185,0.75760025,0.88555574,-0.049334954,0.79087,-0.94086945,OSD-314,spaceflight-LEO,,,1.0
22A6_WT_RED_Col0_1g_Rep2,-1.5691173,-1.4457371,-0.10216312,0.18611875,-0.381445,-0.9823214,0.6447568,-0.15764542,-2.048447,-0.6718321,-0.24049243,1.1349795,0.5700331,-0.25386772,0.14490144,-0.315762,OSD-314,spaceflight-LEO,,,1.0
23B6_WT_RED_Col0_1g_Rep3,-1.3174614,0.63910526,0.8562561,0.08811252,0.7038417,-0.1312986,-0.09008175,-0.10781565,0.22060987,-1.1853664,-2.1237755,-0.3903376,0.19089821,-0.43364856,1.0845709,0.45458117,OSD-314,spaceflight-LEO,,,1.0
30H7_WT_DARK_Col0_1g_Rep1,0.56567335,-0.17261633,0.5783928,1.9996228,2.326884,0.72714067,-0.4721396,0.27188873,0.96921986,0.84658605,-0.93656135,0.5487925,-0.44052178,0.845728,-0.89744323,0.2793222,OSD-314,spaceflight-LEO,,,1.0
31A8_WT_DARK_Col0_1g_Rep2,-0.10348749,-0.48248795,-0.47642,1.8033171,1.8957446,0.6714283,-0.6725839,1.2353523,0.56417066,2.574334,0.7351052,-0.10990171,-0.27114874,-1.2659953,-0.9020577,1.1571032,OSD-314,spaceflight-LEO,,,1.0
32B8_WT_DARK_Col0_1g_Rep3,0.32213628,0.43546993,-0.9437469,-1.4855266,1.5920819,1.2111988,-1.0684509,-0.5222649,-1.0094577,-0.4217698,0.59763277,0.9536336,-0.4770848,-2.0950584,-0.65151983,0.71240306,OSD-314,spaceflight-LEO,,,1.0
JBA1_WT_DARK_Col0_0g_Rep1,1.8023117,0.982151,1.7856773,0.32311752,0.69933915,0.00035744905,-0.8896339,0.65104336,1.0932683,0.37096643,-1.6455215,0.6225476,0.0040987656,0.5024121,-0.9731301,-1.3202921,OSD-314,spaceflight-LEO,,,1.0
JBA3_WT_RED_Col0_0g_Rep2,-1.9166377,-1.3805207,-0.18611291,-0.15405068,0.067776084,-0.1939104,-0.47902712,1.4534956,-0.14068988,0.27478504,-0.037780672,1.1054587,-1.1330112,-0.86287844,-0.11480999,1.7486936,OSD-314,spaceflight-LEO,,,1.0
JBB1_WT_DARK_Col0_0g_Rep2,0.8292824,-0.43853003,0.3525901,0.1423662,1.0328062,-0.11888045,-1.1662503,-0.9915593,-0.44998097,1.3166184,-0.49587497,0.29665726,-0.26258582,0.6097748,-1.348536,-2.21063,OSD-314,spaceflight-LEO,,,1.0
JBB3_WT_RED_Col0_0g_Rep3,-1.002313,0.11691999,-0.95240146,-1.7818993,-0.512677,1.6700394,1.2278055,-1.8658487,-1.1454798,-0.42630452,-0.24918985,-2.3590293,-0.21435994,-0.27536914,-1.5701905,-0.25225267,OSD-314,spaceflight-LEO,,,1.0
JBH2_WT_RED_Col0_0g_Rep1,-2.1642354,1.7605758,-2.3416617,-0.3891609,-0.81426835,0.6167902,-0.43478313,-0.81488067,-0.36393306,-1.545356,0.86523664,1.7062434,-0.023351274,-0.008512065,-0.3279668,3.1231732,OSD-314,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_112_0G,-1.0785146,-0.7770299,1.302128,-0.52840924,0.4669243,1.3047098,-0.38067693,0.7355753,0.24651986,-0.18554986,0.60723287,-0.42615917,-0.8090376,-2.1155398,-0.8573942,-1.2184627,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_115_0G,0.61443484,-0.25667775,0.02054581,0.4025214,-0.3561874,2.097373,-0.78467464,1.1180004,-0.65300155,0.17448583,0.69271827,0.24692518,-0.9558934,0.6033517,1.8152809,-1.4839027,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_117_0G,0.009588838,0.9608544,-1.4342883,0.26653117,0.9496274,-0.38547838,2.230156,0.044757307,0.04378201,0.8283602,-0.20393461,-1.732577,-0.4142634,-0.1662559,0.10056627,-0.3010173,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_119_0G,0.7853691,0.15594912,-0.05033399,1.4109513,1.2161716,0.70596594,0.51701325,-0.39408606,2.4138186,0.4662053,-0.9218156,-0.5576013,0.31270528,-0.7099416,-0.45663503,0.14174679,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_132_0-08G,-0.24497205,0.2158928,-0.4620782,-0.18360113,0.756959,0.6216154,-0.42965555,-0.9926591,-0.13282445,-0.609557,-1.4499581,-1.0186071,1.226237,0.74316585,-0.22672848,-1.7006543,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_134_0-11G,-1.2090933,2.0907676,2.217707,-0.42046535,-0.3594872,-0.3828147,-0.756314,-0.12835653,1.8183969,-0.6213159,0.4100443,-0.30856597,1.2238125,0.15390676,0.35301453,-1.3975253,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_137_0-08G,0.3138787,1.0421817,-0.4039834,-0.5961781,1.3251033,1.3839118,1.050921,-1.1572397,0.12414692,0.09921104,1.1187284,1.7009609,1.0009763,0.26901245,-0.29884076,-0.4573522,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_140_0-13G,0.5210129,-1.1065216,-0.19102694,-0.036123104,-0.11754006,0.96293795,-2.0372002,1.7967724,1.581647,0.5568182,-0.28631338,1.4174535,0.63507384,0.1826697,-0.8585892,1.3551369,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_152_0-25G,-0.85957575,-0.4136374,0.10400958,-0.57816464,-0.6527999,1.7131752,0.6088134,-1.0337967,0.22695729,-0.8323376,-0.63947225,-1.0357593,1.0455631,-1.7078834,0.31004542,0.6129906,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_155_0-39G,-2.6246963,2.770432,0.33043683,-0.8456962,-0.05116996,-0.7507306,0.857535,0.83982056,0.5031023,-0.66781884,-1.5249969,1.7562892,-1.7801172,-0.1348634,0.8879974,1.762014,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_157_0-25G,-1.2219553,-0.037303388,1.6008091,1.3904829,-0.45284265,1.448275,1.5309396,-0.5788444,-0.40311927,-0.45417774,0.7485504,-0.1735221,-0.25589666,0.63623595,-0.611846,-0.30013674,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_159_0-34G,1.2093297,-0.4469117,0.1610917,1.4161209,1.3962672,-1.4011259,0.030228768,-1.995796,-0.1442553,-0.13481475,-1.5160878,1.6030351,-0.0055571645,-0.22384256,-0.45006073,0.6333442,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_172_0-64G,0.04362607,-0.10612994,-0.25808486,1.388823,-0.1833111,0.6231834,0.57122374,1.7744331,1.385643,-0.0145070255,1.5406641,1.499727,0.36488485,0.5533341,-1.1192856,0.9530587,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_174_0-88G,-0.7204242,1.1539209,-0.39453745,1.0711583,-0.18311691,0.44426206,1.0481074,-1.400339,0.341763,-0.29139796,1.1411865,-0.72183883,0.5998178,-0.49567813,-0.384476,0.06569504,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_177_0-64G,0.7294037,0.11423198,0.35392362,1.238318,0.4903599,0.78043926,-0.090905085,-0.7254064,-1.1500611,1.5202909,-0.9825535,0.125472,0.011544913,-0.80161345,-0.32497782,0.66225696,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_180_1G,0.5591326,0.6192577,-0.40673685,0.20835605,0.55104667,0.8969704,-2.0688457,0.34415632,-1.770408,-0.6752843,-0.5180426,-1.4903967,0.0880738,0.060453445,0.6755468,-0.9946141,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_212_0-42G,0.87854725,1.1050137,-0.96105146,-0.5937373,0.4633455,0.019346386,-0.40851086,0.591321,-0.10473403,-0.91501695,2.7218971,-2.1652517,-0.85960615,-1.7854967,-0.99559355,0.8592728,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_215_0-65G,-0.48687088,0.16292366,-0.593074,-1.1260008,0.118603826,-0.6934385,-0.9763285,-1.0477927,0.5906824,1.7142324,-0.71736336,-0.48956424,-2.084848,0.28599063,1.2057192,-0.6790348,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_217_0-42G,0.85503834,-0.11373021,0.5288333,-0.25490078,0.8082488,-1.0173049,-2.7327237,0.6024771,1.0363667,0.2303425,0.03579405,-0.66776526,-1.2107208,1.7457696,1.6210837,-0.21036309,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_219_0-58G,-0.82955325,0.033757955,0.5156748,0.55037653,0.5912571,1.0160481,0.93714106,-0.52107996,0.15985815,0.73590165,0.8671096,-0.44439948,0.2754025,-0.047684774,-0.36225897,3.294478,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_232_0-68G,-1.9829781,0.81704533,-0.6445862,-0.3379385,-1.4378341,0.9961686,1.4130816,-0.8917177,0.11276136,-1.9185537,-0.77440584,-0.34563527,0.27104348,1.5293977,0.33450314,1.6803285,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_234_0-92G,-1.853134,0.3696509,0.5682545,1.3056895,0.17216513,0.055742323,0.87507755,-0.8504966,0.2764281,0.96413517,-1.0986804,-1.8268797,1.0644039,1.0771312,-2.6094618,-1.9150416,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_237_0-68G,-1.4854853,-0.62728614,-0.10279307,0.060335018,0.75269574,0.14065823,0.46423042,1.0311179,0.15683301,-0.3299754,-1.0008163,0.105792955,0.79622203,-1.3310753,-0.51192725,-0.6194751,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyA_Sample_240_1-05G,-1.5291977,1.3909907,-0.57442945,0.20544946,-0.14801185,-1.514424,-0.4701538,0.80305755,-2.3007216,-0.42256916,-0.33856896,1.9452578,-1.4021177,0.3369441,0.07153413,-1.6338227,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_113_0G,0.10255849,0.15665975,0.10062465,0.3897474,-0.27843654,-1.4071435,0.6710895,0.053827465,-0.8493955,-0.8925438,-1.1589456,-1.2917851,-1.0881209,0.20704293,-0.486473,-0.011702061,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_118_0G,-0.02065438,-0.51724935,0.77779055,0.066325024,-0.1824019,-0.06239932,0.16412309,-0.6945362,0.7590932,0.5410967,-0.9686023,0.5608796,0.12601846,-1.368949,0.11171645,-0.5688503,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_133_0-1G,-1.2775447,0.55308044,-1.0070654,-0.41090593,0.6110138,1.0032563,0.2820048,-0.8490647,-2.2168589,0.04686835,0.4689986,0.16034482,0.5902989,-0.62767744,0.021460682,0.11286327,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_138_0-1G,-0.27863082,0.4777139,-2.21549,0.2793615,0.4321578,0.027933143,-0.15911905,-0.27360517,-0.110839695,2.9240844,0.5953249,1.925343,0.71107405,0.73740757,-0.1348939,1.4473243,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_153_0-3G,1.2838241,0.43603092,-0.56700456,0.8758623,1.4005257,-1.1221886,0.49203345,0.37692213,-0.24823157,1.6480184,1.3242707,1.9912356,0.37992162,0.6938344,-0.24567303,-0.45342404,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_158_0-3G,-0.7077733,-0.1136816,-0.18474603,-0.18181728,0.11309999,-0.42946476,-0.05822271,1.6248571,0.6016489,0.12582494,-0.047950536,0.30918422,-0.57184255,-0.27670705,-0.18638709,1.284049,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_173_0-76G,-0.13190821,-1.1008909,1.0365256,1.0257897,1.3168705,-0.1388045,-1.4548104,-0.5674237,0.62500465,-2.6711013,-0.9571255,0.9509254,-1.5566728,0.36633015,1.5699016,-0.07717507,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_178_0-76G,0.28436357,0.029567925,-0.8782728,-0.29913628,1.1580727,0.20886752,1.0754421,-0.55541927,1.2467726,-0.33316797,-0.8407496,0.33445004,0.04122989,-2.151944,0.1538356,0.940009,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_213_0-5G,-0.011794763,0.09907685,-0.12542413,0.9699686,-0.2720372,1.4955323,-1.5194168,0.37548167,0.49623433,-0.4626376,0.3156187,-0.7351797,-1.6274985,-1.0062716,0.5325837,-0.7099497,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_218_0-5G,-0.5012259,0.046215873,0.110359356,-0.15911362,1.7576045,-0.9288847,0.69591063,-0.51373696,0.3376344,0.21161188,-1.2509716,0.63453096,0.5335932,-0.20357502,-0.120245844,1.3758414,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_233_0-8G,0.057541415,-1.040018,0.3038015,-0.5926242,0.35897082,0.21716353,-1.4000618,0.83594686,2.201903,-0.1670095,-0.07770111,1.1036247,0.8903568,-0.12237236,-1.9155325,0.6663186,OSD-346,spaceflight-LEO,,,1.0
Athaliana_PhyB_Sample_238_0-8G,-0.519519,1.1594304,0.35349622,-1.6142846,1.1737187,-0.3747381,1.4062428,-0.2005361,0.46287936,-0.081685215,-0.11086847,0.057007916,-1.4420934,-0.12528871,1.3093672,0.04255584,OSD-346,spaceflight-LEO,,,1.0
GSM3072467,1.0658051,-0.03878107,1.3788781,1.0291879,-0.122978285,-0.39442703,0.600058,0.65992016,-0.9553711,0.88045216,-0.7036623,-0.71321106,-1.492908,1.2700903,-0.41591877,-1.2265662,OSD-498,gamma,100.0,0.1666666666666666,0.2
GSM3072468,-0.4328233,0.7271077,1.5021756,0.6097062,0.30972555,-1.2634485,-0.5513063,0.030670822,-0.30875695,-0.23822623,-0.821453,-1.2364588,0.15168178,-0.020232975,0.39694613,0.5267839,OSD-498,gamma,100.0,0.1666666666666666,0.2
GSM3072469,1.1205285,-2.169178,0.44196275,0.3409161,-0.26488024,-0.8191035,0.546866,-0.53720665,-0.5835352,0.31782365,0.13543233,0.084711134,-0.043690108,1.0575708,-0.40557545,-0.3453033,OSD-498,gamma,100.0,0.3333333333333333,0.2
GSM3072470,0.1902675,-1.384126,-0.22976851,2.527934,-0.060994312,1.7677794,1.5932281,0.049688302,-0.07190357,1.8064139,-0.44641098,1.4259408,-0.62452686,1.5026324,-0.10645343,-0.5592863,OSD-498,gamma,100.0,0.3333333333333333,0.2
GSM3072471,1.5177335,-1.7966074,0.76755095,-0.22795865,-0.9529087,-0.8578844,1.2088884,0.28242433,-1.1680304,0.14349599,0.21773414,-0.7338611,-1.0003204,0.23004109,-1.1855056,0.24660866,OSD-498,gamma,100.0,1.5,0.2
GSM3072472,1.3609123,1.2594808,-0.11059824,1.2423007,-1.5268886,-0.2861438,-2.45405,0.12797846,2.087008,0.08497285,0.3643049,0.89111733,0.24856609,0.64917517,-1.0546048,-0.61113334,OSD-498,gamma,100.0,1.5,0.2
GSM3072473,-1.2092903,-0.95144016,-1.9695227,0.743149,-1.7181013,0.1595973,1.797561,0.4342801,-0.7175704,-0.65802425,-0.937194,0.09450832,-0.041192856,-0.8450896,-0.21194036,0.9616186,OSD-498,gamma,100.0,24.0,0.2
GSM3072474,-1.2808074,0.17180331,-2.1718504,1.0001378,-1.4236193,0.123071276,1.1992922,0.84954596,0.7207539,-0.3421147,1.1831698,0.99167126,0.5193226,-1.0316511,0.70990634,-1.2588792,OSD-498,gamma,100.0,24.0,0.2
GSM3072475,0.421672,0.9550777,0.22145538,0.9917905,-1.0546184,-1.1282499,1.1673744,0.49510106,-0.19544473,1.0437478,0.21607426,-1.1289532,-1.0320089,1.3530244,-0.14604017,-0.7425089,OSD-498,gamma,100.0,0.1666666666666666,0.2
GSM3072476,1.5307062,0.38578406,1.4948738,1.0563809,-0.17398173,-0.8968736,2.296439,-0.38228244,-0.31997964,1.5912409,-0.37459016,0.5502551,-0.3600449,1.7005576,0.83277714,-1.7054837,OSD-498,gamma,100.0,0.1666666666666666,0.2
GSM3072477,0.5844899,1.4719901,-1.6917269,1.2644281,0.34203333,1.1703228,1.8235723,-1.9189056,-0.81706476,-0.18526256,-1.1197071,0.018803611,-0.20845681,0.81502545,-1.2989616,-0.33227926,OSD-498,gamma,100.0,0.3333333333333333,0.2
GSM3072478,-1.6145966,-0.9256799,2.3014245,-0.4255886,0.19820869,-0.23889567,0.67556286,-0.009315908,-1.320414,1.6447086,0.9926021,-2.1327167,-0.8297379,0.46309096,-0.462529,-0.53124744,OSD-498,gamma,100.0,0.3333333333333333,0.2
GSM3072479,-1.1395788,0.290411,-1.2196189,1.2572219,-1.2188146,0.49792486,-0.19038475,-1.0803064,-1.0545999,-0.5435471,-1.011756,-0.8813695,-0.3754353,-0.91926485,0.6144182,-1.6750221,OSD-498,gamma,100.0,1.5,0.2
GSM3072480,0.7536986,-0.6526595,-0.81675637,0.76571774,-1.38386,-0.35273632,-0.36063558,0.32385314,0.43645394,1.9868712,-0.8036293,-0.18536189,0.5362277,0.24651292,-0.8375778,0.9893095,OSD-498,gamma,100.0,1.5,0.2
GSM3072481,-1.3645941,-0.63513875,-1.9491222,-2.7166877,-0.44045293,1.1015011,-1.1796188,-1.2267385,-1.1281987,-1.2383832,-0.20597997,-0.61867094,-0.23288873,-0.62250805,0.048366785,-0.8743261,OSD-498,gamma,100.0,24.0,0.2
GSM3072482,-0.28011626,-1.7124802,-1.8741617,-0.15267405,-2.1585822,-0.6250441,-0.22130096,0.2941164,0.95715404,-2.2010293,-0.20398962,-0.20133962,-0.29328203,0.30266094,0.34183115,0.88350654,OSD-498,gamma,100.0,24.0,0.2
GSM3072483,0.7232687,0.15903014,0.23704857,0.40746802,0.43978786,-0.27499706,0.71974576,0.21362193,0.21700549,0.9858372,-2.3964465,-0.21649723,-0.53452796,1.8908455,1.1587669,-1.0519816,OSD-502,gamma,100.0,0.0,0.2
GSM3072484,1.3449976,-1.391496,0.10038258,-1.2285209,-0.1513776,-0.2801497,-1.3465176,-0.10121751,0.61549705,0.3585587,0.49075907,-1.0738343,-1.0931818,-0.405888,1.7618793,0.390976,OSD-502,gamma,100.0,,0.2
GSM3072485,1.0145657,0.70405805,1.2412121,-0.019799113,-0.76156336,-2.1651974,1.386714,1.27859,-0.8160802,-0.81517994,-0.6292531,-1.4264483,-0.55485624,2.1388865,2.5324903,0.6820899,OSD-502,gamma,100.0,0.0,0.2
GSM3072486,1.4341214,0.0023736954,0.59935784,1.6564269,0.45574155,0.3892377,-0.96595544,-0.8184645,0.23799448,0.8243128,-0.9464951,-0.8747597,-0.31182203,-0.13497388,-0.1959328,0.5031947,OSD-502,gamma,100.0,,0.2
GSM3072487,1.5745407,1.003373,1.7959652,2.1428232,0.1084346,0.30312198,0.86742824,1.2304083,0.6812539,1.5463611,-1.5448873,0.79009706,-0.28743678,1.9721223,-0.3408054,-1.3971653,OSD-502,gamma,100.0,0.0,0.2
GSM3072488,0.50705266,0.15547818,1.0068092,-1.2803293,-0.14017543,-2.153225,-1.2980589,-1.88588,-0.06546225,-0.10679898,2.0135386,-0.52581173,-0.5632991,-0.32078925,0.3893183,-0.8938891,OSD-502,gamma,100.0,,0.2
GSM3072489,0.25804198,-1.4646921,0.8357313,0.94157517,0.6946571,-1.4219675,2.4687202,-1.5439745,-1.0177304,2.575972,0.8792141,-0.63837034,-1.0538359,1.3100693,-0.8478339,-2.9330204,OSD-502,gamma,100.0,0.0,0.2
GSM3072490,0.8749293,-0.7662761,-2.0370889,-2.9659162,0.4571628,-0.14084953,-0.6553875,0.11704978,-0.7555975,0.7097751,-0.9800648,0.28190285,-0.45573443,0.4736283,-0.42642123,-0.045470208,OSD-502,gamma,100.0,,0.2
