SampleID,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,StudyID,RadiationQuality,AbsorbedDose_Gy,TimePostExposure_h,LET_keV_um
Atha_Ler-0_sl_FLT_uG_Rep1,-0.085874036,0.56442255,-0.75786597,1.701623,0.7176433,-0.38148683,0.64605,0.559312,-0.5260915,0.9308888,-1.0836025,0.7016635,0.8221804,0.50245714,0.5475516,-0.70033365,OSD-251,,,,
Atha_Ler-0_sl_FLT_uG_Rep2,0.84776354,2.2762423,-1.1382463,0.112863764,1.2557573,0.6388507,0.027272046,-0.101986945,-0.56634843,0.8463298,-0.58660656,-0.39337713,1.0167385,-0.04943344,-1.4757857,-1.7447271,OSD-251,,,,
Atha_Ler-0_sl_FLT_uG_Rep3,1.1644719,-0.9697302,0.90312415,0.62225914,0.6943331,0.34224755,-0.13730323,-0.96460164,0.81513906,0.37447584,-0.5878948,-0.28849345,1.2208016,1.592433,-0.17323248,0.10623428,OSD-251,,,,
Atha_Ler-0_sl_FLT_uG_Rep4,0.5015876,1.318394,0.46562994,-0.08980948,-0.5236856,0.22157611,-0.9197546,1.1691744,0.2451142,0.37879038,-1.0560529,0.5494034,1.9484197,-0.6972775,-1.938455,0.44031036,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.09G_Rep1,0.13642818,-0.016012631,-0.21913508,0.7874184,0.06785616,-2.349349,-0.36115468,-1.0096116,1.1839871,0.06528038,-0.50535697,-0.31053612,0.1904523,-1.8166776,-1.3015208,-0.21227166,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.09G_Rep2,0.65515196,-0.11523733,-0.41349232,1.1736703,-0.93542147,-0.088289574,1.0171266,0.20346053,-0.46103257,-1.2031226,-0.43944848,0.7454659,-0.9064677,-0.76646996,0.44274014,0.5592158,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.09G_Rep3,-0.5030285,-0.42271066,0.34188667,-0.25982916,-0.83547914,-1.093763,-0.0073094666,-1.3200332,-1.7426375,-1.1870775,0.33059475,-0.2619554,-0.49670145,-0.056621224,-0.3780849,2.1574707,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.18G_Rep1,0.1764929,2.0251293,-0.41937986,1.2118431,-0.6824986,1.5330226,0.8151023,0.8308507,-1.1068128,0.4908983,-0.3322896,0.5523524,0.14254355,-0.9396992,0.9136841,-0.20062429,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.18G_Rep2,1.4824302,1.4364749,-0.38237086,1.0544564,-0.95648897,-0.5728847,0.92584586,-1.2854629,-2.1407297,0.35494262,-1.3861823,-0.82097036,1.0033153,1.1355442,-0.42027086,-0.9926641,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.18G_Rep3,0.8125663,-1.0815392,-1.7077813,-1.0146627,-0.32747388,-0.54094976,-0.0027677277,0.013904914,0.642545,-0.083394036,-0.20597526,-0.36221567,-0.10095303,-1.7859421,-1.729188,1.1984693,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.36G_Rep1,-0.28219327,-0.7586173,1.1258533,0.19434845,-0.3028943,0.5522743,0.66245055,-0.6121615,1.7294313,-1.8691549,-0.49778125,-1.6515695,0.78642374,1.1934563,-0.6423515,2.5281463,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.36G_Rep2,1.4100698,-1.3295597,0.19575351,0.5296177,-0.42149925,-0.26378465,0.17832196,-0.6385615,0.916176,-1.7601588,0.37936074,1.1694598,0.7410822,0.50637656,0.3085128,-1.7185092,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.36G_Rep3,-1.0349698,-0.40084746,1.2623858,-0.0021693558,-0.14341027,-0.4815489,1.3809246,0.54817474,-0.6415676,0.37703216,-0.19608423,0.6923334,-1.2417605,-1.5587434,0.23699908,-0.3818851,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.57G_Rep1,-0.3839498,0.044973385,-1.5673305,0.5198399,0.012492672,-0.13007225,0.7651685,-0.11048545,-1.1924328,0.7300911,0.6460676,0.70518935,0.08605961,-0.6583035,-0.9627962,0.9932565,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.57G_Rep2,-0.31758368,0.28018385,0.06727496,0.16503572,0.09520349,0.04443205,-1.3470623,0.25326234,1.5745392,-1.5959289,-2.614803,0.66663146,-1.861274,1.5103265,-0.20709762,-0.41110608,OSD-251,,,,
Atha_Ler-0_sl_FLT_0.57G_Rep3,0.20416373,-0.097587064,-0.35347372,1.018017,0.90757716,-0.10434836,-0.60323954,-0.16707423,-0.75084376,-0.63837177,0.0370695,0.43732753,-0.7131915,-0.6228725,1.4542806,0.5783251,OSD-251,,,,
