"gene_id","genotypeMYB3R135-genotypeWILDTYPE","genotypeSOG11-genotypeWILDTYPE","Time_After_Treatment_min10-Time_After_Treatment_min0","Time_After_Treatment_min1440-Time_After_Treatment_min0","Time_After_Treatment_min180-Time_After_Treatment_min0","Time_After_Treatment_min360-Time_After_Treatment_min0","Time_After_Treatment_min4320-Time_After_Treatment_min0","Time_After_Treatment_min45-Time_After_Treatment_min0","Time_After_Treatment_min720-Time_After_Treatment_min0","Time_After_Treatment_min90-Time_After_Treatment_min0","Radiation_Dose_cGy10-Radiation_Dose_cGy0","Radiation_Dose_cGy100-Radiation_Dose_cGy0","Radiation_Dose_cGy10000-Radiation_Dose_cGy0","Radiation_Dose_cGy40-Radiation_Dose_cGy0","Radiation_Dose_cGy80-Radiation_Dose_cGy0"
"AT1G02940","None","Down","None","None","None","None","Up","None","Up","None","None","None","None","None","None"
"AT1G02970","None","None","Down","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G03010","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G03090","None","None","None","Down","None","Down","None","Up","Down","None","None","None","None","None","None"
"AT1G03106","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G03120","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G03170","None","Down","None","None","Down","None","None","None","None","None","None","None","None","None","None"
"AT1G03220","None","None","None","None","None","Down","None","None","Down","None","None","None","None","None","None"
"AT1G03240","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G03300","None","None","None","None","None","None","None","None","None","None","None","None","Down","None","None"
"AT1G03310","None","None","None","None","None","None","None","Down","Up","None","None","None","None","None","None"
"AT1G03445","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G03610","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G03660","None","None","None","None","None","Down","None","None","None","None","None","None","Up","None","None"
"AT1G03780","None","None","None","None","Down","Down","None","None","None","None","None","None","Down","None","None"
"AT1G03790","None","None","None","None","None","None","None","None","None","None","None","Up","None","None","None"
"AT1G03820","None","None","None","None","None","None","None","Down","Up","None","None","None","None","None","None"
"AT1G03870","None","None","None","None","Down","None","None","None","None","None","None","None","None","None","None"
"AT1G03920","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G03940","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G03990","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G04047","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04077","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G04090","Down","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04110","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G04163","None","None","Up","Up","Up","Up","None","Up","Up","Up","None","Down","Down","None","None"
"AT1G04180","None","None","Up","None","Up","None","None","None","None","Up","None","None","Down","None","None"
"AT1G04183","Up","None","None","Down","Down","None","Down","None","Down","None","None","None","None","None","None"
"AT1G04220","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G04237","None","None","None","None","None","None","Up","None","Up","None","None","None","None","None","None"
"AT1G04247","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G04277","None","None","Down","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G04313","None","Down","Down","None","None","Up","None","Down","None","None","None","None","Up","None","None"
"AT1G04323","None","Down","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G04343","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G04357","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04380","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04425","None","Up","None","None","None","Down","None","None","None","None","None","None","None","None","None"
"AT1G04433","None","Down","None","None","None","None","None","None","None","Down","None","None","None","None","None"
"AT1G04463","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04467","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04513","None","None","None","None","Down","Down","None","None","Down","None","None","None","Up","None","None"
"AT1G04530","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04537","None","None","None","None","None","Up","Up","None","None","None","Up","None","None","None","None"
"AT1G04560","None","Up","None","None","None","None","None","None","Down","None","None","None","None","None","None"
"AT1G04567","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
