"gene_id","genotypeMYB3R135-genotypeWILDTYPE","genotypeSOG11-genotypeWILDTYPE","Time_After_Treatment_min10-Time_After_Treatment_min0","Time_After_Treatment_min1440-Time_After_Treatment_min0","Time_After_Treatment_min180-Time_After_Treatment_min0","Time_After_Treatment_min360-Time_After_Treatment_min0","Time_After_Treatment_min4320-Time_After_Treatment_min0","Time_After_Treatment_min45-Time_After_Treatment_min0","Time_After_Treatment_min720-Time_After_Treatment_min0","Time_After_Treatment_min90-Time_After_Treatment_min0","Radiation_Dose_cGy10-Radiation_Dose_cGy0","Radiation_Dose_cGy100-Radiation_Dose_cGy0","Radiation_Dose_cGy10000-Radiation_Dose_cGy0","Radiation_Dose_cGy40-Radiation_Dose_cGy0","Radiation_Dose_cGy80-Radiation_Dose_cGy0"
"AT1G68200","None","Down","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G68240","None","Down","Down","None","None","None","None","None","Down","None","None","None","Up","None","None"
"AT1G68250","None","None","None","None","None","None","Down","None","None","None","Up","Up","None","None","None"
"AT1G68350","None","None","None","None","None","None","None","None","Up","None","None","None","Down","None","None"
"AT1G68360","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G68390","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G68450","None","None","None","None","None","None","None","None","None","None","Up","Up","None","None","None"
"AT1G68500","None","None","Up","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G68520","None","None","None","None","None","None","None","None","None","Down","None","None","None","None","None"
"AT1G68570","None","None","None","Up","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G68600","None","None","None","None","None","Up","Up","None","Up","Down","None","None","None","None","None"
"AT1G68620","None","None","None","None","None","None","Down","Up","None","None","None","None","None","None","None"
"AT1G68723","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G68765","None","None","None","None","None","None","None","None","None","None","None","Up","None","None","None"
"AT1G68795","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G68825","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G68840","None","None","None","Down","None","Down","None","None","Down","None","None","None","None","None","None"
"AT1G68850","None","None","None","None","None","None","None","None","None","None","None","Up","None","None","None"
"AT1G68880","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G69260","None","None","None","Up","None","None","None","Up","None","Up","None","None","None","None","None"
"AT1G69485","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G69490","None","None","None","None","None","None","None","None","Down","None","None","None","None","None","None"
"AT1G69572","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G69600","None","None","None","None","None","None","Down","Up","None","None","None","None","None","None","None"
"AT1G69710","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G69720","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G69730","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G69840","None","None","None","None","None","Down","None","None","Down","None","None","None","Up","None","None"
"AT1G69890","None","None","None","Down","None","Down","Down","None","Down","None","None","Up","Up","None","None"
"AT1G69920","None","Down","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G69930","None","None","None","None","None","None","None","None","None","None","None","Up","None","None","None"
"AT1G70140","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G70170","None","None","None","None","None","None","None","None","None","None","Up","Up","None","None","None"
"AT1G70220","Up","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G70230","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G70260","None","None","None","Up","None","None","Up","Down","Up","None","None","None","None","None","None"
"AT1G70270","None","None","None","Up","None","None","Up","None","Up","None","None","None","Down","None","None"
"AT1G70290","None","None","None","Down","None","Down","None","Up","Down","None","None","None","None","None","None"
"AT1G70440","None","Down","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G70560","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G70581","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G70700","None","None","None","Down","None","None","Down","None","Down","None","None","None","None","None","None"
"AT1G70820","None","None","None","None","Up","None","Up","None","None","None","None","None","None","None","None"
"AT1G70890","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G70985","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G71030","None","None","None","Down","None","None","None","None","None","None","None","None","None","None","None"
"AT1G71380","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G71520","None","None","Up","None","None","None","None","None","None","None","Up","Up","None","None","None"
"AT1G71530","None","None","None","None","None","None","None","Up","None","None","Up","Up","None","None","None"
"AT1G71770","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G71890","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G72060","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G72070","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G72100","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G72140","None","None","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G72190","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G72250","Up","None","None","None","None","Down","None","None","None","Down","None","None","None","None","None"
"AT1G72360","None","None","Down","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G72416","None","None","None","Down","None","Down","None","None","Down","None","None","None","None","None","None"
"AT1G72450","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G72490","None","None","None","None","None","None","None","None","None","Up","None","None","None","None","None"
"AT1G72520","None","None","None","Down","Down","Down","Down","Down","Down","None","None","None","Up","None","None"
"AT1G72670","None","None","None","None","None","None","None","None","None","Down","None","None","Down","None","None"
"AT1G72790","None","Down","Down","Down","None","None","None","None","Down","None","None","None","Up","None","None"
"AT1G72900","None","None","None","None","None","Down","None","None","Down","None","None","None","Up","None","None"
"AT1G72910","None","None","None","None","Down","Down","None","Down","None","Down","None","None","Up","None","None"
"AT1G72920","None","None","Up","None","Down","Down","None","None","Down","None","None","None","Up","None","None"
"AT1G72940","None","None","None","None","Down","Down","None","None","Down","None","None","None","Up","None","None"
"AT1G73010","None","None","None","Up","Up","Up","Up","None","Up","None","None","None","None","None","None"
"AT1G73040","None","None","None","Up","None","None","Up","None","Up","None","None","None","None","None","None"
"AT1G73066","None","None","None","None","Down","None","Down","None","None","None","None","None","None","None","None"
"AT1G73120","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G73165","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G73190","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G73220","None","Up","None","Up","Up","Up","Up","None","None","Up","Up","None","Down","None","None"
"AT1G73260","None","None","None","Down","None","None","None","None","Down","None","None","None","None","None","None"
"AT1G73270","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G73300","None","None","None","Down","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G73325","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G73480","None","None","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G73500","None","None","None","Down","None","Down","Down","None","Down","None","None","None","Up","None","None"
"AT1G73540","None","None","Up","None","None","None","None","None","None","Down","None","None","None","None","None"
"AT1G73600","None","None","None","Up","None","Up","Up","Down","Up","None","None","None","None","None","None"
"AT1G73630","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G73690","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G73700","None","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None"
"AT1G73805","None","None","None","Up","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G73830","None","None","None","None","Up","None","None","None","None","None","None","None","None","None","None"
"AT1G73890","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G73910","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G73965","None","None","Up","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G74000","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G74010","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G74090","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G74310","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G74400","None","None","None","None","None","None","None","None","None","Up","None","None","None","None","None"
"AT1G74430","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G74440","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G74450","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G74456","None","None","None","None","None","None","None","None","None","Up","None","None","None","None","None"
"AT1G74545","None","None","None","None","None","Down","None","None","Down","None","None","None","None","None","None"
"AT1G74670","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G74810","None","None","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT1G74890","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G74900","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G74930","None","None","Up","Down","None","Down","Down","None","None","Down","None","None","None","None","None"
"AT1G74950","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G75030","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G75300","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G75430","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G75450","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G75460","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G75490","None","None","None","None","None","Down","None","Up","None","None","None","None","None","None","None"
"AT1G75700","None","Down","None","None","None","Up","None","None","None","None","None","None","Up","None","None"
"AT1G75750","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None","None"
"AT1G75830","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Up"
"AT1G75900","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G75945","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G76180","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G76210","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G76310","None","None","None","None","Down","Down","None","None","None","None","None","None","Down","None","None"
"AT1G76410","None","None","None","None","None","None","None","Up","Down","None","None","None","None","None","None"
"AT1G76420","None","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None"
"AT1G76470","None","None","None","None","None","None","Down","None","None","None","Up","Up","None","None","None"
"AT1G76540","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G76590","None","None","None","None","None","None","Down","Up","None","None","None","None","None","None","None"
"AT1G76600","None","None","None","Down","Down","Down","Down","None","Down","None","Up","Up","Up","None","None"
"AT1G76620","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G76640","None","None","None","None","None","None","Down","None","None","None","None","Up","None","None","None"
"AT1G76650","None","None","None","Down","Down","Down","Down","None","Down","None","None","Up","Up","None","None"
"AT1G76705","None","None","None","Down","None","Down","None","None","Down","None","None","None","None","None","None"
"AT1G76740","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G76790","None","None","None","None","Up","None","None","None","None","None","None","None","None","None","None"
"AT1G76820","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G76952","None","None","None","Up","None","None","Up","Down","Up","None","None","None","None","None","None"
"AT1G76955","None","None","None","None","None","Up","Up","Down","Up","Down","None","None","None","None","None"
"AT1G76960","None","None","None","Up","None","Up","Up","None","Up","None","None","None","None","None","None"
"AT1G77210","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G77270","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G77380","None","None","None","None","None","None","None","None","Down","None","None","None","None","None","None"
"AT1G77400","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G77520","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G77640","None","None","Up","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G77760","None","None","None","None","None","Down","None","None","None","None","None","None","None","None","None"
"AT1G77765","None","None","None","None","Up","Up","Up","None","None","None","None","None","None","None","None"
"AT1G77870","None","None","None","Up","None","Up","None","None","None","None","None","None","None","None","None"
"AT1G77960","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G78020","None","None","None","None","None","Up","None","Down","None","None","None","None","None","None","None"
"AT1G78030","None","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None"
"AT1G78070","None","None","None","None","None","None","None","None","None","Up","None","None","None","None","None"
"AT1G78090","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G78110","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G78120","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G78150","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G78320","None","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None"
"AT1G78340","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G78370","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G78390","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G78450","None","None","None","None","None","None","None","None","None","Down","None","None","None","None","None"
"AT1G78830","None","None","None","None","None","Down","None","None","Down","None","None","None","None","None","None"
"AT1G78865","None","None","None","None","None","None","None","Up","None","None","None","None","Down","None","None"
"AT1G78922","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G78950","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G78995","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G79103","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G79680","None","None","None","None","None","None","None","None","None","None","None","Up","Up","None","None"
"AT1G79700","None","None","None","None","None","None","None","Up","Down","None","None","None","None","None","None"
"AT1G79900","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G79960","None","None","None","None","None","Down","Down","None","None","None","None","None","None","None","None"
"AT1G80100","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G80130","None","None","None","Up","None","None","None","Down","Up","None","None","None","None","None","None"
"AT1G80240","None","None","Down","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G80340","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G80420","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G80440","None","None","None","Down","None","Down","None","None","Down","Down","None","None","None","None","None"
"AT1G80520","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G80540","None","None","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT1G80730","None","None","None","None","None","None","None","None","None","Down","None","None","None","None","None"
"AT1G80840","None","None","None","None","None","Down","Down","None","Down","None","None","None","Up","None","None"
"AT1G80920","None","None","None","Down","None","Down","None","Up","Down","None","None","None","None","None","None"
"AT2G01010","Down","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G01175","None","None","None","None","None","None","None","None","None","None","Up","None","None","None","None"
"AT2G01290","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G01300","None","None","None","Down","Down","Down","Down","None","Down","Down","None","None","Up","None","None"
"AT2G01422","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G01610","None","None","None","None","None","None","None","Down","None","Down","None","None","Up","None","None"
"AT2G01880","None","None","Up","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT2G01900","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT2G01960","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G02000","None","None","Down","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G02010","None","None","None","None","None","None","None","Down","None","None","None","Up","None","None","None"
"AT2G02020","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G02120","None","None","Down","None","None","None","None","Down","None","Down","None","None","None","None","None"
"AT2G02148","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G02240","None","Down","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G02300","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G02310","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G02630","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT2G02690","None","None","Down","Down","None","None","None","None","None","None","None","None","None","None","None"
"AT2G02710","None","None","None","None","None","Down","None","Up","Down","None","None","None","None","None","None"
"AT2G02810","None","None","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G02930","None","None","None","None","None","Down","None","None","Down","None","None","None","Up","None","None"
"AT2G02990","None","None","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G03010","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT2G03090","None","None","None","None","None","None","None","Down","Up","None","None","None","None","None","None"
"AT2G03110","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G03410","None","None","None","None","None","Up","None","Down","None","None","None","None","None","None","None"
"AT2G03821","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G03925","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G04032","None","Down","None","Up","None","None","Up","None","None","None","None","None","None","None","None"
"AT2G04040","None","None","None","None","None","None","None","None","Down","None","None","None","None","None","None"
"AT2G04050","None","Up","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT2G04066","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G04070","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G04090","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT2G04205","None","None","None","None","None","None","None","None","None","None","None","None","Down","None","None"
"AT2G04450","None","None","None","Up","Up","None","Up","None","Up","None","None","None","None","None","None"
"AT2G04495","None","Down","None","Up","Up","None","Up","None","None","None","None","None","Up","None","None"
"AT2G04515","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT2G04570","None","None","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G04690","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT2G04955","None","None","None","Up","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G05015","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G05155","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT2G05185","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G05205","None","None","None","Down","None","None","Down","None","Down","None","None","None","Up","None","None"
"AT2G05350","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G05540","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT2G05695","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G05765","None","None","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT2G05995","None","Up","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G06002","None","Up","None","None","None","None","Up","Up","None","None","None","None","None","None","None"
"AT2G06050","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT2G06355","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G06615","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G06845","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G06995","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G07213","None","Down","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G07585","None","None","None","None","None","Up","None","None","None","None","None","None","None","None","None"
"AT2G07629","None","None","None","None","None","Up","None","None","Up","None","None","None","None","None","None"
"AT2G07638","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G07667","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G07696","None","None","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT2G07719","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G07725","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT2G07734","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT2G07751","None","None","None","None","None","None","None","None","None","None","None","None","None","Up","None"
"AT2G07777","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G07779","None","None","None","Up","None","Up","None","None","Up","None","None","None","None","None","None"
"AT2G07785","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT2G07805","None","None","None","None","None","None","None","None","None","None","None","None","Down","None","None"
"AT2G07875","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08000","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08060","None","None","None","None","None","None","Down","None","None","None","Down","Down","None","None","None"
"AT2G08330","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08350","None","None","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08420","None","None","None","Up","None","None","None","None","None","None","None","None","Down","None","None"
"AT2G08455","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08470","None","None","None","None","None","None","None","Down","None","None","None","Down","None","None","None"
"AT2G08555","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08650","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT2G08660","None","None","None","Up","None","None","None","None","Up","None","None","None","Down","None","None"
"AT2G08735","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08740","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G08760","None","None","None","None","None","None","None","None","None","Up","None","None","None","None","None"
"AT2G09165","None","None","None","None","None","Down","None","None","Down","None","None","None","None","None","None"
"AT2G09225","None","None","None","None","Down","Down","Down","None","Down","None","None","None","Up","None","None"
"AT2G09250","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G09525","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G09665","None","Up","None","None","None","None","None","None","Down","None","None","None","None","None","None"
"AT2G09740","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G09785","None","None","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Down","None","None"
"AT2G09975","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G11810","None","None","None","Up","Up","Up","Up","None","Up","None","None","None","Down","None","None"
"AT2G12190","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G12461","None","None","None","Up","None","Up","None","None","Up","None","None","None","None","None","None"
"AT2G12462","None","None","None","None","None","Up","None","None","None","None","None","None","None","None","None"
"AT2G12480","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G12905","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G13960","Up","None","None","None","None","Down","None","None","Down","None","None","None","None","None","None"
"AT2G14095","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT2G14247","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT2G14255","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G14290","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G14460","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G14560","Up","Up","None","None","None","None","Up","None","Up","None","None","None","None","None","None"
"AT2G14580","None","Down","None","None","None","None","None","None","None","Down","None","None","None","None","None"
"AT2G14610","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","Down"
"AT2G14690","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G14750","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G14800","None","None","None","None","None","None","Up","Up","None","None","None","None","None","None","None"
"AT2G14878","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G14920","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G15020","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G15042","None","Up","Down","None","None","Down","None","None","Down","None","None","None","Up","None","None"
"AT2G15080","None","None","None","None","None","Down","None","None","None","None","None","None","None","None","None"
"AT2G15128","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G15292","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G15400","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G15480","None","None","None","None","None","None","None","None","None","Up","None","None","None","None","None"
"AT2G15490","None","Down","None","None","None","None","Down","None","None","Up","Up","Up","Up","None","None"
"AT2G15555","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G15630","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G15680","None","None","None","None","Down","Down","Down","None","None","None","None","None","None","None","None"
"AT2G15760","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G15880","None","None","None","Down","None","Down","None","Up","Down","None","None","None","None","None","None"
"AT2G15890","None","None","None","Down","None","Down","None","None","None","None","None","None","None","None","None"
"AT2G15960","None","None","None","Down","None","Down","None","Up","None","None","None","None","None","None","None"
"AT2G15970","None","None","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G16005","None","Up","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G16060","None","None","Down","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT2G16270","Up","None","None","None","Down","Down","None","None","None","None","None","None","Down","None","None"
"AT2G16490","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G16575","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G16630","None","None","Up","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G16660","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G16890","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT2G17036","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT2G17040","None","None","None","Up","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G17470","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT2G17620","None","None","None","None","None","None","None","None","None","Down","None","None","Down","None","None"
"AT2G17660","None","Down","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G17680","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G17710","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G17840","None","None","None","None","None","None","Down","Up","None","Up","None","None","None","None","None"
"AT2G17880","None","None","None","Down","None","Down","None","Up","Down","None","None","None","None","None","None"
"AT2G17890","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G17900","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G17940","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT2G18000","None","Down","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT2G18010","None","None","None","Up","Up","None","None","None","None","Up","None","None","Down","None","None"
"AT2G18025","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
