Sample,GSM3072467,GSM3072468,GSM3072469,GSM3072470,GSM3072471,GSM3072472,GSM3072473,GSM3072474,GSM3072475,GSM3072476,GSM3072477,GSM3072478,GSM3072479,GSM3072480,GSM3072481,GSM3072482,GSM3072483,GSM3072484,GSM3072485,GSM3072486,GSM3072487,GSM3072488,GSM3072489,GSM3072490,GSM3082835,GSM3082836,GSM3082837,GSM3082838,GSM3082839,GSM3082840,GSM3082841,GSM3082842,GSM3082843,GSM3082844,GSM3082845,GSM3082846,GSM3082847,GSM3082848,GSM3082849,GSM3082850,GSM3082851,GSM3082852,GSM3082853,GSM3082854,GSM3082855,GSM3082856,GSM3082857,GSM3082858,GSM3082859,GSM3082860,GSM3082861,GSM3082862,GSM3082863,GSM3082864,GSM3082865,GSM3082866,GSM3082867,GSM3082868,GSM3082869,GSM3082870,GSM3072302,GSM3072303,GSM3072304,GSM3072305,GSM3072306,GSM3072307,GSM3072308,GSM3072309,GSM3072310,GSM3072311,GSM3072312,GSM3072313,GSM3072314,GSM3072315,GSM3072316,GSM3072317,GSM3072318,GSM3072319,GSM3072320,GSM3072321,GSM3072322,GSM3072323,GSM3072324,GSM3072325,GSM3072326,GSM3072327,GSM3072328,GSM3072329,GSM3072330,GSM3072331,GSM3072332,GSM3072333,GSM3072334,GSM3072335,GSM3072336,GSM3072337,GSM3072338,GSM3072339,GSM3072340,GSM3072341,GSM3072342,GSM3072343,GSM3072344,GSM3072345,GSM3072346,GSM3072347,GSM3072348,GSM3072349,CWRU004174_S1,CWRU004175_S2,CWRU004176_S3,CWRU004177_S4,CWRU004178_S5,CWRU004179_S6,CWRU004180_S7,CWRU004181_S8,CWRU004182_S9,CWRU004183_S10,CWRU004184_S11,CWRU004185_S12,CWRU004186_S13,CWRU004187_S14,GSM7623649,GSM7623650,GSM7623651,GSM7623652,GSM7623653,GSM7623654,GSM7623655,GSM7623656,GSM7623657,GSM7623658,GSM7623659,GSM7623660,GSM7623661,GSM7623662,GSM7623663,GSM7623664,GSM7623665,GSM7623666,GSM7623667,GSM7623668,GSM7623669,GSM7623670,GSM7623671,GSM7623672,GSM7623673,GSM7623674,GSM7623675,GSM7623676,GSM7623677,GSM7623678,GSM7623679,GSM7623680,GSM7623681,GSM7623682,GSM7623683,GSM7623684
OSD ID,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-498,OSD-502,OSD-502,OSD-502,OSD-502,OSD-502,OSD-502,OSD-502,OSD-502,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-508,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-510,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-658,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782,OSD-782
genotype,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,myb3r135,myb3r135,wild type,wild type,myb3r135,myb3r135,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,sog1-1,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type,wild type
Time_After_Treatment_min,10,10,20,20,90,90,1440,1440,10,10,20,20,90,90,1440,1440,180,180,180,180,180,180,180,180,0,0,10,10,20,20,45,45,90,90,180,180,360,360,720,720,1440,1440,0,0,10,10,20,20,45,45,90,90,180,180,360,360,720,720,1440,1440,20,20,90,90,180,180,360,360,720,720,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,20,20,90,90,180,180,360,360,720,720,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,180,180,180,180,180,180,180,180,180,1440,1440,1440,1440,1440,1440,1440,1440,1440,4320,4320,4320,4320,4320,4320,4320,4320,4320
Radiation_Dose_cGy,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,10000,0,10000,0,10000,0,10000,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,0,0,0,80,80,80,80,0,0,0,10,10,10,100,100,100,0,0,0,10,10,10,100,100,100,0,0,0,10,10,10,100,100,100,0,0,0,10,10,10,100,100,100
