,cotyledon,dna_damage_response,hormone_response_aba,hormone_response_auxin,hormone_response_cytokinin,hormone_response_ethylene,hormone_response_ja,hormone_response_sa,hypocotyl,leaf_epidermis,leaf_mesophyll,leaf_vasculature,oxidative_stress,root_columella,root_cortex,root_endodermis,root_epidermis,root_lateral_root_cap,root_meristem,root_pericycle,root_phloem,root_stele,root_xylem,shoot_apical_meristem
OSD-251_Atha_Ler-0_sl_FLT_uG_Rep1,0.041698498928496815,0.015183149433707667,0.022407117911495744,0.01790141208221241,0.005180212689954462,0.047026618325992815,0.0014299545446228353,0.056078500396199694,0.07174054970098387,0.0012406069984561795,0.11245281420748253,0.00014609800487938807,0.22361251444970087,0.01929089621519499,0.03970147381910409,0.13743617418621767,0.0010262216785776354,0.0,0.019102034294207065,0.14605771560973158,0.0038311989686121714,0.0012489844444757718,0.009030500112152617,0.007176752997541076
OSD-251_Atha_Ler-0_sl_FLT_uG_Rep2,0.02072346927406817,0.016279555485212552,0.02364990150090582,0.012688874092951738,0.004103635876869498,0.046867841330562154,0.002888743676480439,0.0514709328898138,0.06507772553417056,0.0005711613132183372,0.16049514276096802,6.546927318889988e-05,0.24419333227818832,0.021287611111260527,0.05286130951914787,0.10816441921859467,0.0006935144763733676,0.0,0.011101774922259125,0.13236925463349442,0.00476507718597019,0.001978586895160676,0.010035347086463845,0.0076673196646772235
OSD-251_Atha_Ler-0_sl_FLT_uG_Rep3,0.034436812059968805,0.011957076562042434,0.025932680224120392,0.015685958685772154,0.004869118806192537,0.05682693087733568,0.0030817207634129787,0.047396865341291915,0.07206604005241297,0.0007388733768191611,0.11075987917940609,0.0,0.2818233638141187,0.016795378160600838,0.031880401297507466,0.1364740040077446,0.0006794577807507688,0.0,0.020996790801387236,0.10602660286522421,0.0037596993313638643,0.0011402366824628213,0.009460882743677904,0.007211226586386419
OSD-251_Atha_Ler-0_sl_FLT_uG_Rep4,0.015009095290810504,0.018814611975618022,0.025086149300824045,0.015669369691677842,0.004187340631028784,0.04378707782039601,0.004376813057772133,0.051915444927687175,0.06497009513030633,0.0005456805890209667,0.12807760229305853,0.0,0.25284463774148774,0.01947776546921986,0.03668186181751912,0.1355864685775654,0.0009928355161353238,0.0,0.01514667842232288,0.13903486674429505,0.003694712321495995,0.001799988054062137,0.013357806085408562,0.00894309854228772
OSD-251_Atha_Ler-0_sl_FLT_0.09G_Rep1,0.0,0.01304652496727144,0.005367773154811374,0.014538156646299248,0.0068383959369514484,0.07024324674407738,0.0007983380817331822,0.05794253761631985,0.0543185029031889,0.0007162233057802259,0.2439638523633489,0.0015231450243593716,0.1766217961350258,0.01921263620381599,0.057732448647442695,0.11782839819475334,0.00039340660607289,0.0003800809555767959,0.017284719771429462,0.12366887152953836,0.006523262483635727,0.0004674479557516893,0.003692313628016041,0.006897921144799987
OSD-251_Atha_Ler-0_sl_FLT_0.09G_Rep2,0.01058663354494792,0.009948908387495925,0.013064432934728485,0.010281231005867395,0.005060996542282199,0.04140878292666187,0.00042232666084702494,0.04133684798000326,0.04862987648835865,0.0005384180237940101,0.33535351531963115,0.00032539923048873084,0.2300087922403547,0.021940216200399845,0.03913791170112349,0.08084440030674307,0.00047400283814552527,0.0,0.011983645931017983,0.08206983996198795,0.0036417020263207153,0.0007096472579807473,0.006006038988276072,0.006226433502543264
OSD-251_Atha_Ler-0_sl_FLT_0.09G_Rep3,0.011269269070479874,0.015299530508977022,0.02907467143269599,0.01682392009423509,0.004439645580423149,0.052274323149944756,0.0016912935544468853,0.051261772403532455,0.0755629903174276,0.0007109663915114601,0.14699138682978494,0.0,0.22773119351543986,0.02342219034283391,0.04905864001023976,0.12449768022502816,0.0008924689230623203,0.0,0.015676362575975045,0.1266801126143297,0.0042949954737928325,0.0018359436610772414,0.012083847369272031,0.008426795955489891
OSD-251_Atha_Ler-0_sl_FLT_0.18G_Rep1,0.0,0.01687559608056277,0.04473372294371402,0.012289719812320932,0.0037179884698128707,0.05751631730822917,0.008228862088807718,0.042580075443908856,0.07118822879952953,0.0012328292668759369,0.1244395377580494,0.0,0.31148243076783927,0.020754304513047675,0.027204532348284995,0.1159755250641342,0.0001487195257130896,0.0,0.006776167913541457,0.1153862185343368,0.003160825932549861,0.002035786193845665,0.006929494718147323,0.007343116516748585
OSD-251_Atha_Ler-0_sl_FLT_0.18G_Rep2,0.040475519613275196,0.014696756299694875,0.02335928884882722,0.019035798635795263,0.0054276909508926,0.04995341929589411,0.0021461929834474926,0.052441758986847734,0.07519451503600498,0.0003911669823318323,0.09410365803203748,0.0,0.2565789263834562,0.01968898780467059,0.03286163604365636,0.13188200362054228,0.0014571717571945917,0.0,0.020896247273714315,0.13374825838875756,0.0037947180287042975,0.00155521230684602,0.011664092301345137,0.008646980426063865
OSD-251_Atha_Ler-0_sl_FLT_0.18G_Rep3,0.05597474937959039,0.01325908004288784,0.02620916779180909,0.021717744090223277,0.005186656363010644,0.058520933389458345,0.001280110932147282,0.051314791676594626,0.08082355575040412,0.000435988111968764,0.12151625021071952,0.0,0.22223167199640065,0.01963204610594878,0.028945956681227465,0.1249653120313457,0.001644103884076141,0.0,0.022458148484768087,0.12169882206655604,0.003343738038281331,0.0012470046149366022,0.009567725673894096,0.00802644268375122
OSD-251_Atha_Ler-0_sl_FLT_0.36G_Rep1,0.059888053050080346,0.012667606215848256,0.025335212431696535,0.017296687699538977,0.003503688021188663,0.040924406601922016,0.0018405449731560281,0.0449492127781609,0.07012919852537437,0.000274573828933126,0.15446509490009383,0.0,0.2564640497535062,0.015810946576629854,0.03903951114748508,0.10558740830942917,0.000914418224402428,0.0,0.015250652161705026,0.11401399975279439,0.0026942917378128027,0.0014968287432293376,0.010564506474717595,0.006889108092295011
OSD-251_Atha_Ler-0_sl_FLT_0.36G_Rep2,0.011623172726620149,0.010993262997875263,0.04056256746347734,0.01420698880312839,0.002401465436892481,0.03763641209919663,0.001967587227705972,0.03458917444398015,0.054083423284636466,0.00038722116086980786,0.08021847215136087,0.0,0.4558613717852293,0.015094925603323902,0.017506481231127653,0.11568999043424616,0.0003354786785047487,0.0,0.0067335207348160585,0.07834024223543229,0.002058398945907794,0.001261273863914087,0.013295844533044016,0.005152724158710389
OSD-251_Atha_Ler-0_sl_FLT_0.36G_Rep3,0.010856658672977507,0.014236880256917281,0.040037453078659586,0.019919559899139256,0.005441230431323321,0.05694752102766912,0.002673187692092234,0.04627201663150704,0.07328845869384612,0.000972246996273782,0.1835702510345252,0.0,0.20691622494941403,0.031069339530995128,0.036346729426351504,0.11420547675506505,0.0005389836052671951,0.0,0.013876603552038432,0.11743917154388638,0.003095723811164934,0.0012503619850109079,0.012302009716903277,0.00874391070897282
OSD-251_Atha_Ler-0_sl_FLT_0.57G_Rep1,0.03786965591038901,0.010497775438558557,0.01832175850045863,0.012543495780431502,0.0045131461928162,0.04414449158778469,0.001049777543855821,0.03907505302130128,0.05798899372598629,0.0001966762824169814,0.17274393005566702,0.0011125847473344068,0.33792668126833464,0.02099555087711711,0.04769758481314297,0.07333979100129641,0.0006295076061025109,0.0,0.013592196627545133,0.08505889842524368,0.006675508484006475,0.00035889830559174713,0.006837012721522754,0.006831031083096224
OSD-251_Atha_Ler-0_sl_FLT_0.57G_Rep2,0.055279340226889205,0.011139121723791176,0.026406310075646026,0.015992929097756365,0.0047073275903887464,0.057167064626701146,0.0011984709565346099,0.04471195586112725,0.07520405252254712,0.0005055949377768894,0.1210391737245553,0.0,0.2888226229622014,0.015180632116105123,0.03859742297239535,0.11732857708053285,0.0007332511834021617,0.0,0.013970531540319337,0.09157649742320606,0.0031160244869900045,0.0012184454724768594,0.00918015455867917,0.006924498859977779
OSD-251_Atha_Ler-0_sl_FLT_0.57G_Rep3,0.004974979631611267,0.017375721747475585,0.03194102436561267,0.012308821172262356,0.005180946568867545,0.06056656877284622,0.0019224896073156714,0.05651793599811795,0.06030589221592206,0.00029309819374757743,0.06514118141574127,0.0,0.33316093203387553,0.01935523435161837,0.022467060749900444,0.1626051485238443,0.0005705558338557826,0.0,0.012117549752348262,0.11370385567335403,0.0031281186830898443,0.0011648983637548176,0.008561595666477656,0.0066363906783607355
OSD-251_Atha_Ler-0_sl_FLT_0.57G_Rep4,0.028343877159274652,0.014289584142040563,0.03492392862158266,0.017230741266421722,0.003940040676057785,0.049176517076524054,0.0048186882446622,0.04631860024811594,0.06675871737038756,0.0006131295347131622,0.17767992345446554,0.0,0.22591416327086272,0.02942082016558642,0.03517364950950178,0.10044329047414909,0.0008270015645756252,0.0,0.012721891901214758,0.1299843466228078,0.0028856635937324748,0.001239355517820989,0.009755115365129127,0.007540954220373511
OSD-251_Atha_Ler-0_sl_FLT_1G_Rep1,0.022685003334762064,0.016291508219012367,0.05302630991106262,0.01532518627099941,0.0037584582299599292,0.053832387515937725,0.00457424761320703,0.05371584617547385,0.06394234880117879,0.001634064979386414,0.12252721782543015,0.0,0.2820300439225748,0.020511275921641793,0.03359304138871163,0.09682487496673021,0.00042234582258316334,0.0,0.0059354504806923645,0.12487404630704084,0.005953320142029562,0.0015441727611463303,0.009954572831289223,0.007044276579149711
OSD-251_Atha_Ler-0_sl_FLT_1G_Rep2,0.07269624760420777,0.011183857385848423,0.031812129907920504,0.01386743856354459,0.004210962802569926,0.053181556084180494,0.001609362220522385,0.036948778498986375,0.06618955899441804,0.00021454127973920457,0.14630138214431596,0.0,0.2867084846094591,0.018314058050832117,0.039719785630562554,0.09336115949203513,0.0009503707723980118,0.0,0.013023451181544401,0.08756503540458974,0.0027770573654879176,0.0012463481858181076,0.011519645367949903,0.006598788453069343
OSD-251_Atha_Ler-0_sl_FLT_1G_Rep3,0.002255426298198651,0.010582371902458601,0.03673398484137299,0.009463271348766318,0.0030235348292738874,0.046851700958380406,0.005922725152581898,0.03649838472480619,0.05319327076263667,0.0003292642486019038,0.27832708734204176,0.0,0.24037756337495642,0.031105759834499525,0.050352980468470296,0.08399798600374525,0.00032313865515780273,0.0,0.006875334941256057,0.08096790672678901,0.004541846691593244,0.0013023450887997918,0.010215882832243584,0.0067582329733697705
OSD-314_05G4_WT_RED_Col0_03g_Rep1,0.03637984045583104,0.015381486493971828,0.03704619241036694,0.015145865765630952,0.0047454841427249745,0.049918524832357904,0.004695879778863665,0.032904228027953696,0.07367901512189033,0.0009755524892709717,0.19649280612713108,0.0,0.2893808355744861,0.021520026521799872,0.016964692440542963,0.08666709105955743,0.0003803001229361718,1.2709684952043881e-17,0.016661554661390972,0.08315344861938653,0.0032821554088185104,0.0007275306699648036,0.005745838813926589,0.008151650461196574
OSD-314_06H4_WT_RED_Col0_03g_Rep2,0.03816858467218957,0.014103630945125699,0.03925828171100813,0.016442749960744418,0.0057971233835957875,0.042331162497557494,0.0037863728952995308,0.032650371840196146,0.07065193449601917,0.0009826732225060308,0.28381418827705446,0.0,0.23045795112633113,0.022110147506385614,0.01988048466654108,0.06673583576276489,0.0002886399894489689,0.0,0.012642863957324517,0.08026786223440321,0.004548512193282854,0.0006080898654121467,0.006786282897999544,0.007686255898809523
OSD-314_07A5_WT_RED_Col0_03g_Rep3,0.01294181087308202,0.0179619711750576,0.05046203245257122,0.01672876121378499,0.004542195695867444,0.041232106966027735,0.004986457669493563,0.036820125986567954,0.07030062748173926,0.001859772537869506,0.2254767390558361,0.0,0.28662046342140957,0.02870851512329036,0.01711940536300799,0.06009026177753814,0.0003554095789009228,0.0,0.0056119989541971,0.09142605029658316,0.004228148438648952,0.0010110789744595357,0.01209464924751213,0.009421417716554735
