SampleID,StudyID,cotyledon,dna_damage_response,hormone_response_aba,hormone_response_auxin,hormone_response_cytokinin,hormone_response_ethylene,hormone_response_ja,hormone_response_sa,hypocotyl,leaf_epidermis,leaf_mesophyll,leaf_vasculature,oxidative_stress,root_columella,root_cortex,root_endodermis,root_epidermis,root_lateral_root_cap,root_meristem,root_pericycle,root_phloem,root_stele,root_xylem,shoot_apical_meristem,RadiationQuality,TimePostExposure_h,IsControl
GSM1506014_1,OSD-46,0.04782131349665642,0.05008032882885186,0.041589129581139195,0.04385684837186204,0.03516075852157277,0.053672780945988575,0.03705055312385743,0.029116883580516034,0.04817993073752478,0.007951214164262728,0.04573888584433188,0.0,0.06273005444445964,0.05216695558050652,0.06457070527187053,0.05239698226891619,0.018861378819612556,0.021918273077667284,0.04320512082382782,0.06868658246050123,0.04160686258402244,0.046194538411445905,0.04175172405671005,0.04569219500389605,gamma,1.5,False
GSM1506015_1,OSD-46,0.0476528646389439,0.04893842040990751,0.04138648688083004,0.043063875864002184,0.03581165318531926,0.05244778513440995,0.037348785258595474,0.030228685477884803,0.04862464853929884,0.010496644057260418,0.046687395495275286,0.0,0.06366864364945106,0.051404083020033985,0.0659518719890052,0.05257320993040436,0.019191511421000635,0.016877428854210855,0.04280927193298395,0.06922452443837736,0.04358574759835772,0.04572433927935381,0.04218171789742108,0.0441204050476724,gamma,1.5,False
GSM1506016_1,OSD-46,0.04765727104428704,0.050216519151585655,0.039390621486034776,0.043139003106696105,0.029328140696387724,0.05550435438200944,0.03965730622297644,0.02922667510705043,0.04886339061612538,0.010890535629297034,0.04715338868084079,0.0,0.06292350175877591,0.053636186920987615,0.06577661963795584,0.05363683608103723,0.020014274111275085,0.017765334048296624,0.04080443178149213,0.0700263575360983,0.041715184538556764,0.04428062574743145,0.04343480868096406,0.044958633033838166,gamma,3.0,False
GSM1506017_1,OSD-46,0.04847400494278205,0.04999464994220415,0.04084381193295365,0.04419829199534876,0.030677376561833843,0.0590079111287018,0.03642221928952381,0.02935226931513029,0.050550385534952315,0.009968507587090933,0.04669249085035577,0.0,0.06411353920203959,0.05210610477244973,0.06440587614641032,0.05178847379138477,0.020131003677705116,0.018554557726865522,0.038295796369859,0.07086512992062767,0.04069143926174242,0.044997912663042185,0.04287849630855904,0.04498975107843725,gamma,3.0,False
GSM1506018_1,OSD-46,0.04880217157836332,0.05023753254679521,0.040804418524341086,0.04265679904083757,0.02769627176339873,0.05771076420183784,0.03508060223656053,0.031336123525545954,0.049606111370133224,0.009323067914544503,0.04839946632947011,0.0,0.0676215009828969,0.054673060512568185,0.06645078484289985,0.05298234943104109,0.021354030552966828,0.017990087422215136,0.035434008319742576,0.07120195050045565,0.03944951153415738,0.04339946925059421,0.04430840975563389,0.043481507863000333,gamma,6.0,False
GSM1506019_1,OSD-46,0.04921227860601135,0.05048759200460293,0.040953921344421315,0.043612644958927214,0.02830225031942174,0.057811093969186364,0.03410566211286174,0.029439356356858105,0.049199984510384404,0.011004385308314744,0.04771250797957554,0.0,0.06740931768754108,0.054441298223144086,0.06609370380511018,0.053018249519799616,0.020847347152372697,0.016620480641622127,0.03566821349441403,0.07157477202126176,0.03959514200327086,0.04298272523413267,0.0462634621455501,0.04364361060121541,gamma,6.0,False
GSM1506020_1,OSD-46,0.05017779148061511,0.04680839762609223,0.04259985639085166,0.04204693496676952,0.02788952575260179,0.056113697102645084,0.032791452329571674,0.03088338991986979,0.051882853735139414,0.009922539715790785,0.044232063218088924,0.0,0.06845786530664802,0.05390745635049693,0.06574514416632324,0.04879317068537391,0.021531213174854277,0.01491176298195773,0.04278476668710668,0.06979146816418667,0.03961899210612442,0.043401239641518305,0.05190523083763235,0.0438031876597416,gamma,12.0,False
GSM1506021_1,OSD-46,0.049587840860540494,0.04775751813055095,0.04397183458787774,0.04064182374729878,0.02907189949424646,0.054703124781662046,0.031830598498500215,0.02996166039394125,0.05071604607948816,0.009904354607342725,0.04569936819620182,0.0,0.06823210460507642,0.05416556003595059,0.06660623628082551,0.04931633617870315,0.022216267876657345,0.013942350889283028,0.04269212677485312,0.07003632282707113,0.04011479805645388,0.042012759877567,0.052714841348074394,0.044104225871833797,gamma,12.0,False
GSM1506022_1,OSD-46,0.04662146422698146,0.04902735919326755,0.04481644884659577,0.045446000213272095,0.03376531341895,0.05286147657363663,0.041574046088629565,0.030716306439329433,0.04864857983340855,0.008168015302396449,0.04464959160059619,0.0,0.06601120560443396,0.05016098304522882,0.06439059421250537,0.05180132358236435,0.018876997494580272,0.016546015896631468,0.046685517058601494,0.06807951143355917,0.04166993432736702,0.043943561233678145,0.04284121764329494,0.04269853673069139,gamma,24.0,False
GSM1506023_1,OSD-46,0.0467508640913686,0.04880081044837044,0.04400128133960629,0.045397872695050245,0.03512278969807682,0.05318636951018524,0.03795156418045005,0.029235119347647956,0.04978699062272824,0.006382663326708482,0.04464102764821482,0.0,0.06578521619141242,0.05165701409068654,0.06421580008563439,0.05176406082897716,0.01978898399233153,0.019327625578821783,0.04595101798476044,0.0677847187333227,0.04106799619285732,0.044493523365489736,0.04342914239515066,0.04347754765214816,gamma,24.0,False
GSM1506024_1,OSD-46,0.0476854848138644,0.04467977232166617,0.04617440883188778,0.03952348985586756,0.027747014273601545,0.0682985563343626,0.03238534839152642,0.030133214457811582,0.049303807917914305,0.012215140613889897,0.04530288461098967,0.0,0.07155818941388352,0.0561831204477398,0.06334483167650205,0.0536744570662816,0.02257382197714641,0.012763536122859834,0.04240279663652212,0.07075546874146163,0.035625004497594696,0.041015010908423695,0.04410543833523119,0.04254920175297158,HZE-Fe,1.5,False
